evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[453, 483]","[453, 485]",5941,6104,True,False,EXTRACT_MOVE
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[453, 483]","[453, 485]",5941,6076,True,False,EXTRACT
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[525, 819]","[527, 821]",5941,6104,True,False,EXTRACT_MOVE
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[525, 819]","[527, 821]",5941,6076,True,False,EXTRACT
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[859, 919]","[861, 921]",5941,6104,True,False,EXTRACT_MOVE
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[859, 919]","[861, 921]",5941,6076,True,False,EXTRACT
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[960, 972]","[962, 985]",5941,6104,True,False,EXTRACT_MOVE
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[960, 972]","[962, 985]",5941,6076,True,False,EXTRACT
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1015, 1016]","[1028, 1029]",5941,6104,True,False,EXTRACT_MOVE
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1015, 1016]","[1028, 1029]",5941,6076,True,False,EXTRACT
bf2ca8bd0b0bb92b888c7208313ded894a32db5b,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1015, 1016]","[1017, 1018]",5941,6088,True,False,EXTRACT_MOVE
bf2ca8bd0b0bb92b888c7208313ded894a32db5b,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1015, 1016]","[1017, 1018]",5941,6060,True,False,EXTRACT
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1304, 1309]","[1321, 1326]",5941,6104,True,False,EXTRACT_MOVE
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1304, 1309]","[1321, 1326]",5941,6076,True,False,EXTRACT
bf2ca8bd0b0bb92b888c7208313ded894a32db5b,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1304, 1309]","[1310, 1315]",5941,6088,True,False,EXTRACT_MOVE
bf2ca8bd0b0bb92b888c7208313ded894a32db5b,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1304, 1309]","[1310, 1315]",5941,6060,True,False,EXTRACT
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1319, 1324]","[1336, 1341]",5941,6104,True,False,EXTRACT_MOVE
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1319, 1324]","[1336, 1341]",5941,6076,True,False,EXTRACT
bf2ca8bd0b0bb92b888c7208313ded894a32db5b,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1319, 1324]","[1325, 1330]",5941,6088,True,False,EXTRACT_MOVE
bf2ca8bd0b0bb92b888c7208313ded894a32db5b,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1319, 1324]","[1325, 1330]",5941,6060,True,False,EXTRACT
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1335, 1337]","[1352, 1353]",5941,6104,True,False,EXTRACT_MOVE
098b05f1b271d16cab0c73e92df2e8eaa6a7f1ea,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1335, 1337]","[1352, 1353]",5941,6076,True,False,EXTRACT
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",3579,3562,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",3372,5767,True,False,EXTRACT
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",3579,5010,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",2098,2411,True,False,EXTRACT_MOVE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",4378,5010,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",2098,3287,True,False,EXTRACT
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",4031,5010,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",4378,3562,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",2098,2841,True,False,EXTRACT
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",1577,1625,True,False,EXTRACT_MOVE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",4031,3562,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",5734,6285,True,False,RENAME
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",5977,6824,True,False,EXTRACT
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",4589,3562,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",3797,3562,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",4589,5010,True,False,INLINE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",6066,6651,True,False,INTERNAL_MOVE
ae643d3d76c57323925fc0bab66823ccd69dbe0d,e9c18f603d130011ec7cc71d0d4123f480884cd0,ada4c8eca348bfbd77eee611acd9e8a283e5c29d,eb7241cbc91172025ca7b2192a24f0a63cfc7783,Chart.js,Chart.js,Chart.js,Chart.js,"[1350, 1350]","[1378, 1379]",3797,5010,True,False,INLINE
