merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
d7506125080c37444505c535bfe71f8e1b417408,ce567b98162a227c117a5cdd0c92553ec2b20219,83bf4ccb53f9889a195215e84d41bd22401d2c3e,['ghost/link-redirects/lib/LinkRedirectsService.js'],[],1,1,1
693db59f730691fb213d9bccf4b58684c0ece38e,5e1e6c986330e07073f2959a68b3d7e69f1a1157,b1b24a688405151e70297ce55b83682b354cc9f9,['ghost/admin/app/services/feature.js'],[],1,1,1
f8fe009f9fe10ccd2dbea28532ce036c95f81ef1,a795359c1af324d1e22ec40f25c4eb96e33bc281,d8e3f29a762c01b1f7f140188d062a727c1191b8,[],['yarn.lock'],0,9,0
0482db48186c01b1183cf829edb0d66b24f9deaa,6878b18341d887f32710ceb4267ccffae45d060a,fa9f6007bfdf63ad073fe68a453d5be9c164721d,[],"['ghost/core/package.json', 'yarn.lock']",0,5,0
c4981a71a2e7fa3617197f3bf09f5f1526adfe5c,524b23c1828c67ba30ca9557fe888d33fca862ba,267f1530f06e5e22acdf7fc24d63afeab751a17e,[],['ghost/core/test/e2e-api/members/send-magic-link.test.js'],0,1,0
184dc861cb784e7e7d7bf4497d1e48b5db4bb3ce,ee9190b9127d688e549f0cf2bad980b629755e78,c082a9c333e2cd550399706ccf0da45da969668e,[],['yarn.lock'],0,1,0
44cff4145c4e5e6b566f31d98834ed3afa8bc71d,34cb651202b79c816aea7202cd835821f3876c9e,5ff5346d1f93985a2a02eb8c6fa0483d1ef43038,[],['ghost/portal/package.json'],0,1,0
34cb651202b79c816aea7202cd835821f3876c9e,e675a2032daf39f97b170c54da7184126f16d4f8,57773744c46f70b6e9b9f894a043c27d72e64fe0,['ghost/portal/src/components/common/PlansSection.js'],['ghost/portal/package.json'],1,2,1
6b36dfc92f9f3131a8a210fd828719a775640ecc,034dc8ef3f8b81a387652ee737c54d19b2f661bc,9708f173fee738f1567db1e06151dad014c217bd,['ghost/admin/app/controllers/settings/integration.js'],[],1,2,2
a70be14bd55a662d162f3ea7fa83395ad138072f,7ef12f9d4e718141a3c3fad59f0520df7d2ce946,4e5fe7b2eebd1e207cbb0effbfea0330c8ead2f4,['ghost/admin/app/services/feature.js'],"['ghost/admin/app/components/modal-product.hbs', 'ghost/admin/app/templates/settings/labs.hbs', 'ghost/admin/app/templates/settings/membership.hbs']",1,5,1
dd7227d62241e756291c3383d3c1a70ef95228cc,c530ac2a92c9c25a7ab351572715481f70007ae8,6e4ec3b213706df67f5e0453bb307dd51ac4fada,['core/shared/labs.js'],[],1,1,1
b79ca4188da7b599ebb6a6704f5be211dc1daa16,c2977bcbc41c21a599a18526f4e4f89debc93854,5c88d40687ad151a833d99733028bc0d157abd4a,[],"['package.json', 'yarn.lock']",0,2,0
a2c44efa6ad0064292156c928807ae7f046d8d2c,90ca56a4f467d71b141576a3547dc4deecd9f7b7,9f897afea4296f2b61c6d209db3d0d3932d6ee16,[],['package.json'],0,1,0
dbd6e31fc01c27d8d5e215b636f2ae5e03824665,0477bd30dd3badb2707f2f38d241b5b83da8b0f6,61d85330a5c95d954238756c76aeeef3880038df,[],"['package.json', 'yarn.lock']",0,4,0
d92eebd74e1070eecbb0d340933a07e836d81845,77cae0168743443fd68b7f1a89b915324fe9fb9b,0fe59026d0c3f96c9f5fa0bfdf8a81ebaa566cea,[],['yarn.lock'],0,1,0
2f57e0ab6b0485939b8a6445b3607bc2b99aac2a,7fae5b83413a6eb6ae16b406e1074daa10022145,8fe425e1766ffa22468be45eb243aa7a979e0751,[],['yarn.lock'],0,2,0
57664696a4f450a4a6416a754820e3db0ec72426,bf4587d29e5ce7b891f5cf9ad8574c5ee1c22ed8,94d3f556e698dbf56cf79ae241857a47e2a7b744,[],"['package.json', 'yarn.lock']",0,4,0
5d700c6a7959efeed2b79b8eb6b2b369c2d72116,dd2def277c203a5af80a978beb6a505b94525471,8458e14b051d5c8f102e34200e93d831cc231a41,[],['yarn.lock'],0,1,0
47b441c41d6484293a1fb331bd8afd71dea54ca5,feecca2a1a7fde3fee6ca8b1770dcf41e1f27032,55cd5bbb324b9f115b9833a3964d0d52faee341d,[],"['ghost/admin/package.json', 'ghost/admin/yarn.lock']",0,46,0
1c8b78818f31263828db0ba6dff9fd6818ead729,6751cc50c824ddce1bf776b77b60783febbf4edb,fb7afd1672e8237c86dd7cc12ba37984a6c2f0bc,[],['package.json'],0,1,0
