merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,"['src/layer/Popup.js', 'src/map/Map.js']",[],2,2,2
ffb9a636ca8e33a9b1459da5ef33773074285ca6,92baa9c73f6b0bfabcf6a18416403fe927f29399,c2161dd1c008287a9309cac4825d548995914a2a,"['src/layer/Popup.js', 'src/map/Map.js']",[],2,2,2
8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,"['src/layer/Popup.js', 'src/map/Map.js']",[],2,5,5
c474964c8350d3801c8947ec0902396bf91586be,8744644c2520989c5fcdecf9895f26d1e61e254a,3ad418921ac3fc9ce46587a42cb5d901832dcdd0,[],"['plugins.md', 'reference.html']",0,8,0
8938754bd55d10b55a1ddcbb46fffbac5fdd469e,19033957d7c96513f522a3d56e04247d6101c296,c315751b948cb33843d92c80bfdcf7beb7c46fce,[],['spec/suites/layer/vector/PolygonSpec.js'],0,1,0
879b656249dc6c9d5caac2b85e15d66d03edbebb,205575c932fe7f396c01c104f60afe68288cbc21,8a12624f604da5049f0ab463de1254b8fcfa1b8c,['src/Leaflet.js'],[],1,1,1
2c7eda825d1b3e4b9e880d97c3efa024434ca1fc,1e3a5356161338799889d93f6b0512386b583ed4,09ffc5354927eedb447fdbc521f2164c0734a2a0,[],['PLUGIN-GUIDE.md'],0,2,0
cfc48ee53b757bfdba455585cb5c55d199ba5727,390e925fe4096214e7a7b1c367b6acf8cd44f028,95f863858ec261d8966930f8f2cea716161c87fa,[],['plugins.md'],0,1,0
61283df82ecc6662da36c5371720293a847abbd6,88abdd06e0db363f2cac9d916bb07525524840fa,9e1f3bdc20f9df5337390260762fa2352c52100a,[],['reference.html'],0,10,0
45a06f7859c27ef4b7b147cf0b6a386fc6f60dbb,a2ca73ce294ed0f680306c7df848e72fa83eea36,18b445fa267d51d9257b48c98782b439511f6c8d,"['src/Leaflet.js', 'src/layer/tile/TileLayer.WMS.js', 'src/layer/tile/TileLayer.js', 'src/map/Map.js']",['package.json'],4,5,4
3618f404f5b4e70b65f94895cb0e5f71003af701,ba0fb350689595de952382fd326f90c03b12f16e,33263e537dde232da3e8bf4c316f210436c0b506,[],['spec/suites/map/MapSpec.js'],0,1,0
5d6641360b138d0ed1f3dec660cf052f31f71a39,ddbb01c3dae78cc4c5900a40633702a018f29dce,8e98e52b88499fff1cb93265f708487b64354a67,['src/geo/LatLng.js'],[],1,1,1
ec7baabccf699096ce83d1b0fce4df28b40c016a,399e304bb274ecb33eb71be07001a40f815c390d,99bd248566629a4659fc79395897efd28e4de315,[],['spec/index.html'],0,2,0
513998c3f39272778928f05b9be24bcf3e3491ba,75b5392bb7c9aec1a5fc90a1fd6551bdc08680fa,e9f354053b3afdb20ed1e2fff54bdd31b7ede245,[],[],0,0,0
183c8a2cb740b626d3ec7dba1804201a67f3ba6c,219b8bdad058a57645c0f5cfa0c1dc9274c856b9,c663392697489e0bb0425db88b12b0186a33ab2c,[],['CHANGELOG.md'],0,1,0
e04fd2bd52473b9d67d0c5ae2410565c70884b55,18b3f3a47dcbd3d1cc93e24acbce52ebb149813a,1f6b981aab52b61be447f2698666928108dafdf2,[],[],0,0,0
067b673ea401eaf28c8cfbd6da4addc1c7f02a53,66e50bb0896fa8da30726f78bf2aaaa8bbabcd8d,81c5b8d52e76ce2c72eadec3dc3610515de25d5c,[],['dist/leaflet-src.js'],0,6,0
d10e9a08c93352e5108ea809004a3c532ae62601,65f67e50154553e3d9443b7c65436faf91a7b9d1,df7edd5aa5d3b348657c3898cd691c74f0c1b6c6,[],['dist/leaflet-src.js'],0,3,0
ff48fda32dee7e0bd28bf0e1be0b449a161b1496,421ac9b62f25e5abbd56ef48ede6fa538ec93a9e,ae5bc1cc82acb9a17b86130b6c891cd68a249243,[],['dist/leaflet-src.js'],0,5,0
ba7162a791b6db8be40ea6312519a42864fdc00d,9a9c617355b4262474dd166d6dcbda0e4bb536d0,48ea6518f7101f958b9f0ee688f5b1da2d1de763,[],['dist/leaflet-src.js'],0,1,0
2c34511bf686b22d975f19355b703abd21c281ef,71aadeca25b44bd148490172975be5cfe9c6fb2d,33741660280f679530500e11687c4f66466d3b0d,[],['dist/leaflet-src.js'],0,5,0
9a9c617355b4262474dd166d6dcbda0e4bb536d0,42904288c9aa055aca8fc6bb3e975aaa1750a841,d2f99f9b3589d2a72ca132f0b11c933ab5be792a,[],"['.gitignore', 'dist/leaflet-src.js']",0,6,0
29b225f36967a3fb899407ea920fa6664b3092a7,e8e50b2cefd1fefad8ed40f8a5bb67623ae31f0e,dd3a3ea9d969f7f6b34387e368f52e362a9b35e0,[],['dist/leaflet-src.js'],0,2,0
d9128ee89f4cafc13f3d020bb19280662b5da9cb,a42c61dd175f1e0db454e55cd0e4bc6710d023ea,b32a91584b9fa28980856369e27abc3b80e4d157,[],['dist/leaflet.js'],0,1,0
a42c61dd175f1e0db454e55cd0e4bc6710d023ea,04312a7b3dc9421209b8da39014248c5abd0493e,e5965aaa225730f6d1a9235e51e3a9ef25b438d2,[],"['.gitignore', 'debug/vector/geojson.html', 'dist/leaflet-src.js']",0,5,0
04312a7b3dc9421209b8da39014248c5abd0493e,eaf8189070918680f69b1e4e8d1d07923983cbb2,b433a5a6294d2ebda9a1bc7205671c271337bb43,[],['reference.html'],0,1,0
