evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",100,95,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",106,101,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",96,91,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",37,35,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",87,82,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",31,29,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",83,78,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",142,131,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",110,105,True,False,MOVE
d7b721877cf42fd37fa03e08398ec0b5cee579c8,8a2255afc330ed71fe4912f991805783b19bb008,5fce8dda51fe66e0a238994e133388c1a74de306,425fa13cb45c417ed07173d5b7892af04ed9acf2,src/layer/Popup.js,src/layer/Popup.js,src/layer/Popup.js,src/layer/PopupBase.js,"[9, 9]","[9, 9]",192,149,True,False,MOVE
