merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
481bcbb278d838254c569cf5142e103bf9d40642,64ca30c6321fc38ba5067af6a7c90258f89b70bd,65e4b1a553aad2a0474474c4f54f33063f20011e,[],['packages/vulcan-lib/lib/client/apollo-client/apolloClient.js'],0,4,0,0,0
fadec73c3cda9abd3d1978a97c1a9c8a19831d76,d6be73de0cc4ad026c1c2a8c007e53d0af90f711,3223ebda0be718ab11dab0263c43b89422769902,[],['packages/vulcan-accounts/imports/oauth_config.js'],0,1,0,0,0
d6be73de0cc4ad026c1c2a8c007e53d0af90f711,8c9c5509c8f94832627389f2932789876421025a,ead707dbbeb29f510d534b018916c65e74cbb87e,[],['packages/vulcan-ui-material/package.js'],0,1,0,0,0
a44ab4a5d684c022f39cff2f6674dfadec4c1770,50cf8c1e489e429dac8c6deb6149959cdbe70d96,c2477e79df8f6dcf56ca1a636e76c9097d517af6,[],['packages/vulcan-forms/lib/components/Form.jsx'],0,1,0,0,0
c7fad14e2affc99c1cd5a0ee1344128dc6b422be,b563fd334d68bdd78adc45965c74bc157ffa163b,74fc9dc52c4d4d3f698599b0db508c465d4c49da,[],['packages/vulcan-ui-material/lib/components/upload/UploadInner.jsx'],0,1,0,0,0
27d6f014d3c6c6c7ca756c91566c8452bc50c4a7,03c41d678b601a10363e7e416b2add5d52ca13aa,6cf5fa3355f164809777b48f45b58fcdc04932f6,[],['packages/vulcan-forms/lib/components/Form.jsx'],0,1,0,0,0
cc2da0980e4c54fef25584b04e3e40e4683aafba,86749eff6e99a48d6595959f99d635b2eea043d8,00678d9a375abb82b8ed0a767d2df3769c398186,[],['packages/vulcan-users/lib/modules/permissions.js'],0,1,0,0,0
e593ac468221840ba55479ad0a90e2b2231ac8b9,1c312add3f8f49b372a43e81042116570f39dca8,49a5b28211ac38e88e990b75117073b4de865738,[],['packages/vulcan-core/lib/modules/components/Datatable/DatatableFilter.jsx'],0,1,0,0,0
f8748b51ebf8f730b4d4ebb29a4c440abfd07622,9aaf47d2c1b4a2cb975c7e7839de4fc5801a2618,04ae40f51c1dea2f8346c453895cc57e64df98d7,[],['packages/vulcan-backoffice/package.js'],0,6,0,0,0
d2f3e4a1925cc513b3d73bb34969e2b7be6a78d8,e6466a05fc2b4dc8fb535f228d6c1c71c80c8017,0bc0a93f7bb54a374c77a3186bb6340d96837ef8,[],['packages/vulcan-lib/lib/server/default_resolvers.js'],0,1,0,0,0
c1cfa902b8fd8d652b3b48ec9eeccd89e5600da3,5dbade5088301b561767d1271037c3c02ae2a4eb,8f93ecbaf518ed99b2eec40d9ea59aecf4aa9fd4,[],['packages/vulcan-lib/lib/server/apollo-server/apollo_server.js'],0,28,0,0,0
8420bec261881e08e2f27e473178dff8ff0172ba,0c07b5c210ba058b831551531222545f883c780e,125b16dbf5e7ab17a21c5edd9cdb3d8e07b4a7a7,[],"['CHANGELOG.md', 'packages/vulcan-lib/lib/modules/callbacks.js']",0,6,0,0,0
3f70b853aaf920df1f7f157b108853782a40ff31,9b0c159048a72f69c1ca654c35cf51f8246709cd,2b46d12869382f0807d03218692c9d03de20b431,[],"['packages/vulcan-backoffice/lib/components/BackofficeLayout.jsx', 'packages/vulcan-ui-material/lib/components/backoffice/BackofficeNavbar.jsx', 'packages/vulcan-ui-material/lib/components/index.js']",0,5,0,0,0
