evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",163,159,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",284,280,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",517,512,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",198,194,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",438,434,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",216,212,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",664,660,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",90,86,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",450,446,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,src/autocomplete.js,"[229, 262]","[225, 258]",299,295,True,False,INTERNAL_MOVE
afdccf8cbe613b7a043f23fa4d3c58db4c35c76c,7c9211cb7070cad7cc8b2095a47934f96369c493,eef0363579421238b685d00430304ce5472071be,9f86bb0e26ede97ffa2b013d7f5590406152e194,src/virtual_renderer.js,src/virtual_renderer.js,src/virtual_renderer.js,src/virtual_renderer.js,"[56, 176]","[57, 170]",768,759,True,False,INTERNAL_MOVE
