merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
6c33efc5a9ddaa0f2101303f5c9266fbbe29cb7b,aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,3c149a97acedd9c9ad52daebaf944aa26534d37f,"['src/autocomplete.js', 'src/snippets.js']",[],2,4,4,10,0
7c9211cb7070cad7cc8b2095a47934f96369c493,eef0363579421238b685d00430304ce5472071be,9f86bb0e26ede97ffa2b013d7f5590406152e194,['src/virtual_renderer.js'],[],1,2,2,82,0
aa1eb14a297ee37a3369a91375c415eb6a0a4f2f,e0b79e04e408eaa1b42b868516c4bbeffbb487f6,16a13ce278295549db55496b518a01da203c460c,['src/autocomplete_test.js'],[],1,1,1,0,0
d1d44d4068124aae7b68ba91707926add6e31295,f5b42cbcdfe2886c2ea314cd6cb4ab6ddb706492,16a13ce278295549db55496b518a01da203c460c,['src/config_test.js'],[],1,1,1,0,0
ae27525f95f43654fddbce3aec9e331fb71f57a4,0634049b3e3aa55508e6e63616fe286fa3bdaeec,50044ceaef7d28d65f14dfaca04509b46a9430aa,['src/ext/static_highlight_test.js'],[],1,1,1,0,0
38f17f4ff008b204d8da85933d476084680eec7a,2ac519617d0b4a43a253aec4e57a8a106a02d205,ee4c123c3fbad357e903104848987df6da58ee9c,['lib/ace/ext/modelist.js'],[],1,1,1,0,0
0f35c1093a1847f3d619cf6fc44c298cda69147b,5c8d7513beb4f1230e24768e7b9336debb6e97b1,193515c7007c8388d8e06823e27621d9aac7b369,"['lib/ace/ext/modelist.js', 'lib/ace/mode/jssm_highlight_rules.js']",[],2,2,2,0,0
eb70d5a6c8b0d25cb2ff9813a64a819490a54f3f,8c4173ba1186088279a2d7e100f3284b915a2ca5,abe0286420c91f8db8327a7cc87e85d6527b1b2f,['lib/ace/document.js'],[],1,1,1,7,0
067a1ee68bfc875a48d08b34f97fb525fbd21b49,eec012b24e8a39fef32631aab509d7e363f296ab,5ea0a9b802b6f8abf612c7e0fb3e1489931e6ed3,[],['build'],0,1,0,0,0
a4532dd8b9f21fa7c42c65da12840da9445daf21,64f2fc4015cd8ebdccfb97bb1f1e0af3ff2d312e,271cefb44a8ad1432bbbaf4cdb98b8e4c911996c,['lib/ace/multi_select_test.js'],['build'],1,2,1,0,0
5562566b37ee4638bc26119f61dd91945ee004b6,989d0ac3fb1e287fb33ca119389bb560275ab785,d09740f4947ef64c37bb2a36af34c786ff552726,['lib/ace/incremental_search_test.js'],[],1,1,1,0,0
bb827051a618433411c7bc19c5586aa34f340ac9,29023787e52e1d1b9490361448fa96352cdb7a49,c97858705db0652eb2e80be92e886730ce8556db,['lib/ace/commands/command_manager.js'],[],1,1,1,0,0
