evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
5ddd8d958686c5075b6c58b700f19b4bdea90e1d,2a3a449c6d55cf41a9ceb76608438c0488cbe3c0,894ffadc8c35da6c7daf3e16a9f4931b24f3b231,d8e86291c4a92395988f50d883200cdab12f726e,left,"-80,11","+80,11",a/src/JSON.js,b/src/JSON.js
9899959d695a97ddbb3e9a626a769efa714bffe7,2a3a449c6d55cf41a9ceb76608438c0488cbe3c0,894ffadc8c35da6c7daf3e16a9f4931b24f3b231,d8e86291c4a92395988f50d883200cdab12f726e,right,"-84,11","+84,5",a/src/JSON.js,b/src/JSON.js
17d2ced9cc7e45d1d7272a1217861e598e5522dd,f09415d0de5d383efc9e2cb35d1323a5aac2371d,91104f878debd0cd86ba62fed2f30be433200690,9998b8dcbb2674ac680fd6598aea0840e69c0e1b,left,"-259,9","+259,9",a/src/directives.js,b/src/directives.js
e3e9ac86750b20fb8ad6765011e06d569899612d,f09415d0de5d383efc9e2cb35d1323a5aac2371d,91104f878debd0cd86ba62fed2f30be433200690,9998b8dcbb2674ac680fd6598aea0840e69c0e1b,left,"-258,1","+259,9",a/src/directives.js,b/src/directives.js
0a57273f0000421639c926d4d180680e3a64c0f7,f09415d0de5d383efc9e2cb35d1323a5aac2371d,91104f878debd0cd86ba62fed2f30be433200690,9998b8dcbb2674ac680fd6598aea0840e69c0e1b,left,"-258,1","+258,1",a/src/directives.js,b/src/directives.js
9998b8dcbb2674ac680fd6598aea0840e69c0e1b,f09415d0de5d383efc9e2cb35d1323a5aac2371d,91104f878debd0cd86ba62fed2f30be433200690,9998b8dcbb2674ac680fd6598aea0840e69c0e1b,right,"-258,1","+258,1",a/src/directives.js,b/src/directives.js
60eeeb9f20be3220dbb891abef848fe3754437da,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,left,"-105,14","+107,4",a/src/scenario/DSL.js,b/src/scenario/DSL.js
1f230bf3f55fc8541423dfa9fc0bc91f50c000a3,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,left,"-105,25","+105,14",a/src/scenario/DSL.js,b/src/scenario/DSL.js
669d8241b2ea61122aee3e45f67694e65596a2dd,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,left,"-90,14","+105,25",a/src/scenario/DSL.js,b/src/scenario/DSL.js
04e92a875344fb675f27355a8bae7a22d0a6ae63,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,left,"-90,15","+90,14",a/src/scenario/DSL.js,b/src/scenario/DSL.js
27784b6dec5ab81213288947c9741561d53ac2e2,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,left,"-81,15","+90,15",a/src/scenario/DSL.js,b/src/scenario/DSL.js
aa656253b9d4495264f14a76b6a80aa9a1d9a854,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,right,"-107,4","+107,4",a/src/scenario/DSL.js,b/src/scenario/DSL.js
675978f41fbd05a7ed3481a79b772877a59a1c15,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,right,"-105,14","+107,4",a/src/scenario/DSL.js,b/src/scenario/DSL.js
2767d7773f2e480552e9968eded31bd2b08bec71,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,right,"-105,25","+105,14",a/src/scenario/DSL.js,b/src/scenario/DSL.js
577ddaa5392dfad3b984515de0ad9262764a8721,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,right,"-90,14","+105,25",a/src/scenario/DSL.js,b/src/scenario/DSL.js
567341c10fc7f74d5333f27514bb2201f1dbee42,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,right,"-90,15","+90,14",a/src/scenario/DSL.js,b/src/scenario/DSL.js
e7b90956552bc129935e7b8dec947eb3e30f3c29,791b13d1618f0773f366738094df0b78f4bc20d8,550e5f8ce948f52a37286c91502bd49f44b73474,aa656253b9d4495264f14a76b6a80aa9a1d9a854,right,"-81,15","+90,15",a/src/scenario/DSL.js,b/src/scenario/DSL.js
d717020911a350a5ea3c0a985c57d56c8fcad607,5bd23fde7ab94646190d18d2891532feafad6e2e,d717020911a350a5ea3c0a985c57d56c8fcad607,861bac1d2808b15abb867e761ded8144bf5f7e94,left,"-388,18","+388,26",a/src/Angular.js,b/src/Angular.js
85f13d602e31424b2e2d18172872f14a24c31135,5bd23fde7ab94646190d18d2891532feafad6e2e,d717020911a350a5ea3c0a985c57d56c8fcad607,861bac1d2808b15abb867e761ded8144bf5f7e94,left,"-388,1","+388,18",a/src/Angular.js,b/src/Angular.js
11a6431f8926c557f3c58408dacc98466e76cde1,5bd23fde7ab94646190d18d2891532feafad6e2e,d717020911a350a5ea3c0a985c57d56c8fcad607,861bac1d2808b15abb867e761ded8144bf5f7e94,left,"-299,5","+388,1",a/src/Angular.js,b/src/Angular.js
861bac1d2808b15abb867e761ded8144bf5f7e94,5bd23fde7ab94646190d18d2891532feafad6e2e,d717020911a350a5ea3c0a985c57d56c8fcad607,861bac1d2808b15abb867e761ded8144bf5f7e94,right,"-299,5","+338,1",a/src/Angular.js,b/src/Angular.js
d717020911a350a5ea3c0a985c57d56c8fcad607,5bd23fde7ab94646190d18d2891532feafad6e2e,d717020911a350a5ea3c0a985c57d56c8fcad607,861bac1d2808b15abb867e761ded8144bf5f7e94,left,"-165,1","+166,1",a/src/Scope.js,b/src/Scope.js
11a6431f8926c557f3c58408dacc98466e76cde1,5bd23fde7ab94646190d18d2891532feafad6e2e,d717020911a350a5ea3c0a985c57d56c8fcad607,861bac1d2808b15abb867e761ded8144bf5f7e94,left,"-154,0","+165,1",a/src/Scope.js,b/src/Scope.js
861bac1d2808b15abb867e761ded8144bf5f7e94,5bd23fde7ab94646190d18d2891532feafad6e2e,d717020911a350a5ea3c0a985c57d56c8fcad607,861bac1d2808b15abb867e761ded8144bf5f7e94,right,"-154,0","+165,1",a/src/Scope.js,b/src/Scope.js
