evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
88f675bad27051269bb122655b26235176e89b8c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-2,0","+2,1",a/support/build/aggregate-build.js,b/support/build/aggregate-build.js
a6165edc51d973eecfb9f6ed6034f3c209151111,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,right,"-2,3","+1,2",a/support/build/aggregate-build.js,b/support/build/aggregate-build.js
1508a2f5890caac3553cdaa605cb2e069f3aac4c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,right,"-1,4","+2,3",a/support/build/aggregate-build.js,b/support/build/aggregate-build.js
88f675bad27051269bb122655b26235176e89b8c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-6,1","+7,2",a/support/build/aggregate-build.js,b/support/build/aggregate-build.js
70aa51c12b8009b5c899d855aa6185fc7303a4ef,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-5,15","+6,1",a/support/build/aggregate-build.js,b/support/build/aggregate-build.js
38f1440101f5b17d06dd90be358957a5619a980c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-5,15","+5,15",a/support/build/aggregate-build.js,b/support/build/aggregate-build.js
a6165edc51d973eecfb9f6ed6034f3c209151111,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,right,"-5,15","+6,1",a/support/build/aggregate-build.js,b/support/build/aggregate-build.js
1508a2f5890caac3553cdaa605cb2e069f3aac4c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,right,"-5,15","+5,15",a/support/build/aggregate-build.js,b/support/build/aggregate-build.js
88f675bad27051269bb122655b26235176e89b8c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-5,13","+2,6",a/support/build/aggregate-bundle.js,b/support/build/aggregate-bundle.js
70aa51c12b8009b5c899d855aa6185fc7303a4ef,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-2,8","+5,13",a/support/build/aggregate-bundle.js,b/support/build/aggregate-bundle.js
a6165edc51d973eecfb9f6ed6034f3c209151111,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,right,"-2,8","+2,16",a/support/build/aggregate-bundle.js,b/support/build/aggregate-bundle.js
1a2b5c31ddda488a03619675c6ace7859b2c3c5c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-3,7","+2,5",a/support/build/compile-modules.js,b/support/build/compile-modules.js
38f1440101f5b17d06dd90be358957a5619a980c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-1,9","+3,7",a/support/build/compile-modules.js,b/support/build/compile-modules.js
1508a2f5890caac3553cdaa605cb2e069f3aac4c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,right,"-1,9","+2,8",a/support/build/compile-modules.js,b/support/build/compile-modules.js
88f675bad27051269bb122655b26235176e89b8c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-12,5","+12,4",a/support/build/compile-modules.js,b/support/build/compile-modules.js
1a2b5c31ddda488a03619675c6ace7859b2c3c5c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-15,6","+12,5",a/support/build/compile-modules.js,b/support/build/compile-modules.js
70aa51c12b8009b5c899d855aa6185fc7303a4ef,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-15,5","+15,6",a/support/build/compile-modules.js,b/support/build/compile-modules.js
a6165edc51d973eecfb9f6ed6034f3c209151111,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,right,"-15,13","+15,14",a/support/build/compile-modules.js,b/support/build/compile-modules.js
88f675bad27051269bb122655b26235176e89b8c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-21,12","+20,11",a/support/build/compile-modules.js,b/support/build/compile-modules.js
1a2b5c31ddda488a03619675c6ace7859b2c3c5c,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,left,"-33,1","+21,12",a/support/build/compile-modules.js,b/support/build/compile-modules.js
a6165edc51d973eecfb9f6ed6034f3c209151111,acce4d9c0d2cfc2908730c6fd4d864005d63a0f0,88f675bad27051269bb122655b26235176e89b8c,a6165edc51d973eecfb9f6ed6034f3c209151111,right,"-35,8","+33,12",a/support/build/compile-modules.js,b/support/build/compile-modules.js
bc19c5a8c3ff3a2dea88fca574c22dc6511ba924,79fd8872f1c9c549450142dbd6c5c4c6b0517d76,9f1834c169bbb5f8d56ad2033393101b4762a38c,c54345d703a3d1959e6509c066c6966b2da6ee13,left,"-77,29","+77,29",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
5577fbcf4e8b90c5a24bf91f67547e5c19b56f70,79fd8872f1c9c549450142dbd6c5c4c6b0517d76,9f1834c169bbb5f8d56ad2033393101b4762a38c,c54345d703a3d1959e6509c066c6966b2da6ee13,left,"-77,12","+77,29",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
3b0d9bd039266d6b3f9603d4bc30aae8307becc6,79fd8872f1c9c549450142dbd6c5c4c6b0517d76,9f1834c169bbb5f8d56ad2033393101b4762a38c,c54345d703a3d1959e6509c066c6966b2da6ee13,left,"-95,12","+95,12",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
ba176c0e8ca3e257a75ab22cb3ecc020833a19be,79fd8872f1c9c549450142dbd6c5c4c6b0517d76,9f1834c169bbb5f8d56ad2033393101b4762a38c,c54345d703a3d1959e6509c066c6966b2da6ee13,left,"-95,0","+95,12",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
96eab09439d4c2e9853909f205cff188c994cd0f,79fd8872f1c9c549450142dbd6c5c4c6b0517d76,9f1834c169bbb5f8d56ad2033393101b4762a38c,c54345d703a3d1959e6509c066c6966b2da6ee13,right,"-77,11","+77,11",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
e235125fc58fb2b04322c6b0d2b06158da4919b3,79fd8872f1c9c549450142dbd6c5c4c6b0517d76,9f1834c169bbb5f8d56ad2033393101b4762a38c,c54345d703a3d1959e6509c066c6966b2da6ee13,right,"-77,0","+77,11",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
3b0d9bd039266d6b3f9603d4bc30aae8307becc6,a35af5192ffbe1215376dde7e8adfe277603643e,3b0d9bd039266d6b3f9603d4bc30aae8307becc6,a50b252794979c66ecb75e8f33cac882c1019ef0,left,"-77,31","+77,31",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
ba176c0e8ca3e257a75ab22cb3ecc020833a19be,a35af5192ffbe1215376dde7e8adfe277603643e,3b0d9bd039266d6b3f9603d4bc30aae8307becc6,a50b252794979c66ecb75e8f33cac882c1019ef0,left,"-77,18","+77,31",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
d6e0741d7976606c83d2a2f75e7c0e83357f1ae7,a35af5192ffbe1215376dde7e8adfe277603643e,3b0d9bd039266d6b3f9603d4bc30aae8307becc6,a50b252794979c66ecb75e8f33cac882c1019ef0,right,"-76,20","+76,2",a/mocha_test/autoInject.js,b/mocha_test/autoInject.js
e56a37170b017c3bade81eedab57a99a5e2f019f,a6d5e9503752f78a85bb03665c4d1fe4d0e12690,e56a37170b017c3bade81eedab57a99a5e2f019f,11f5d1f4ac46932a007b87757af3fb01db38d03e,left,"-501,0","+501,33",a/lib/async.js,b/lib/async.js
66fca2eaba5cf834e4b3b20b9b0028d52523e73c,a6d5e9503752f78a85bb03665c4d1fe4d0e12690,e56a37170b017c3bade81eedab57a99a5e2f019f,11f5d1f4ac46932a007b87757af3fb01db38d03e,right,"-604,1","+604,1",a/lib/async.js,b/lib/async.js
9ae79fd05288ad08e93ece012da69670e46af96a,a1fdd1cf87ca86ddcac71e744ab08899a84656cc,22e89cb5d5d3fd655e6af65750896f53a4f8e600,04dec370886cbd11845bd30559465ca29bda14ef,left,"-51,41","+51,41",a/perf/benchmark.js,b/perf/benchmark.js
04dec370886cbd11845bd30559465ca29bda14ef,a1fdd1cf87ca86ddcac71e744ab08899a84656cc,22e89cb5d5d3fd655e6af65750896f53a4f8e600,04dec370886cbd11845bd30559465ca29bda14ef,right,"-51,41","+63,41",a/perf/benchmark.js,b/perf/benchmark.js
9ae79fd05288ad08e93ece012da69670e46af96a,a1fdd1cf87ca86ddcac71e744ab08899a84656cc,22e89cb5d5d3fd655e6af65750896f53a4f8e600,04dec370886cbd11845bd30559465ca29bda14ef,left,"-142,34","+155,22",a/perf/benchmark.js,b/perf/benchmark.js
04dec370886cbd11845bd30559465ca29bda14ef,a1fdd1cf87ca86ddcac71e744ab08899a84656cc,22e89cb5d5d3fd655e6af65750896f53a4f8e600,04dec370886cbd11845bd30559465ca29bda14ef,right,"-142,34","+154,34",a/perf/benchmark.js,b/perf/benchmark.js
