evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[114, 114]","[115, 115]",152,155,True,False,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[114, 114]","[115, 115]",30,30,True,False,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[114, 114]","[115, 115]",92,92,True,False,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[114, 114]","[115, 115]",114,115,True,True,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[114, 114]","[115, 115]",147,149,True,False,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[147, 148]","[149, 150]",152,155,True,False,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[147, 148]","[149, 150]",30,30,True,False,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[147, 148]","[149, 150]",92,92,True,False,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[147, 148]","[149, 150]",114,115,True,False,RENAME
1fecb21940135b2ff647a93d1fc83df03b363714,da40afa5ee2bca3cb92d9f7fd8bc83c5fdbfa1e1,c64997e79593f83468f1db2517d40e385098414a,2a13d0857682663e556b1a344d8c33d3a6c289bf,lib/async.js,lib/async.js,lib/async.js,lib/async.js,"[147, 148]","[149, 150]",147,149,True,True,RENAME
