evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",161,161,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",244,244,True,True,MOVE_RENAME
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",192,192,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",128,128,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",182,182,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",145,145,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",131,131,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",153,153,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",112,112,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",187,187,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",178,178,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",93,93,True,False,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",210,209,True,True,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",37,37,True,True,MOVE_RENAME
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",31,30,True,True,MOVE
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",63,63,True,False,MOVE_RENAME
48ed485fa30a14e4d19ff975ce8f4ad17ae4dfca,14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,lib/service.js,lib/service.js,lib/client.js,lib/service.js,"[28, 40]","[204, 266]",170,170,True,False,MOVE
