merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
0ef1fddf1eb33e879e7d1d7f905a47f6b4ceac64,6788b2915fe537df9fd3a7111c98ffc471919025,2670353c2e1fd25cb2b5210b0272b759054453a1,['lib/config.js'],[],1,1,1,0,0
b6c181d529091bdfa7c71940d92c9b06cd92bc87,2e580dc1767f438d28373159b385a4e4ffcecbf8,bb383b5fc808f714b600b6bbdab25656c6dd3fd5,[],['clients/all.d.ts'],0,1,0,0,0
07c786b2f7f8ac9605550a9de23d87cd8c9ac677,ba6bae0b1fa2c4959cfaa40a5821ea8ab2d8869a,e5b340b8fd11c6aaec35fc338e7fb8107927b84a,[],['ts/s3.ts'],0,1,0,0,0
de21c81d0aac050b94afc6af596de61c4086bee4,02c54e1846ca4e9ebfd09982ce963dbc8bcc0969,f133f426d609d1a3228737137c4e3846a71033a5,['dist-tools/service-collector.js'],"['apis/metadata.json', 'package.json']",1,3,1,0,0
4aefe845a68f61fb768be22697f93906a953103c,e9f8a8896d5ee38ae222b6e099838507dfb7a9d6,a491fd36303aeadcc907ba13118b845a91992902,[],['test/credentials.spec.coffee'],0,1,0,0,0
1a0a13536248536efbb4056f99bd13a295b9f68a,5877884979050729bf6303fcfca18d697173d454,25fea3407526a2945439df19f2f6839feb6ea2ea,[],['test/signers/v4.spec.coffee'],0,2,0,0,0
d4a241a8cf653bee7ea32790ed32b587d57a07d7,84cc6d424d5c926cccf046602513d75062b26dc7,b589ef37b59a697758f7e56e981c9bb677748ea9,['lib/service.js'],[],1,1,1,0,0
d2fabe6deb6499f85b360887cc04c6e55532901a,28441b56fa8652725a99c12e4792cbeaa3ff14ea,4d53c06e5045241ee7df59abaf1467347a84efb3,['lib/service.js'],[],1,1,1,0,0
b6fff19a3f8c503f4ae859fc02f25c4abb21e5cc,b109819d0b9f2b120a2592a6199139eca20f6bd4,3a18ea6c1e284de9713addfb4c06727b2b74d99a,['lib/http.js'],['test/signers/v4.spec.coffee'],1,2,1,0,0
2f34ef81424a40ef9668b9af36a63b4cff36afe0,5b9709364073366c90962e1027e47fb55e98b6cb,7743418de09f257ffb0d69d86d68b036170fb52d,[],['test/event_listeners.spec.coffee'],0,1,0,0,0
1102504af111764dfeef99fadfb6f2cec34d7032,d807651ba3021da4263151e9f36e05074182ed27,940ce01678ccde4f2e19b125061a9d5c019f06cc,[],['test/credentials.spec.coffee'],0,1,0,0,0
cf0807bcf1dc99b3bbe7d311f5be751aee27a365,868ddd6f8002fac41de867678791972aa5d84268,a049ad49572caceda157533e20a9f6b5b005b8b5,[],['test/helpers.coffee'],0,1,0,0,0
4784eef2608f6777d81f10cb9e838ab98bdbfa9a,8d054f9e8b71db087a8ea552bf68c77889e03315,8380f2753ac96953a141e6f393f2829335255dba,['lib/event_listeners.js'],[],1,1,1,0,0
14d4d0e1b3e5a8394e16e0fe5bfc33dcbd405bad,df0e97bbf2c93a8f8ab30a1fe835998dceb43b0e,b3f411ae2f6a65c9154b5b3f664ee64b22cf1d9a,"['lib/core.js', 'lib/event_listeners.js', 'lib/http.js', 'lib/service.js', 'lib/services/autoscaling.js', 'lib/services/cloudformation.js', 'lib/services/cloudfront.js', 'lib/services/cloudsearch.js', 'lib/services/cloudwatch.js', 'lib/services/datapipeline.js', 'lib/services/directconnect.js', 'lib/services/dynamodb.js', 'lib/services/ec2.js', 'lib/services/elasticache.js', 'lib/services/elasticbeanstalk.js', 'lib/services/elastictranscoder.js', 'lib/services/elb.js', 'lib/services/emr.js', 'lib/services/glacier.js', 'lib/services/iam.js', 'lib/services/importexport.js', 'lib/services/opsworks.js', 'lib/services/rds.js', 'lib/services/redshift.js', 'lib/services/route53.js', 'lib/services/s3.js', 'lib/services/ses.js', 'lib/services/simpledb.js', 'lib/services/simpleworkflow.js', 'lib/services/sns.js', 'lib/services/sqs.js', 'lib/services/storagegateway.js', 'lib/services/sts.js', 'lib/signers/s3.js', 'lib/signers/v4.js']","['test/event_listeners.spec.coffee', 'test/helpers.coffee', 'test/node_http_client.spec.coffee', 'test/request.spec.coffee']",35,51,41,17,4
e0743f14f484e1f99b4b1048fdbea423a0f68f22,f345ce8baa35fcd44741c9865fe3c73612364e1c,8c0bb4be4ccfd59e56bc4db6667537c43d9d8979,['lib/service_interface/query.js'],[],1,1,1,0,0
6e6a12bbdea657d7019faa9260b5892dd6cbf09e,9e8260fdb4289d5c856f18c49df0e3ac7baa8966,323e6d37a7b4d04347dcf6849e4c72b768c79809,"['doc-src/ec2.docs.js', 'doc-src/s3.docs.js']",[],2,113,113,0,0
