evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,899c57b96002cb976db42a7d6253b04e0fe7b30d,794a522fb65bbd7b51f88bb4c76e9788a94f6e4c,0c847c45714e64306d7c20a6ca814d87d7bd3ba4,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[105, 115]",51,14,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,899c57b96002cb976db42a7d6253b04e0fe7b30d,794a522fb65bbd7b51f88bb4c76e9788a94f6e4c,0c847c45714e64306d7c20a6ca814d87d7bd3ba4,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[105, 115]",64,21,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[7, 47]","[7, 51]",51,14,True,True,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[7, 47]","[7, 51]",64,21,True,True,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[7, 41]","[7, 47]",59,22,True,True,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[7, 41]","[7, 47]",45,15,True,True,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[122, 133]","[53, 64]",59,22,True,True,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[122, 133]","[53, 64]",45,15,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[4, 4]",51,14,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[4, 4]",64,21,True,False,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[3, 4]",59,22,True,False,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[3, 4]",45,15,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[14, 48]",51,14,True,True,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[14, 48]",64,21,True,True,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[15, 49]",59,22,True,True,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[15, 49]",45,15,True,True,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[56, 56]",51,14,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[56, 56]",64,21,True,False,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[57, 57]",59,22,True,False,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[57, 57]",45,15,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[79, 82]",51,14,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[79, 82]",64,21,True,False,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[77, 83]",59,22,True,False,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[77, 83]",45,15,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[90, 91]",51,14,True,False,MOVE
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[90, 91]",64,21,True,False,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[91, 92]",59,22,True,False,MOVE
0781f711d0da559abe2945d6a9b868cb7a2fc53e,432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/targets-parser.js,experimental/babel-preset-env/src/index.js,experimental/babel-preset-env/src/targets-parser.js,"[0, -1]","[91, 92]",45,15,True,False,MOVE
