merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
4521204ea0c6c882f930cd547644fbcff0f06b43,122906d5255dfef9075284f5e505dd84b1951535,d35563ee1a7c3d8a69b5bc1b87fc8d6d883f00ea,[],['packages/babel-parser/src/tokenizer/index.js'],0,3,0,0,0
42c740ca0a009ac4019a339c7f9be9293c93ab8c,7ae6e1e5a05cbc26014fe2e4dc9d0b3d91ff7126,4e6cd298c7da367ed535c220953933337a43c1ab,[],['packages/babel-helper-remap-async-to-generator/package.json'],0,1,0,0,0
7dfa79f4c8049a3cde308ccd3b8a29acd46941c4,3e34162092e12b271b629527ada7f02b81b5495a,c440f045f548ab60d15880a60b34511a7ffec931,[],['packages/babylon/package.json'],0,1,0,0,0
233e60c76501493d1549e2356306f1c8140d1397,72a90cb63d806c4f1695f5c2710f0142c533a930,9e2828322e8837cbb5b0f1e01a512845f54e56d6,[],['packages/babylon/src/tokenizer/index.js'],0,1,0,0,0
9f0f8d99d5cfa7927ab8edf4999e31b0153ba6c2,cdb34c3aa29c520928291b90f2b5fa403187fcb8,8b97a8acf92fd311210c33a53bfcd1675a984441,[],['experimental/babel-preset-env/README.md'],0,2,0,0,0
0189b387026c35472dccf45d14d58312d249f799,b82b65a31e73e757a33335848f70d3b7e7329965,cee4cde53e4f452d89229986b9368ecdb41e00da,['lib/types.js'],"['CONTRIBUTING.md', 'Makefile', 'README.md', 'lerna.json', 'package.json', 'packages/babel-cli/package.json', 'packages/babel-code-frame/package.json', 'packages/babel-core/package.json', 'packages/babel-core/test/fixtures/transformation/misc/regression-2892/expected.js']",1,488,35,0,0
48a4675fed506c759ae4a2c02b8b4bc2fec26e25,dbd65d93bbf14a48adcbeaa751ebc805e233b7a4,5fa460ff2a83fdb2dc2cbc0d9ee59b609e589772,['experimental/babel-preset-env/src/normalize-options.js'],"['experimental/babel-preset-env/README.md', 'experimental/babel-preset-env/package.json', 'experimental/babel-preset-env/yarn.lock']",1,4,1,0,0
2dba910b9e32679fb0adbfb89f00d5ef30e0b715,4d510520376d22528aef96022e6d0ab3ddc19e14,ccd314cba77406cc7e80e49bd9d267acd7ebcad4,[],"['packages/babel-plugin-transform-es2015-modules-commonjs/package.json', 'packages/babel-types/package.json']",0,2,0,0,0
899c57b96002cb976db42a7d6253b04e0fe7b30d,794a522fb65bbd7b51f88bb4c76e9788a94f6e4c,0c847c45714e64306d7c20a6ca814d87d7bd3ba4,['experimental/babel-preset-env/src/targets-parser.js'],"['experimental/babel-preset-env/.travis.yml', 'experimental/babel-preset-env/package.json', 'experimental/babel-preset-env/yarn.lock']",1,9,1,2,0
432495752d200406908a4714c33e80bc55cb5c7b,7945c5338929024a79e496e4c519b03132a46a07,906299532410d2a6259c479d31024c2786c6a143,"['experimental/babel-preset-env/scripts/build-data.js', 'experimental/babel-preset-env/scripts/smoke-test.js', 'experimental/babel-preset-env/src/index.js', 'experimental/babel-preset-env/src/targets-parser.js', 'experimental/babel-preset-env/src/utils.js', 'experimental/babel-preset-env/test/targets-parser.spec.js', 'experimental/babel-preset-env/test/utils.spec.js']","['experimental/babel-preset-env/data/built-ins.json', 'experimental/babel-preset-env/data/plugins.json', 'experimental/babel-preset-env/package.json', 'experimental/babel-preset-env/test/debug-fixtures/android/stdout.txt', 'experimental/babel-preset-env/test/debug-fixtures/builtins-uglify/stdout.txt', 'experimental/babel-preset-env/test/debug-fixtures/builtins/stdout.txt', 'experimental/babel-preset-env/test/debug-fixtures/electron/stdout.txt', 'experimental/babel-preset-env/test/debug-fixtures/plugins-only/stdout.txt', 'experimental/babel-preset-env/test/debug-fixtures/specific-targets/stdout.txt', 'experimental/babel-preset-env/test/debug-fixtures/versions-decimals/options.json', 'experimental/babel-preset-env/test/debug-fixtures/versions-decimals/stdout.txt', 'experimental/babel-preset-env/test/debug-fixtures/versions-strings/options.json', 'experimental/babel-preset-env/test/debug-fixtures/versions-strings/stdout.txt', 'experimental/babel-preset-env/yarn.lock']",7,74,22,30,9
