evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
868649c9a96c5b74894dc5c04ac8b2704f7636ae,736d3cfe7abab93155cfccf0359dcbe928edf294,ce2528472b5f498d15a7a0c535c234e8703a96c2,28670fbf2a4aae1530fb047869dc7de3f8ddb0fc,left,"-30,3","+30,1",a/src/promise_resolver.js,b/src/promise_resolver.js
8fb08f58d7306034ee94d1e2397e9bc6d07d413b,736d3cfe7abab93155cfccf0359dcbe928edf294,ce2528472b5f498d15a7a0c535c234e8703a96c2,28670fbf2a4aae1530fb047869dc7de3f8ddb0fc,left,"-30,0","+30,3",a/src/promise_resolver.js,b/src/promise_resolver.js
e70a28ec2220cd02d8a357813aac3a909088e0ad,736d3cfe7abab93155cfccf0359dcbe928edf294,ce2528472b5f498d15a7a0c535c234e8703a96c2,28670fbf2a4aae1530fb047869dc7de3f8ddb0fc,right,"-30,0","+30,3",a/src/promise_resolver.js,b/src/promise_resolver.js
b8e7896cdcf28ee4467e18999e2404863c54df7c,d8a988953c2377d8bd40b89c0de5f3f137dbda81,b8e7896cdcf28ee4467e18999e2404863c54df7c,39a650dd58abf8b6cb931da98f8949acc9ad6f6a,left,"-1455,2","+1455,1",a/js/bluebird.js,b/js/bluebird.js
471315cfb9530e7485f64219c9e58da7045666f7,d8a988953c2377d8bd40b89c0de5f3f137dbda81,b8e7896cdcf28ee4467e18999e2404863c54df7c,39a650dd58abf8b6cb931da98f8949acc9ad6f6a,right,"-1349,1","+1349,2",a/js/bluebird.js,b/js/bluebird.js
b8e7896cdcf28ee4467e18999e2404863c54df7c,d8a988953c2377d8bd40b89c0de5f3f137dbda81,b8e7896cdcf28ee4467e18999e2404863c54df7c,39a650dd58abf8b6cb931da98f8949acc9ad6f6a,left,"-1553,2","+1553,1",a/js/bluebird_debug.js,b/js/bluebird_debug.js
471315cfb9530e7485f64219c9e58da7045666f7,d8a988953c2377d8bd40b89c0de5f3f137dbda81,b8e7896cdcf28ee4467e18999e2404863c54df7c,39a650dd58abf8b6cb931da98f8949acc9ad6f6a,right,"-1442,1","+1442,2",a/js/bluebird_debug.js,b/js/bluebird_debug.js
b8e7896cdcf28ee4467e18999e2404863c54df7c,d8a988953c2377d8bd40b89c0de5f3f137dbda81,b8e7896cdcf28ee4467e18999e2404863c54df7c,39a650dd58abf8b6cb931da98f8949acc9ad6f6a,left,"-1455,2","+1455,1",a/js/bluebird_sync.js,b/js/bluebird_sync.js
471315cfb9530e7485f64219c9e58da7045666f7,d8a988953c2377d8bd40b89c0de5f3f137dbda81,b8e7896cdcf28ee4467e18999e2404863c54df7c,39a650dd58abf8b6cb931da98f8949acc9ad6f6a,right,"-1349,1","+1349,2",a/js/bluebird_sync.js,b/js/bluebird_sync.js
d9da63ac4370c8e9419318fea44bcb8b473f4b9a,f3859912cddfddf8929dd08022e4f7614086948f,d9da63ac4370c8e9419318fea44bcb8b473f4b9a,471315cfb9530e7485f64219c9e58da7045666f7,left,"-255,1","+282,1",a/js/bluebird.js,b/js/bluebird.js
471315cfb9530e7485f64219c9e58da7045666f7,f3859912cddfddf8929dd08022e4f7614086948f,d9da63ac4370c8e9419318fea44bcb8b473f4b9a,471315cfb9530e7485f64219c9e58da7045666f7,right,"-255,2","+255,2",a/js/bluebird.js,b/js/bluebird.js
d9da63ac4370c8e9419318fea44bcb8b473f4b9a,f3859912cddfddf8929dd08022e4f7614086948f,d9da63ac4370c8e9419318fea44bcb8b473f4b9a,471315cfb9530e7485f64219c9e58da7045666f7,left,"-369,1","+396,53",a/js/bluebird.js,b/js/bluebird.js
471315cfb9530e7485f64219c9e58da7045666f7,f3859912cddfddf8929dd08022e4f7614086948f,d9da63ac4370c8e9419318fea44bcb8b473f4b9a,471315cfb9530e7485f64219c9e58da7045666f7,right,"-368,2","+368,2",a/js/bluebird.js,b/js/bluebird.js
471315cfb9530e7485f64219c9e58da7045666f7,f3859912cddfddf8929dd08022e4f7614086948f,d9da63ac4370c8e9419318fea44bcb8b473f4b9a,471315cfb9530e7485f64219c9e58da7045666f7,right,"-388,2","+388,2",a/js/bluebird.js,b/js/bluebird.js
d9da63ac4370c8e9419318fea44bcb8b473f4b9a,f3859912cddfddf8929dd08022e4f7614086948f,d9da63ac4370c8e9419318fea44bcb8b473f4b9a,471315cfb9530e7485f64219c9e58da7045666f7,left,"-1349,1","+1456,1",a/js/bluebird.js,b/js/bluebird.js
471315cfb9530e7485f64219c9e58da7045666f7,f3859912cddfddf8929dd08022e4f7614086948f,d9da63ac4370c8e9419318fea44bcb8b473f4b9a,471315cfb9530e7485f64219c9e58da7045666f7,right,"-1349,1","+1350,1",a/js/bluebird.js,b/js/bluebird.js
