evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,src/promise.js,js/bluebird.js,"[734, 750]","[733, 739]",911,856,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird_sync.js,js/bluebird.js,"[734, 750]","[733, 739]",1271,891,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,src/promise.js,js/bluebird.js,"[734, 750]","[733, 739]",864,809,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird.js,js/bluebird.js,"[734, 750]","[733, 739]",1246,856,True,False,EXTRACT
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,src/promise.js,js/bluebird.js,"[734, 750]","[733, 739]",946,891,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird_sync.js,js/bluebird.js,"[734, 750]","[733, 739]",1189,809,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird_sync.js,js/bluebird.js,"[734, 750]","[733, 739]",1315,935,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,src/promise.js,js/bluebird.js,"[734, 750]","[733, 739]",990,935,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird.js,js/bluebird.js,"[734, 750]","[733, 739]",1281,891,True,False,EXTRACT
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird.js,js/bluebird.js,"[734, 750]","[733, 739]",1325,935,True,False,EXTRACT
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,src/promise.js,js/bluebird.js,"[734, 750]","[733, 739]",901,846,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird.js,js/bluebird.js,"[734, 750]","[733, 739]",1236,846,True,False,EXTRACT
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird.js,js/bluebird.js,"[734, 750]","[733, 739]",1199,809,True,False,EXTRACT
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird_sync.js,js/bluebird.js,"[734, 750]","[733, 739]",1226,846,True,False,EXTRACT_MOVE
096fb5a493ae2b338bb2ac9ff180c9076132bdff,1d690230bc2f34968b4a821f5723e215d21f54b1,0a5cbf28ef608922c6b55c5e87f451009ad7c760,60f5e1c33a425090bf4f0ac85ff58a84f454cf91,js/bluebird.js,js/bluebird.js,js/bluebird_sync.js,js/bluebird.js,"[734, 750]","[733, 739]",1236,856,True,False,EXTRACT_MOVE
