merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
8f6de23682cf08f0e70b9561f75642cbcca14250,cb021439c683d9805e2864c58095b92d405e9b11,abdd3fef1fc742d2a21fc6f536cdad0ebb67aa3c,[],['.bundlewatch.config.json'],0,1,0
74a2d93517553cfd394526d789f6e23e99ace597,f0e5cc3f417191f5823f426b1ae071c78f427475,dee3ab427cb9b73639e38a60e1cbb59dc99fedf4,[],[],0,0,0
fca7531897447fb2f9524559dfb00ecee0944d58,cdcfd3b1e87638449c311ea5245bfb000226c3de,f50f6e03551ae9f9477f4ebdfe934c7452d6c6ad,[],['scss/_variables.scss'],0,2,0
2eb456b5d827e90385d363c56b140d9b83ee100c,9928311bd9858dfd177fdfcfd79be6b6c1da3b84,6f8d322f740955abead66cc6a396248b91809641,[],"['site/docs/4.1/examples/blog/blog.css', 'site/docs/4.1/examples/checkout/form-validation.css', 'site/docs/4.1/examples/offcanvas/offcanvas.css', 'site/docs/4.1/examples/pricing/pricing.css', 'site/docs/4.1/examples/product/product.css']",0,5,0
9928311bd9858dfd177fdfcfd79be6b6c1da3b84,a5d48323a2bb4600fe6d53b5a881e1386e46e9ce,e77d64b3723fc78b81cdd26719090653cb02cff8,[],['site/docs/4.1/examples/offcanvas/index.html'],0,1,0
5ad1049622fa409cd9ddf51a3f0f8a5c9d0c2483,cfc9c85b322bc72b80c0d2398a65febe5bb875b6,a8b00ddc126fd5814799b2a77a1b6fe14d04ffb4,[],['scss/_variables.scss'],0,1,0
982aeea1f7a27109d60baf07adcc73cd08742939,6a52ebfe1a7c7409d308d1c87c088b770a845e88,c0246e926f0e9e955f34b34286f97cc201582ba1,[],['docs/4.0/components/collapse.md'],0,3,0
38271b21d5ec7db354c96d3f9eaafdb9a68560aa,44eedf3e58a4a1697233efdd57dea5f347cc0833,71550d3c9c22252204622ea40054ed5b262d8e3f,[],['scss/_variables.scss'],0,1,0
babdf36c422f3e6e9d6fe80133e0b3cf121b5ef4,643f5482a408b372b6da84c7859cdfa3fd4cb0b8,7c10068c76751ee0ae8aab8cf0b7bdfdf40912ae,[],['docs/4.0/migration.md'],0,1,0
1f42d79561d3931b91e09e5d1d04b3a4ce9aa431,58e553d7bcdd440cafa13a4a9b97cc293dbfcb04,29d58fb758683db42c2d716ac654dea3ab6063c7,[],"['scss/_forms.scss', 'scss/_input-group.scss', 'scss/_variables.scss']",0,4,0
9501ed87252b7f07a79667562f47818f60017196,4a603f11e561bbb528a3a66870ab367c26518990,c090c79a709a84cb6e2bd5dbed6343ae49c861a1,[],['scss/mixins/_buttons.scss'],0,2,0
e626277c731b36826dec978b3cf3dc8901ef11f0,7adf74d58508b4fae4fed94da1b304f18d912591,ea854233b70a4420d20eaacf507865f395134cae,[],[],0,0,0
64008ad721cab6171fcce431709a982f21e6094e,41f4ddbdb567c200a27bd78799d63971d634f5e8,db732995cc15660a97705b6c7c025854c896002c,[],['docs/4.0/migration.md'],0,1,0
e62b121226f26b72c8bc8dbb0698c16262bf6858,5818374fdf55db9b2437391a68af3f057a992fbe,ac96ecbec5440b67f5c6c587e4c39d06b1262e34,[],"['scss/bootstrap-grid.scss', 'scss/bootstrap-reboot.scss', 'scss/bootstrap.scss']",0,3,0
d7302c221aa5688edb6323d754a4b7dd508759e3,c2b68104b65531db02e1f56ef51199ad34f671f3,658fbd5c96244a28c225bd6e5e64f2c8c0409327,[],['docs/4.0/migration.md'],0,1,0
