evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
6f3b13f9fd8084aca1ce9f1c08f00b138111cae5,72c5fd6980cc6a11b10d743ebe901be528128bf6,041fe77ab46eedaecb9ca177e3e82954ea6898d8,b9db96b1b5a427588fbc20887e66202f60f5ea17,src/bowser.js,src/bowser.js,src/new-bowser.js,src/bowser.js,"[6, 5]","[7, 7]",17,17,True,False,MOVE
1f572ed8f4b7405989a018fd99f97414144d957f,72c5fd6980cc6a11b10d743ebe901be528128bf6,041fe77ab46eedaecb9ca177e3e82954ea6898d8,b9db96b1b5a427588fbc20887e66202f60f5ea17,src/bowser.js,src/bowser.js,src/bowser.js,src/bowser.js,"[9, 16]","[9, 16]",28,29,True,False,RENAME
6f3b13f9fd8084aca1ce9f1c08f00b138111cae5,72c5fd6980cc6a11b10d743ebe901be528128bf6,041fe77ab46eedaecb9ca177e3e82954ea6898d8,b9db96b1b5a427588fbc20887e66202f60f5ea17,src/bowser.js,src/bowser.js,src/new-bowser.js,src/bowser.js,"[450, 449]","[14, 17]",17,17,True,True,MOVE
6f3b13f9fd8084aca1ce9f1c08f00b138111cae5,72c5fd6980cc6a11b10d743ebe901be528128bf6,041fe77ab46eedaecb9ca177e3e82954ea6898d8,b9db96b1b5a427588fbc20887e66202f60f5ea17,src/bowser.js,src/bowser.js,src/new-bowser.js,src/bowser.js,"[600, 601]","[60, 60]",17,17,True,False,MOVE
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,bowser.js,bowser.js,"[19, 20]","[19, 25]",19,19,True,True,EXTRACT
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,src/bowser.js,bowser.js,"[19, 20]","[19, 25]",13,19,True,True,EXTRACT_MOVE
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,bowser.js,bowser.js,"[35, 69]","[40, 74]",19,19,True,False,EXTRACT
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,src/bowser.js,bowser.js,"[35, 69]","[40, 74]",13,19,True,False,EXTRACT_MOVE
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,bowser.js,bowser.js,"[89, 89]","[94, 94]",19,19,True,False,EXTRACT
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,src/bowser.js,bowser.js,"[89, 89]","[94, 94]",13,19,True,False,EXTRACT_MOVE
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,bowser.js,bowser.js,"[102, 102]","[107, 107]",19,19,True,False,EXTRACT
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,src/bowser.js,bowser.js,"[102, 102]","[107, 107]",13,19,True,False,EXTRACT_MOVE
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,bowser.js,bowser.js,"[124, 136]","[129, 141]",19,19,True,False,EXTRACT
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,src/bowser.js,bowser.js,"[124, 136]","[129, 141]",13,19,True,False,EXTRACT_MOVE
0da898f90694e901b9faa1a3e3db73a028b21df9,b62ae3e233a7c7e69b00c9974e90f19d65bb982a,5aeeb687461583e17ab37cb6adff4a5fee8c9fcd,1bbfe34a2c710d04fc779c0ff00e9968362fcab6,bowser.js,bowser.js,bowser.js,bowser.js,"[144, 173]","[149, 180]",19,19,True,False,EXTRACT
