merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
2422097f0975f064e8a5966741a60bb8ac2782a3,b4c5fbd7224d6238bfb338529f1ed2fb0fbad145,18dd43112e70acc351804127c8b9a0bebde72062,['src/brackets.js'],[],1,1,1
ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,"['src/nls/fr/strings.js', 'src/nls/ja/strings.js']",[],2,4,4
afd8042c71b334e9c66ebad03924a6c079f81d01,bd293bfb6168a2b0b50a8d1aa6d770c2198aab4e,1e5d906d2e0c9cd96d3a22325a8621aaec3f3800,"['src/search/FindBar.js', 'src/search/QuickSearchField.js']",[],2,2,2
ad915c721ffe379d47e95335eaf2ddd1f6838a6f,fe9237e49e94f864048c559f2c89274991ccf01e,aef78dd0e0cc4dd72fa935cdf9d7dcf00e586ea9,['src/LiveDevelopment/Agents/RemoteFunctions.js'],[],1,4,4
a25259d817abcdf978a50fb9b547afc25e28d3e2,c5cf0d5d8ef1c452b6d5e091e0e7421205bce875,fe2ba27c47a69f80d91d78efc0b989ac597c6890,[],['package.json'],0,1,0
710181a8272c6507d9e40790fe3e4573cf0bce81,e1a1e6d575d98df329bd9142fb3da36805c28ff9,7732d934c3da9175f44b97a51a69c7fb2623959f,[],['test/spec/SpecRunnerUtils.js'],0,2,0
af423b416f9db82e72def4a987c62ceba0308394,ad8e1edaaca63c6f47b3e39e6e5d5bc4ceee74fd,219f8565346c3c3c913e4243434ebd21844ff374,['tasks/npm-install.js'],[],1,1,1
05f11522b739e9ed95a3b6ba177106528c753506,870f633805387d5e23fc3cf1d7d8193eb56b2776,34a6e79aa23668916f2228507bbe93e63add72ba,['src/extensibility/ExtensionManagerView.js'],[],1,2,2
7d4c87d4f3c99413a8c5b27fa0fc38546e2e6e12,8b43056a03aa014d071c1393e3edd793fa594180,51582db1932617e4c1faf8a91fafacfb8681c47b,['src/project/FileTreeView.js'],[],1,1,1
4c1c82f35c86f7df4c432b62c9ed47da6630012b,a0ba41dc89fb202f160fb8af9347015eab019ee2,72f9b1d67709800497f475141adff3e839364a3a,['src/editor/Editor.js'],['test/spec/EditorCommandHandlers-test.js'],1,30,3
7a4c64a72fbdedaa459eb31a333719cdc29f2f96,c20e9e26ea8edcb13fabdd39337829a0ade48a42,ebd613be5d49d269476445417270e3f01e1c579a,[],[],0,0,0
51808468d9b71c04c05525964d8dff4e5ef6fb50,cbc51901638022ac712563f581ac7cdc85cf7987,ebd613be5d49d269476445417270e3f01e1c579a,['src/extensions/default/CodeFolding/foldhelpers/foldgutter.js'],[],1,2,2
