evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
12b4fed07813fc5a2947344ad282919cd3469cb9,2422097f0975f064e8a5966741a60bb8ac2782a3,b4c5fbd7224d6238bfb338529f1ed2fb0fbad145,18dd43112e70acc351804127c8b9a0bebde72062,left,"-153,9","+153,7",a/src/brackets.js,b/src/brackets.js
781bc66aa2d5d0667ccb474dea1964c590a0d28b,2422097f0975f064e8a5966741a60bb8ac2782a3,b4c5fbd7224d6238bfb338529f1ed2fb0fbad145,18dd43112e70acc351804127c8b9a0bebde72062,left,"-153,3","+153,9",a/src/brackets.js,b/src/brackets.js
b96625a4b8e0aaaf58ca56082ed29dbc588e9379,2422097f0975f064e8a5966741a60bb8ac2782a3,b4c5fbd7224d6238bfb338529f1ed2fb0fbad145,18dd43112e70acc351804127c8b9a0bebde72062,right,"-152,5","+152,2",a/src/brackets.js,b/src/brackets.js
25292102649f42bcfb881e88670eb8dabf68a341,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-220,7","+220,7",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
251144291b80e6410b90f774112ea50abf105176,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-220,7","+220,7",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
bc874bb025b16bb485cf1306f512085ccde3fe73,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,right,"-220,7","+220,7",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
baef0372d85fc2eee81886d8e52f642ae5d953ed,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-755,0","+758,1",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
bc874bb025b16bb485cf1306f512085ccde3fe73,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,right,"-753,2","+754,2",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
9b7a4ee2b204716d438c357572570df5d2f1cd30,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-803,2","+803,2",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
3df39638a9f690eb4e3ec80df6c30ec6edb8bc58,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-803,1","+803,2",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
251144291b80e6410b90f774112ea50abf105176,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-798,1","+799,1",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
bc874bb025b16bb485cf1306f512085ccde3fe73,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,right,"-798,1","+799,1",a/src/nls/fr/strings.js,b/src/nls/fr/strings.js
9b7a4ee2b204716d438c357572570df5d2f1cd30,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-803,2","+803,2",a/src/nls/ja/strings.js,b/src/nls/ja/strings.js
3df39638a9f690eb4e3ec80df6c30ec6edb8bc58,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-803,1","+803,2",a/src/nls/ja/strings.js,b/src/nls/ja/strings.js
25292102649f42bcfb881e88670eb8dabf68a341,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-799,1","+799,1",a/src/nls/ja/strings.js,b/src/nls/ja/strings.js
251144291b80e6410b90f774112ea50abf105176,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,left,"-798,1","+799,1",a/src/nls/ja/strings.js,b/src/nls/ja/strings.js
bc874bb025b16bb485cf1306f512085ccde3fe73,ce778776761ecbb501428f59fe1d145a423ff007,6ac21ffbe51dde2256fe6c44be007f3cd1390e7a,189f6d39abf1651454feabd8ed01d371eadf2628,right,"-798,1","+799,1",a/src/nls/ja/strings.js,b/src/nls/ja/strings.js
bd293bfb6168a2b0b50a8d1aa6d770c2198aab4e,afd8042c71b334e9c66ebad03924a6c079f81d01,bd293bfb6168a2b0b50a8d1aa6d770c2198aab4e,1e5d906d2e0c9cd96d3a22325a8621aaec3f3800,left,"-494,2","+494,2",a/src/search/FindBar.js,b/src/search/FindBar.js
bd293bfb6168a2b0b50a8d1aa6d770c2198aab4e,afd8042c71b334e9c66ebad03924a6c079f81d01,bd293bfb6168a2b0b50a8d1aa6d770c2198aab4e,1e5d906d2e0c9cd96d3a22325a8621aaec3f3800,left,"-174,2","+180,2",a/src/search/QuickSearchField.js,b/src/search/QuickSearchField.js
86554a7a9798bd1d6f57cc57821110907a76a868,afd8042c71b334e9c66ebad03924a6c079f81d01,bd293bfb6168a2b0b50a8d1aa6d770c2198aab4e,1e5d906d2e0c9cd96d3a22325a8621aaec3f3800,right,"-174,6","+174,6",a/src/search/QuickSearchField.js,b/src/search/QuickSearchField.js
f2831fd8bd5e6d1bda1a7187670a98aa59e54c3f,afd8042c71b334e9c66ebad03924a6c079f81d01,bd293bfb6168a2b0b50a8d1aa6d770c2198aab4e,1e5d906d2e0c9cd96d3a22325a8621aaec3f3800,right,"-174,2","+174,6",a/src/search/QuickSearchField.js,b/src/search/QuickSearchField.js
fe9237e49e94f864048c559f2c89274991ccf01e,ad915c721ffe379d47e95335eaf2ddd1f6838a6f,fe9237e49e94f864048c559f2c89274991ccf01e,aef78dd0e0cc4dd72fa935cdf9d7dcf00e586ea9,left,"-299,9","+299,14",a/src/LiveDevelopment/Agents/RemoteFunctions.js,b/src/LiveDevelopment/Agents/RemoteFunctions.js
0c914efe0ed1c1f14c853550ef54dbb20fffba17,ad915c721ffe379d47e95335eaf2ddd1f6838a6f,fe9237e49e94f864048c559f2c89274991ccf01e,aef78dd0e0cc4dd72fa935cdf9d7dcf00e586ea9,right,"-299,9","+299,2",a/src/LiveDevelopment/Agents/RemoteFunctions.js,b/src/LiveDevelopment/Agents/RemoteFunctions.js
fe9237e49e94f864048c559f2c89274991ccf01e,ad915c721ffe379d47e95335eaf2ddd1f6838a6f,fe9237e49e94f864048c559f2c89274991ccf01e,aef78dd0e0cc4dd72fa935cdf9d7dcf00e586ea9,left,"-319,2","+324,7",a/src/LiveDevelopment/Agents/RemoteFunctions.js,b/src/LiveDevelopment/Agents/RemoteFunctions.js
0c914efe0ed1c1f14c853550ef54dbb20fffba17,ad915c721ffe379d47e95335eaf2ddd1f6838a6f,fe9237e49e94f864048c559f2c89274991ccf01e,aef78dd0e0cc4dd72fa935cdf9d7dcf00e586ea9,right,"-319,2","+312,2",a/src/LiveDevelopment/Agents/RemoteFunctions.js,b/src/LiveDevelopment/Agents/RemoteFunctions.js
