evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
64e4c35fd038ba0c6b2662310d807bf059e68cd8,f13f0681512d6271c35e25282e6dad465e8cfa01,eb056bea0048502f87e9e2006ef47cebdce8295f,64e4c35fd038ba0c6b2662310d807bf059e68cd8,right,"-271,1","+271,4",a/chance.js,b/chance.js
b4cd2feeb4e3dce9f7342b40ea3aa9d3ab2fc882,f39c2477c00241708f29df7ee2fafe1967be282a,81517ec0edf0772c99b061c488ac4fa7ad6eb3a8,e36fce5ca967ba91c7da05f9a38589ebe4f7f187,left,"-561,2","+561,2",a/chance.js,b/chance.js
e116b57ec7fb9f6685822fa1272a3d4aa0fdcf22,f39c2477c00241708f29df7ee2fafe1967be282a,81517ec0edf0772c99b061c488ac4fa7ad6eb3a8,e36fce5ca967ba91c7da05f9a38589ebe4f7f187,left,"-561,0","+561,2",a/chance.js,b/chance.js
50daba08f88ec93d0222410582ecc870aa4adabc,f39c2477c00241708f29df7ee2fafe1967be282a,81517ec0edf0772c99b061c488ac4fa7ad6eb3a8,e36fce5ca967ba91c7da05f9a38589ebe4f7f187,right,"-562,3","+562,5",a/chance.js,b/chance.js
1fd1baa13ff09c3ee3ede6d774a80e3f8528456c,f39c2477c00241708f29df7ee2fafe1967be282a,81517ec0edf0772c99b061c488ac4fa7ad6eb3a8,e36fce5ca967ba91c7da05f9a38589ebe4f7f187,right,"-561,0","+562,3",a/chance.js,b/chance.js
dc3d80300a2303f6302c28eca6b20c0bd2b6dc7d,81517ec0edf0772c99b061c488ac4fa7ad6eb3a8,24277210e8da86f5a574cf4e97dc2f05ae31dacf,5175c35ed37f013f414f2444d02af0717a89cb69,left,"-561,0","+561,2",a/chance.js,b/chance.js
b4cd2feeb4e3dce9f7342b40ea3aa9d3ab2fc882,81517ec0edf0772c99b061c488ac4fa7ad6eb3a8,24277210e8da86f5a574cf4e97dc2f05ae31dacf,5175c35ed37f013f414f2444d02af0717a89cb69,right,"-562,4","+562,5",a/chance.js,b/chance.js
e116b57ec7fb9f6685822fa1272a3d4aa0fdcf22,81517ec0edf0772c99b061c488ac4fa7ad6eb3a8,24277210e8da86f5a574cf4e97dc2f05ae31dacf,5175c35ed37f013f414f2444d02af0717a89cb69,right,"-561,0","+562,4",a/chance.js,b/chance.js
4bc237293a82ce13c27a4e781b914f6795dfbf39,34c1a1becef32fd5957e746facc32c30d2c96397,4bc237293a82ce13c27a4e781b914f6795dfbf39,dbd050a25acf7dd3ba158a6c25e5a2a6de37604a,left,"-1,1","+1,1",a/chance.js,b/chance.js
dbd050a25acf7dd3ba158a6c25e5a2a6de37604a,34c1a1becef32fd5957e746facc32c30d2c96397,4bc237293a82ce13c27a4e781b914f6795dfbf39,dbd050a25acf7dd3ba158a6c25e5a2a6de37604a,right,"-1,1","+1,1",a/chance.js,b/chance.js
4bc237293a82ce13c27a4e781b914f6795dfbf39,34c1a1becef32fd5957e746facc32c30d2c96397,4bc237293a82ce13c27a4e781b914f6795dfbf39,dbd050a25acf7dd3ba158a6c25e5a2a6de37604a,left,"-45,1","+45,1",a/chance.js,b/chance.js
dbd050a25acf7dd3ba158a6c25e5a2a6de37604a,34c1a1becef32fd5957e746facc32c30d2c96397,4bc237293a82ce13c27a4e781b914f6795dfbf39,dbd050a25acf7dd3ba158a6c25e5a2a6de37604a,right,"-45,1","+45,1",a/chance.js,b/chance.js
a202449493a76e7f514b198addf719f48b936aee,ccc72315372294192741ba6deaa69d98634a7388,a202449493a76e7f514b198addf719f48b936aee,4945318f51736f6908467ed11d4c793d803d7f3b,left,"-655,4","+657,2",a/chance.js,b/chance.js
08b4d5fbd670fe7fd0c88ed741e8a64e139ece4d,ccc72315372294192741ba6deaa69d98634a7388,a202449493a76e7f514b198addf719f48b936aee,4945318f51736f6908467ed11d4c793d803d7f3b,right,"-656,0","+663,1",a/chance.js,b/chance.js
3865d76a14dc271abf551f47a46e0a37f57d1dfa,4de80ccc8562a826a9f006965833a21e7ed50d45,3865d76a14dc271abf551f47a46e0a37f57d1dfa,06c5a0ee10e5a9dfa6334ce26fd4c167c636a102,left,"-1,1","+1,1",a/chance.js,b/chance.js
06c5a0ee10e5a9dfa6334ce26fd4c167c636a102,4de80ccc8562a826a9f006965833a21e7ed50d45,3865d76a14dc271abf551f47a46e0a37f57d1dfa,06c5a0ee10e5a9dfa6334ce26fd4c167c636a102,right,"-1,1","+1,1",a/chance.js,b/chance.js
78852b68e5844341556f2038c034fa472f101a88,4de80ccc8562a826a9f006965833a21e7ed50d45,3865d76a14dc271abf551f47a46e0a37f57d1dfa,06c5a0ee10e5a9dfa6334ce26fd4c167c636a102,right,"-1,1","+1,1",a/chance.js,b/chance.js
3865d76a14dc271abf551f47a46e0a37f57d1dfa,4de80ccc8562a826a9f006965833a21e7ed50d45,3865d76a14dc271abf551f47a46e0a37f57d1dfa,06c5a0ee10e5a9dfa6334ce26fd4c167c636a102,left,"-1099,1","+1099,1",a/chance.js,b/chance.js
06c5a0ee10e5a9dfa6334ce26fd4c167c636a102,4de80ccc8562a826a9f006965833a21e7ed50d45,3865d76a14dc271abf551f47a46e0a37f57d1dfa,06c5a0ee10e5a9dfa6334ce26fd4c167c636a102,right,"-1137,1","+1137,1",a/chance.js,b/chance.js
78852b68e5844341556f2038c034fa472f101a88,4de80ccc8562a826a9f006965833a21e7ed50d45,3865d76a14dc271abf551f47a46e0a37f57d1dfa,06c5a0ee10e5a9dfa6334ce26fd4c167c636a102,right,"-1099,1","+1099,1",a/chance.js,b/chance.js
da96a83b92735eeabfa272af55667413e8931702,cf1826f85be3c2b6ab85c22b89d469f66c310aa5,da96a83b92735eeabfa272af55667413e8931702,ac90ea3e96afa3633449a700744f9bc638fdf8e8,left,"-1,1","+1,1",a/chance.js,b/chance.js
