evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
743276d0c23e798eacf9535bfba76e5e6b93a83c,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
d971d1fa3323a24556488a6caa6a7a3d05253a4a,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
82a0f01137eda0838678a66879259adaef7bcc19,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
64383b786e13b6217ef3563fabcbae0a882cc4a5,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
73c3d8cfcbab4331350c1805f774edb21572a114,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
b1da610dbf4ccf06008ddef6a48516f06d92b825,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
9c3df31216aa28d8252b216b558cbb5907480b5b,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
4e4709ce47d5c9406290dc2a467cef08002fc9b7,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
2c852adb420b77b430f51aee1cbccfc1c9f3b408,ffc1fe9494ff1eb251f405e78e6546b3017651fa,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,2c852adb420b77b430f51aee1cbccfc1c9f3b408,right,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
d971d1fa3323a24556488a6caa6a7a3d05253a4a,773479b81bcf8f34ebb12f3802feb1e5e9afdd5f,a38dfa8b4194db878755a672957d0f9524c1d460,743276d0c23e798eacf9535bfba76e5e6b93a83c,left,"-1,5","+1,5",a/d3.min.js,b/d3.min.js
