evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
0d972e9dfaeac89e10d11bd653844afdcc277773,0e26d0f59c04f32a0e3695f601842bd7722cbef5,a4f97cb98381b8f0b347a92eab40a70712920627,1013580c320abe31da3f7263920e7c16b2136ddb,left,"-23,3","+23,2",a/cli.js,b/cli.js
ba804c42d34db69d88c73b70789ad7e67639d4d2,0e26d0f59c04f32a0e3695f601842bd7722cbef5,a4f97cb98381b8f0b347a92eab40a70712920627,1013580c320abe31da3f7263920e7c16b2136ddb,right,"-24,1","+24,2",a/cli.js,b/cli.js
0d972e9dfaeac89e10d11bd653844afdcc277773,0e26d0f59c04f32a0e3695f601842bd7722cbef5,a4f97cb98381b8f0b347a92eab40a70712920627,1013580c320abe31da3f7263920e7c16b2136ddb,left,"-166,1","+165,1",a/cli.js,b/cli.js
ba804c42d34db69d88c73b70789ad7e67639d4d2,0e26d0f59c04f32a0e3695f601842bd7722cbef5,a4f97cb98381b8f0b347a92eab40a70712920627,1013580c320abe31da3f7263920e7c16b2136ddb,right,"-170,1","+220,1",a/cli.js,b/cli.js
a1ca15681c06410aafbc63acae36d9b7579dcc88,f643665af261f8cd58f42c98eaef054ebdf785f1,a1ca15681c06410aafbc63acae36d9b7579dcc88,296170d946c87533cf0bc7577e9d518fd0780b9e,left,"-40,1","+46,2",a/cli.js,b/cli.js
7b3de33b6dcd00f121f91aad315be60f5ab5e2ae,f643665af261f8cd58f42c98eaef054ebdf785f1,a1ca15681c06410aafbc63acae36d9b7579dcc88,296170d946c87533cf0bc7577e9d518fd0780b9e,right,"-40,1","+40,1",a/cli.js,b/cli.js
a613475941dd7b1ab2b4d65de28a21c5a294679f,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,left,"-66,20","+66,20",a/bin/merge.js,b/bin/merge.js
098f3c5d0e8006970f951bf3cb6d3d13123cd7be,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,left,"-66,20","+66,20",a/bin/merge.js,b/bin/merge.js
b8772eecb9c1cd6d541fd3d5535f0db415eb5158,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,left,"-66,20","+66,20",a/bin/merge.js,b/bin/merge.js
faf74e2a381ba2c3706438df5e17e9766a74d226,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,left,"-51,24","+66,20",a/bin/merge.js,b/bin/merge.js
ad7ab8b9e55902f44204409ea54d9ea53f844108,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,left,"-51,24","+51,24",a/bin/merge.js,b/bin/merge.js
49fcc8362562b28e8811df695a7eeec51312b1b6,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,left,"-36,5","+51,24",a/bin/merge.js,b/bin/merge.js
d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,right,"-38,2","+38,2",a/bin/merge.js,b/bin/merge.js
4c802fdf2770cda2c5d7b02d00e02b90b1b3d526,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,left,"-100,1","+100,1",a/bin/merge.js,b/bin/merge.js
faf74e2a381ba2c3706438df5e17e9766a74d226,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,left,"-76,0","+103,1",a/bin/merge.js,b/bin/merge.js
d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,ce838430e1ef41c9943fb4dfec37d09c96742612,a613475941dd7b1ab2b4d65de28a21c5a294679f,d3a9bacdb6ca2289cfe28c13f3a8c9775daedc0f,right,"-54,8","+54,9",a/bin/merge.js,b/bin/merge.js
faf74e2a381ba2c3706438df5e17e9766a74d226,8d6ec7bd193feb7ba4a4f3a1ae93734dcfa84afb,4bd8a3be63fb5b0c332172e750194fac9b4c5b7f,02539a50591d0077138a7e2c4b3b17a1e2b28416,left,"-3,9","+4,11",a/bin/merge.js,b/bin/merge.js
49fcc8362562b28e8811df695a7eeec51312b1b6,8d6ec7bd193feb7ba4a4f3a1ae93734dcfa84afb,4bd8a3be63fb5b0c332172e750194fac9b4c5b7f,02539a50591d0077138a7e2c4b3b17a1e2b28416,left,"-3,3","+3,9",a/bin/merge.js,b/bin/merge.js
02539a50591d0077138a7e2c4b3b17a1e2b28416,8d6ec7bd193feb7ba4a4f3a1ae93734dcfa84afb,4bd8a3be63fb5b0c332172e750194fac9b4c5b7f,02539a50591d0077138a7e2c4b3b17a1e2b28416,right,"-3,3","+3,5",a/bin/merge.js,b/bin/merge.js
faf74e2a381ba2c3706438df5e17e9766a74d226,8d6ec7bd193feb7ba4a4f3a1ae93734dcfa84afb,4bd8a3be63fb5b0c332172e750194fac9b4c5b7f,02539a50591d0077138a7e2c4b3b17a1e2b28416,left,"-50,22","+65,7",a/bin/merge.js,b/bin/merge.js
49fcc8362562b28e8811df695a7eeec51312b1b6,8d6ec7bd193feb7ba4a4f3a1ae93734dcfa84afb,4bd8a3be63fb5b0c332172e750194fac9b4c5b7f,02539a50591d0077138a7e2c4b3b17a1e2b28416,left,"-35,3","+50,22",a/bin/merge.js,b/bin/merge.js
02539a50591d0077138a7e2c4b3b17a1e2b28416,8d6ec7bd193feb7ba4a4f3a1ae93734dcfa84afb,4bd8a3be63fb5b0c332172e750194fac9b4c5b7f,02539a50591d0077138a7e2c4b3b17a1e2b28416,right,"-35,3","+37,22",a/bin/merge.js,b/bin/merge.js
c17b1b965f0f32ba16677e64a48b5881bedc884e,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,left,"-11,4","+11,37",a/bin/cat.js,b/bin/cat.js
b21514f1da5016e0f25ba7233c9becceb47e1c1c,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,right,"-35,2","+19,2",a/bin/cat.js,b/bin/cat.js
66bc9fe1b22e55e54c22a46626dcc1b8f141010f,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,right,"-33,4","+29,2",a/bin/cat.js,b/bin/cat.js
f1e8be8f6a1b24b27e7cd053b4a26314b5365ea5,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,right,"-0,0","+33,4",a/bin/cat.js,b/bin/cat.js
ef4df100ee86f145df907be8a34c9ecbe7d7a94f,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,left,"-1,87","+1,91",a/bin/import.js,b/bin/import.js
c17b1b965f0f32ba16677e64a48b5881bedc884e,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,left,"-1,48","+1,87",a/bin/import.js,b/bin/import.js
ea5029dffc6dd2c8a1f48325ad1af6f88190e36b,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,right,"-1,24","+1,29",a/bin/import.js,b/bin/import.js
6ef2f3434bddae0736b30a9be903ef646797dc81,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,right,"-1,24","+1,24",a/bin/add.js,b/bin/import.js
bd475ac7e8c452f06f65e1472805ef17cf4bf6d1,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,right,"-1,24","+1,24",a/bin/add.js,b/bin/add.js
d109f60842570d4b993dbe114c73a818a07616ee,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,right,"-1,23","+1,24",a/bin/add.js,b/bin/add.js
dfb110360b647574a9b0adec34b3d2ec056425e3,157fae1e119cd630df31ad6e6c86eb8d9c2c14a3,6bdd624ae6f9ddb96069e04fc030c6e964e77ac7,b14634a239ccdf4749f6d2a6c8381b9026ada3f3,right,"-1,24","+1,23",a/bin/add.js,b/bin/add.js
