merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
338dc6758fbaefa77a0e3d913ad40c074d9648dc,3a8c083ae786a6947b4758d68ecbe69e502cb074,ff9940a7678072c3b7635f6e74fac2400a4af1fd,[],['README.md'],0,1,0
fcb155067e21990ab5034b5a12d2bd19573a6223,09602f363ae7d8f70f54cda73e1cc83b10dfbf1d,2ffc3d5b31e5664d8b094bc2b8812e5f3121bcfd,[],"['package.json', 'test/browser/browserify-harness.html', 'test/browser/html5-routes-harness.html', 'test/browser/routes-harness.html']",0,4,0
eb9e4d58c25f530cdea99fe97ef1c975b4371d05,777f7bcdbddfa4bb7c22a49f7002323e32d0c12f,a12c01b2f738285271903fabddbb6e2b6d0bfaf4,['lib/director/browser.js'],"['README.md', 'test/browser/routes-harness.html']",1,6,3
02292da66d031cc233847f37586c59a7e5081782,84e283c72eaf060f44a90de2fec1939cf438fb19,bde6163c9bb73de8eebdb541b3a30efd843e62d7,['lib/director/http/index.js'],[],1,1,1
5bdeccd83bbe2b3f4cfd1fa8aeb3832c3a65d26b,fbdaf33c1d58f95e51a7bcf71db13a5b77cfbaa0,ef77c16b7ce655f8446787041fb597f2fdf3a7ac,[],['README.md'],0,1,0
55583ac3c16cf083a5994ac3ce973850c1be5bae,a4752c5df6e66cb70f9fb4b54462fd66bf583218,d0289bc26c58cec1331de625a54a5ede841c06c3,['js/lib/SS.js'],[],1,1,1
0bfd895a59f8658808fe9a475f246c7161a1b65f,44a7b92236fe9ef4b9bab577aa088b3c5bd0e1bd,61ffebfa5604a69b915a6828b23d17711c37fca6,['js/lib/SS.js'],[],1,1,1
a3f30ded416ac37a43ffadff1f07550e3f7adebe,fe91fb438dc641556c4a76e4d726d9b468c94c10,2fcae0b6bd72f2e958be928369b91be50fdd1b35,['js/lib/SS.js'],[],1,2,2
46b5c419fa6f6fd0e4df834fec63fe8442486f6a,5090f14b2982c04905110ca1eb0d7de64ac957a5,e569c1d7896cff017939914e7e787b356334ae70,['js/lib/SS.js'],[],1,6,6
5090f14b2982c04905110ca1eb0d7de64ac957a5,a2d54feea67533bef06cfc201068aa3a5afa7915,826b2d29cb8c38b39e5c23f8febad4aa8ddab67c,"['js/lib/SS.js', 'js/test/ss-test-new.js']",[],2,3,3
892484ab6408fb5de14c20242b550c5a5da2840d,a5490ed934f9c4a9ce8ec2b2e5311a5bf533bbb1,7dcc851226bca71d5e455e98c52128b6c2673b01,"['js/lib/SS.js', 'js/test/ss-test-new.js']",[],2,5,5
a5490ed934f9c4a9ce8ec2b2e5311a5bf533bbb1,1bc47575fc702f33a4c0c85cb5f5476a33b3fcc3,717fad7443f86bf56cf07450546c809e594eb0da,['js/lib/SS.js'],[],1,4,4
7dcc851226bca71d5e455e98c52128b6c2673b01,9827f05e00b8746a21365add0b203fcecb146964,1bc47575fc702f33a4c0c85cb5f5476a33b3fcc3,['js/lib/SS.js'],[],1,3,3
24c73ebc0cdb763d32bf3917c0cc9a9f9942161a,033345488c10252c4d0bb1a7f6d22c98fc96c026,3c7a11f5fe596f41fad3c3e62443b10db653dc73,['js/lib/SS.js'],[],1,7,7
8e0becb5b0f52268ea386ab08766131d0b1fa1c6,48ab963e7f0f9ae0501cc3f09ed6c18aa6ac3d1d,637be7cc418e15a8f5e01da2f9c3246f87fc3a97,['js/lib/SS.js'],[],1,2,2
b4b5e4e284c3c15e409b60aff6f1a58ad87c4bf3,5c047fc6c8eee8d1366c646d5aa604581fc84153,9d9272e319c9fc5e92d1bdd154ef96465912c351,['js/lib/SS.js'],[],1,1,1
