evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
a4752c5df6e66cb70f9fb4b54462fd66bf583218,55583ac3c16cf083a5994ac3ce973850c1be5bae,a4752c5df6e66cb70f9fb4b54462fd66bf583218,d0289bc26c58cec1331de625a54a5ede841c06c3,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[10, 12]","[21, 23]",5,16,True,False,RENAME
e569c1d7896cff017939914e7e787b356334ae70,46b5c419fa6f6fd0e4df834fec63fe8442486f6a,5090f14b2982c04905110ca1eb0d7de64ac957a5,e569c1d7896cff017939914e7e787b356334ae70,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[73, 73]","[73, 73]",137,143,True,False,INTERNAL_MOVE
e569c1d7896cff017939914e7e787b356334ae70,46b5c419fa6f6fd0e4df834fec63fe8442486f6a,5090f14b2982c04905110ca1eb0d7de64ac957a5,e569c1d7896cff017939914e7e787b356334ae70,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[112, 121]","[115, 115]",137,143,True,False,INTERNAL_MOVE
e569c1d7896cff017939914e7e787b356334ae70,46b5c419fa6f6fd0e4df834fec63fe8442486f6a,5090f14b2982c04905110ca1eb0d7de64ac957a5,e569c1d7896cff017939914e7e787b356334ae70,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[129, 130]","[124, 125]",137,143,True,False,INTERNAL_MOVE
e569c1d7896cff017939914e7e787b356334ae70,46b5c419fa6f6fd0e4df834fec63fe8442486f6a,5090f14b2982c04905110ca1eb0d7de64ac957a5,e569c1d7896cff017939914e7e787b356334ae70,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[137, 141]","[130, 131]",137,143,True,True,INTERNAL_MOVE
e569c1d7896cff017939914e7e787b356334ae70,46b5c419fa6f6fd0e4df834fec63fe8442486f6a,5090f14b2982c04905110ca1eb0d7de64ac957a5,e569c1d7896cff017939914e7e787b356334ae70,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[137, 144]","[133, 140]",137,143,True,True,INTERNAL_MOVE
e569c1d7896cff017939914e7e787b356334ae70,46b5c419fa6f6fd0e4df834fec63fe8442486f6a,5090f14b2982c04905110ca1eb0d7de64ac957a5,e569c1d7896cff017939914e7e787b356334ae70,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[146, 149]","[142, 158]",137,143,True,True,INTERNAL_MOVE
3c7a11f5fe596f41fad3c3e62443b10db653dc73,24c73ebc0cdb763d32bf3917c0cc9a9f9942161a,033345488c10252c4d0bb1a7f6d22c98fc96c026,3c7a11f5fe596f41fad3c3e62443b10db653dc73,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[9, 12]","[9, 14]",80,71,True,False,EXTRACT
f7135e4dae0f112ce59033286526d0aeeeca4f88,24c73ebc0cdb763d32bf3917c0cc9a9f9942161a,033345488c10252c4d0bb1a7f6d22c98fc96c026,3c7a11f5fe596f41fad3c3e62443b10db653dc73,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[21, 94]","[20, 104]",25,163,True,True,INTERNAL_MOVE
f7135e4dae0f112ce59033286526d0aeeeca4f88,24c73ebc0cdb763d32bf3917c0cc9a9f9942161a,033345488c10252c4d0bb1a7f6d22c98fc96c026,3c7a11f5fe596f41fad3c3e62443b10db653dc73,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,js/lib/SS.js,"[21, 94]","[20, 104]",123,169,True,False,INTERNAL_MOVE
