evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
529c9fa0d1dcd88d8582aaf4a6a3b6b12d246d14,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-309,29","+309,31",a/fetch.js,b/fetch.js
03d01c5b7038e3b4e10d5fa25eaf689f73ac1bbc,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,right,"-290,26","+301,26",a/fetch.js,b/fetch.js
972819300b1a11d152080ad5606d41f7bbf286d9,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,right,"-290,26","+290,26",a/fetch.js,b/fetch.js
8aec47cb6c67a9a321f1eb07457f70fc46235610,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,right,"-365,30","+290,26",a/fetch.js,b/fetch.js
d9aa590ecae34a5c3190615252a614a5faa565a8,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-420,81","+420,87",a/fetch.js,b/fetch.js
c6aff302f6fd42be9f058481ffdaf92e6a8d4a41,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-420,80","+420,81",a/fetch.js,b/fetch.js
074c89e2fc117f692b11c8b6b4fda55a330b600b,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-420,72","+420,80",a/fetch.js,b/fetch.js
8ba0cdb9b3286d4e47ba239bd56e4ef7c05ae0d8,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-420,66","+420,72",a/fetch.js,b/fetch.js
d47f6c9a7f92ee6248545a9e91e834a8443bafa6,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-419,66","+419,66",a/fetch.js,b/fetch.js
0e1b651f4492e31fb3b18297c574807fdb3aafa4,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-419,62","+419,66",a/fetch.js,b/fetch.js
fd5c261bd12c1a5fb6fd6a24e9dd1697d5a82fd8,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-419,58","+419,62",a/fetch.js,b/fetch.js
9a7d232905f786b704651409e74b3d665adc2dac,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-418,57","+419,58",a/fetch.js,b/fetch.js
93e9cec6c6a93f7a9473381c6daf215172fc6b7c,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,left,"-418,49","+432,57",a/fetch.js,b/fetch.js
8aec47cb6c67a9a321f1eb07457f70fc46235610,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,right,"-480,2","+457,6",a/fetch.js,b/fetch.js
da6e0284667f029418168a8b242d2f1458d10434,c31fca91bb736f0b704927ffaf1813ddd062ccb3,7f6b8d2eb3e7d64cc3e8ec2c93332939ab5d859c,f83e37133e21c72e8277e9f634b7c2002b8d552e,right,"-465,2","+480,2",a/fetch.js,b/fetch.js
211d5ca7a1156c718064ebe1f600612d539784ee,7021a0ce9eee57ff01dd1dae0e769063536b8ef8,211d5ca7a1156c718064ebe1f600612d539784ee,4949171b58c14e755694b538180816883782d3b7,left,"-180,3","+180,7",a/fetch.js,b/fetch.js
4cc46b265f38798c4e3fda432d8ab39275e60a13,7021a0ce9eee57ff01dd1dae0e769063536b8ef8,211d5ca7a1156c718064ebe1f600612d539784ee,4949171b58c14e755694b538180816883782d3b7,right,"-202,6","+202,6",a/fetch.js,b/fetch.js
