merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,0,0
merge,left,right,[],[],0,0,0,0,0
61d76220c798b9f67d17672ac678ffd38125e942,d9921171f561cfe80f447bbf1fa0b072f0931119,33d0d05adbe478a5847f46665baa51a67c41435b,[],"['common/app/Nav/Nav.jsx', 'common/app/Nav/components/BinButtons.jsx', 'common/app/Nav/components/NavLinks.jsx', 'common/app/Nav/components/NavLogo.jsx']",0,13,0,0,0
07e08b9e6a8727d2e72aff98e9e6570add111451,ca7790158edcf931fc4b6658993efc4e2abf83ea,6285d369ca1423fbb54bd8f83ebddcff517c8395,['common/app/routes/Challenges/redux/index.js'],[],1,1,1,0,0
eab62f6623cc03611207064522182dace121347c,f158183039e4d7126a3fdeed99cee80f98470f66,49a5911fca2a9d8c337aa7ec7c934138378ad729,['common/models/user.js'],[],1,3,3,1,0
603a354e5667e48469d5070128bdf826978d2699,23d2f2a08b553888068e50b65b0e31d88cf146f7,4aa4248204d39eb01c8d531711d6c18d4dcf8446,[],['common/app/routes/Challenges/Preview.jsx'],0,2,0,0,0
71708aa7ff705bffec15c3f66e2650a99981a0a6,4c96c2079e98594c97176e19340732e035266057,7f2edb6a7199d50e7b4c9a9f3cc0e08460cc2e28,[],['common/app/routes/Challenges/Tool-Panel.jsx'],0,4,0,0,0
564e76b2bffcc1e7a3dc4293b485983d77c3d529,b944d606208d31d1de75775a96d5b1743ed62b34,a5c330de4d8ee7241a0ac60ba960944cf6d8b630,[],['common/app/routes/settings/Settings.jsx'],0,2,0,0,0
8b85db06b55877b3007213eb068e995f1d67b4d5,cd9af163f6986b5cb256c05c2c258f9df454988a,86b3724e698ebee859300a3983a18ce36a66e521,[],['common/app/routes/challenges/Test-Suite.jsx'],0,1,0,0,0
f018cae68655dcc6ceec44eff2345d3f515e5cae,566de3e3f2e751e0775fa8281c47dfdf1737dc11,34a25f784fcd360f97e8805dea079c1bf5add8a1,['gulpfile.js'],[],1,1,1,0,0
ee2e0e290f5834d5e2b4c11129f4ba4df5ece9bc,209d7752935025f198b4f128be80aa0761e3b97e,e72ad8c513dc07e8c8df787d988ebf75d4130661,['common/models/user.js'],[],1,1,1,0,0
b69e6388d3289784974358e9baab96a7dec8c761,684c60d9d5266a438f7a5c5f8efa058d633b8dda,c2318979c73f6f44b1e431d8776c8376c5dcfdcc,[],['challenges/01-front-end-development-certification/html5-and-css.json'],0,3,0,0,0
4413e9b5af6ce532622b77c8982a3bd2a9105d12,525d91f4b76c674cd67361ca51063976b7756782,2f7aa1d2a071c1fa5b55c73526cc06b5505ec78d,[],['seed/challenges/01-front-end-development-certification/html5-and-css.json'],0,3,0,0,0
4fe49642efa0010a8a5df60c59326799d66d5855,8b14acea16f24b14a7dd1a743ca4cb2ae675d559,5b2bd1c5b559a83036814a33e959106165fcae81,[],['challenges/00-getting-started/getting-started.json'],0,1,0,0,0
5cc967f21ddb58491cbefd816c4c140400f92e09,1d624e4ed0e03b73d0f0804868cd9c6646801781,7e5f1eed4dc72903ad4fe81453a6c3eff54dbf27,[],['seed/challenges/00-getting-started/getting-started.json'],0,1,0,0,0
724039a42d5836e2052064882e75715d21c7901c,36987c1806b0451a922b3733de6ac35488d2447a,4e345e0d12dec5d4914d2fa86cd2a2242cf8f569,[],['package.json'],0,1,0,0,0
72cea0a0b34aa89978d97e21ea621ffa1ca9d04d,b4cf2b530329eac8a6e4b475550b905ef972a65c,a5dd5e2d01c405db8ef8d826ccdc4e227be17391,[],['challenges/01-front-end-development-certification/basic-javascript.json'],0,1,0,0,0
c45df39fa5102dd4b2fad834ba9373b733bb52cd,334b1b222e4aeee433e01420c464b4185ed63453,425c0274149f158f950a51bea8c563b970a2d42f,[],['seed/challenges/01-front-end-development-certification/basic-javascript.json'],0,1,0,0,0
60789e0386227c2d4f9809c5e2dcb9b544df3796,473a77e0a2c5648df0ebe81cb5392433c35865a9,1464adc3502ad7aa4a084d237468e7da882bebdc,[],['server/views/commit/index.jade'],0,1,0,0,0
9409945ee7514136322f4113c133c659214b16ab,92928b552b5033586ab6441dad7a3c857d9e113b,c23367f62b114ca1793be873ce62ecbe07dfec3c,['client/commonFramework/bindings.js'],[],1,1,1,0,0
7e9d65675a716b914595ae99b177307c1ce41e69,b1d8814aed5c4888767289586f6af810351fb126,887578abb815989385ce6cedd35e78040c7f02d9,['client/main.js'],"['bower.json', 'server/views/coursewares/showZiplineOrBasejump.jade', 'server/views/partials/scripts.jade']",1,5,2,3,2
9651dc4185929720f88f62ffa0173eb4b1290ad1,82dc1cf3b5e4a3803c61a17a6bcdb62574eba3ba,ea018bedda04278691e1f324f3d83c16a29776c9,[],['package.json'],0,1,0,0,0
61ffb55a3df1e825ae9830d121e41c6a302ea9fd,3dcc77278bcff456fb8723b65e506c26b5e7c15d,fc615ad3dd0aaab45be78b4f8bbbf2e64c60d578,[],['common/app/routes/Jobs/components/Jobs.jsx'],0,1,0,0,0
4a7d9fa947d9ef873c0fb9f8339a9bd55cce2b57,323b3add32944bc525341beb56e738b97fd731f9,0d243fa228c4d734206cfea4d86ee5fa80906630,[],[],0,0,0,0,0
d77d78a3b2962972106dbc0c286d55c18f24ff8f,6aa19ef24755cbd5250590dcf83880ec20a17b6f,0546e34abfa58c28a46b548097fc8fafb2398ce9,[],[],0,0,0,0,0
