evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
2ed1be353354c92367b6583cc908911a49c07f9a,37fadec7874355d4f05ac376fab47b9af905f231,ada11d0b5909f6e4b9b4497677ed43326ad08ee2,2a38d33d8a190c0b4eeca98a66f4ec5b8cfb2a96,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,"[1, 1]","[1, 1]",1,1,True,True,INTERNAL_MOVE
2ed1be353354c92367b6583cc908911a49c07f9a,37fadec7874355d4f05ac376fab47b9af905f231,ada11d0b5909f6e4b9b4497677ed43326ad08ee2,2a38d33d8a190c0b4eeca98a66f4ec5b8cfb2a96,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,"[1, 1]","[1, 1]",1,1,True,True,INTERNAL_MOVE
2ed1be353354c92367b6583cc908911a49c07f9a,37fadec7874355d4f05ac376fab47b9af905f231,ada11d0b5909f6e4b9b4497677ed43326ad08ee2,2a38d33d8a190c0b4eeca98a66f4ec5b8cfb2a96,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,"[1, 1]","[1, 1]",1,1,True,True,INLINE
8a6d36ac4d8b8d3796e961e19455a3861a3a8e91,37fadec7874355d4f05ac376fab47b9af905f231,ada11d0b5909f6e4b9b4497677ed43326ad08ee2,2a38d33d8a190c0b4eeca98a66f4ec5b8cfb2a96,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,"[1, 1]","[1, 1]",1,1,True,True,EXTRACT
e45bb84b023ca27b88f35da1566639166adbf63d,37fadec7874355d4f05ac376fab47b9af905f231,ada11d0b5909f6e4b9b4497677ed43326ad08ee2,2a38d33d8a190c0b4eeca98a66f4ec5b8cfb2a96,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,"[1, 1]","[1, 1]",1,1,True,True,INTERNAL_MOVE
5beff865488f53d73000da382abc6d7d7f18ecd7,37fadec7874355d4f05ac376fab47b9af905f231,ada11d0b5909f6e4b9b4497677ed43326ad08ee2,2a38d33d8a190c0b4eeca98a66f4ec5b8cfb2a96,theme/javascript/app.js,theme/javascript/gitbook.js,theme/javascript/app.js,theme/javascript/gitbook.js,"[12, 14]","[12, 14]",1,1,True,False,RENAME
5beff865488f53d73000da382abc6d7d7f18ecd7,37fadec7874355d4f05ac376fab47b9af905f231,ada11d0b5909f6e4b9b4497677ed43326ad08ee2,2a38d33d8a190c0b4eeca98a66f4ec5b8cfb2a96,theme/javascript/app.js,theme/javascript/gitbook.js,theme/javascript/app.js,theme/javascript/gitbook.js,"[38, 41]","[38, 46]",1,1,True,False,RENAME
61b6848a95bf4059b4b114f608ce1d45a4cb16a4,99594791e0c34aee3659370b8c2072df815c9051,1b432288f041baef2ebe54c96a7a86f547b14c67,2cc23b7e3411e1748bc8a25114a7bf9185a210f1,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,"[1, 21418]","[1, 1]",8711,1,True,True,EXTRACT_MOVE
61b6848a95bf4059b4b114f608ce1d45a4cb16a4,99594791e0c34aee3659370b8c2072df815c9051,1b432288f041baef2ebe54c96a7a86f547b14c67,2cc23b7e3411e1748bc8a25114a7bf9185a210f1,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,"[1, 21418]","[1, 1]",713,1,True,True,RENAME
61b6848a95bf4059b4b114f608ce1d45a4cb16a4,99594791e0c34aee3659370b8c2072df815c9051,1b432288f041baef2ebe54c96a7a86f547b14c67,2cc23b7e3411e1748bc8a25114a7bf9185a210f1,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,theme/assets/app.js,"[1, 21418]","[1, 1]",1348,1,True,True,RENAME
