evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
67316d02a56a3c60d7847c1d6975104816ca087f,89db047a20d41502c37d47a9a1c65e84aeb34410,9a442b6d8fa0152c11c123b449f2c20c59246cbe,2ed17cd105768df379dad8bbbe4df30964fe8f2d,lib/plugins/generator/asset.js,lib/plugins/generator/asset.js,lib/plugins/generator/asset.js,lib/plugins/generator/asset.js,"[45, 47]","[40, 42]",9,8,True,False,INTERNAL_MOVE
d26dbb23cbc9959cff81a4a4a9f20cac13df3985,2a889338c51cf0fe9d8a9077ad3cdacafbbbcab1,94671dfe69c3e5c94a1e2762d7b51a22ca2bba44,2ed17cd105768df379dad8bbbe4df30964fe8f2d,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,"[3, 2]","[3, 8]",3,3,True,True,EXTRACT
94671dfe69c3e5c94a1e2762d7b51a22ca2bba44,2a889338c51cf0fe9d8a9077ad3cdacafbbbcab1,94671dfe69c3e5c94a1e2762d7b51a22ca2bba44,2ed17cd105768df379dad8bbbe4df30964fe8f2d,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,"[23, 22]","[26, 54]",23,34,True,True,EXTRACT
94671dfe69c3e5c94a1e2762d7b51a22ca2bba44,2a889338c51cf0fe9d8a9077ad3cdacafbbbcab1,94671dfe69c3e5c94a1e2762d7b51a22ca2bba44,2ed17cd105768df379dad8bbbe4df30964fe8f2d,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,lib/plugins/helper/paginator.js,"[23, 22]","[26, 54]",23,23,True,False,EXTRACT
db7e37d8b9aaa3a0221cd1c6d068c032351f7dea,32ef02989353d6a84fa806d2553930884b5e3184,87abfa5d9433cbc6e70ad8146ed60970b8659e33,3fbbe5dedb813f1415c60e7b9b3ca65284cbfb1f,lib/plugins/tag/blockquote.js,lib/plugins/tag/blockquote.js,lib/plugins/tag/blockquote.js,lib/plugins/tag/blockquote.js,"[59, 58]","[53, 68]",21,16,True,False,EXTRACT
7278da6e37068444c030e9b4a7641800a30500ca,c6599c918ecd5849ca93a5479ffc9afddfa3e1ce,4ba56970f9ba5a941da782e4cfd232b3bd7a607f,7278da6e37068444c030e9b4a7641800a30500ca,lib/plugins/helper/date.js,lib/plugins/helper/date.js,lib/plugins/helper/date.js,lib/plugins/helper/date.js,"[7, 7]","[7, 7]",7,7,True,True,RENAME
7278da6e37068444c030e9b4a7641800a30500ca,c6599c918ecd5849ca93a5479ffc9afddfa3e1ce,4ba56970f9ba5a941da782e4cfd232b3bd7a607f,7278da6e37068444c030e9b4a7641800a30500ca,lib/plugins/helper/date.js,lib/plugins/helper/date.js,lib/plugins/helper/date.js,lib/plugins/helper/date.js,"[33, 56]","[29, 56]",7,7,True,False,RENAME
d35287a765d5d7d43135c8f50d1a63204d5f21ad,895d6e0ecae73f322c0e4fb66131a9dbb7799df1,75bac6496f926d695d6bcc6787c4a1fbc68cea25,b295c2cdb61eccb01b24221912304f615c51d7fe,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list_post.js,"[67, 67]","[66, 66]",280,45,True,False,RENAME
d35287a765d5d7d43135c8f50d1a63204d5f21ad,895d6e0ecae73f322c0e4fb66131a9dbb7799df1,75bac6496f926d695d6bcc6787c4a1fbc68cea25,b295c2cdb61eccb01b24221912304f615c51d7fe,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list_post.js,"[67, 67]","[66, 66]",240,21,True,False,EXTRACT_MOVE
d35287a765d5d7d43135c8f50d1a63204d5f21ad,895d6e0ecae73f322c0e4fb66131a9dbb7799df1,75bac6496f926d695d6bcc6787c4a1fbc68cea25,b295c2cdb61eccb01b24221912304f615c51d7fe,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list_post.js,"[67, 67]","[66, 66]",240,27,True,False,MOVE_RENAME
d35287a765d5d7d43135c8f50d1a63204d5f21ad,895d6e0ecae73f322c0e4fb66131a9dbb7799df1,75bac6496f926d695d6bcc6787c4a1fbc68cea25,b295c2cdb61eccb01b24221912304f615c51d7fe,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list_post.js,"[67, 67]","[66, 66]",258,1,True,False,MOVE
d35287a765d5d7d43135c8f50d1a63204d5f21ad,895d6e0ecae73f322c0e4fb66131a9dbb7799df1,75bac6496f926d695d6bcc6787c4a1fbc68cea25,b295c2cdb61eccb01b24221912304f615c51d7fe,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list_post.js,"[67, 67]","[66, 66]",341,115,True,False,MOVE
d35287a765d5d7d43135c8f50d1a63204d5f21ad,895d6e0ecae73f322c0e4fb66131a9dbb7799df1,75bac6496f926d695d6bcc6787c4a1fbc68cea25,b295c2cdb61eccb01b24221912304f615c51d7fe,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list_post.js,"[67, 67]","[66, 66]",270,11,True,False,MOVE_RENAME
d35287a765d5d7d43135c8f50d1a63204d5f21ad,895d6e0ecae73f322c0e4fb66131a9dbb7799df1,75bac6496f926d695d6bcc6787c4a1fbc68cea25,b295c2cdb61eccb01b24221912304f615c51d7fe,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list.js,lib/plugins/helper/list_post.js,"[67, 67]","[66, 66]",345,119,True,False,MOVE
bd710fcb8c4ee9a876ad855295684fbd7aeb2a28,f9576ec0a7c2cf0e1b0648ef9fd00a976e51b502,ec2a261147b025a5e1a258adb38e38b1f77cbddc,8a9d872eedc4516e70952b339b773306a84f0d7f,lib/init.js,lib/init.js,lib/init.js,lib/init.js,"[218, 232]","[229, 246]",71,93,True,False,INLINE
cfed70653f13d9b95c08c2f87a6dadab4a142b32,f9576ec0a7c2cf0e1b0648ef9fd00a976e51b502,ec2a261147b025a5e1a258adb38e38b1f77cbddc,8a9d872eedc4516e70952b339b773306a84f0d7f,lib/init.js,lib/init.js,lib/init.js,lib/init.js,"[162, 182]","[212, 226]",70,76,True,False,EXTRACT
bd710fcb8c4ee9a876ad855295684fbd7aeb2a28,f9576ec0a7c2cf0e1b0648ef9fd00a976e51b502,ec2a261147b025a5e1a258adb38e38b1f77cbddc,8a9d872eedc4516e70952b339b773306a84f0d7f,lib/init.js,lib/init.js,lib/init.js,lib/init.js,"[238, 252]","[254, 271]",71,93,True,False,INLINE
cfed70653f13d9b95c08c2f87a6dadab4a142b32,f9576ec0a7c2cf0e1b0648ef9fd00a976e51b502,ec2a261147b025a5e1a258adb38e38b1f77cbddc,8a9d872eedc4516e70952b339b773306a84f0d7f,lib/init.js,lib/init.js,lib/init.js,lib/init.js,"[188, 208]","[232, 246]",70,76,True,False,EXTRACT
