evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
00deb967c56f62877191d7aee61feceb0740050f,9a0ed72af2e241c3f6c65df452df60b1713a5dae,8d7cd74bb0f8c042d4559ba2df97a1f42faa1a42,f549dc520fb900846ad07b2a05fa86cfec4e3041,left,"-177,3","+177,2",a/app/ui/components/editors/body/graph-ql-editor.js,b/app/ui/components/editors/body/graph-ql-editor.js
0c48d0027d2dcb04dd316474f23774b710b4a416,9a0ed72af2e241c3f6c65df452df60b1713a5dae,8d7cd74bb0f8c042d4559ba2df97a1f42faa1a42,f549dc520fb900846ad07b2a05fa86cfec4e3041,left,"-165,3","+177,3",a/app/ui/components/editors/body/graph-ql-editor.js,b/app/ui/components/editors/body/graph-ql-editor.js
f549dc520fb900846ad07b2a05fa86cfec4e3041,9a0ed72af2e241c3f6c65df452df60b1713a5dae,8d7cd74bb0f8c042d4559ba2df97a1f42faa1a42,f549dc520fb900846ad07b2a05fa86cfec4e3041,right,"-165,3","+178,1",a/app/ui/components/editors/body/graph-ql-editor.js,b/app/ui/components/editors/body/graph-ql-editor.js
00deb967c56f62877191d7aee61feceb0740050f,9a0ed72af2e241c3f6c65df452df60b1713a5dae,8d7cd74bb0f8c042d4559ba2df97a1f42faa1a42,f549dc520fb900846ad07b2a05fa86cfec4e3041,left,"-186,2","+185,2",a/app/ui/components/editors/body/graph-ql-editor.js,b/app/ui/components/editors/body/graph-ql-editor.js
0c48d0027d2dcb04dd316474f23774b710b4a416,9a0ed72af2e241c3f6c65df452df60b1713a5dae,8d7cd74bb0f8c042d4559ba2df97a1f42faa1a42,f549dc520fb900846ad07b2a05fa86cfec4e3041,left,"-165,3","+186,2",a/app/ui/components/editors/body/graph-ql-editor.js,b/app/ui/components/editors/body/graph-ql-editor.js
f549dc520fb900846ad07b2a05fa86cfec4e3041,9a0ed72af2e241c3f6c65df452df60b1713a5dae,8d7cd74bb0f8c042d4559ba2df97a1f42faa1a42,f549dc520fb900846ad07b2a05fa86cfec4e3041,right,"-165,3","+186,2",a/app/ui/components/editors/body/graph-ql-editor.js,b/app/ui/components/editors/body/graph-ql-editor.js
10a241b60083aa4088de9e652561ee38ee53591a,12fd55adf58389af10061041c26e72b3943c760a,10a241b60083aa4088de9e652561ee38ee53591a,7e1f48f236bc38cc55b830be51f2b8c879c0e32c,left,"-30,1","+30,1",a/app/ui/components/codemirror/code-editor.js,b/app/ui/components/codemirror/code-editor.js
7e1f48f236bc38cc55b830be51f2b8c879c0e32c,12fd55adf58389af10061041c26e72b3943c760a,10a241b60083aa4088de9e652561ee38ee53591a,7e1f48f236bc38cc55b830be51f2b8c879c0e32c,right,"-29,3","+29,2",a/app/ui/components/codemirror/code-editor.js,b/app/ui/components/codemirror/code-editor.js
0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,eef584528af7761732e1cf3c0b49c000149b3eb4,412cc537d353990a17ba324537de6a56bd581643,230402864ec731489011b67d4d306352e277f006,left,"-567,1","+567,1",a/app/ui/containers/app.js,b/app/ui/containers/app.js
d675222bdd7627c95b1ccef3a44590c580bedb46,eef584528af7761732e1cf3c0b49c000149b3eb4,412cc537d353990a17ba324537de6a56bd581643,230402864ec731489011b67d4d306352e277f006,left,"-565,0","+567,1",a/app/ui/containers/app.js,b/app/ui/containers/app.js
230402864ec731489011b67d4d306352e277f006,eef584528af7761732e1cf3c0b49c000149b3eb4,412cc537d353990a17ba324537de6a56bd581643,230402864ec731489011b67d4d306352e277f006,right,"-566,4","+567,1",a/app/ui/containers/app.js,b/app/ui/containers/app.js
79b3f3fe7cf256f5414cdbcced39a94ba15c024a,412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,left,"-4,3","+26,3",a/app/templating/extensions/now-extension.js,b/app/templating/extensions/now-extension.js
d675222bdd7627c95b1ccef3a44590c580bedb46,412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,right,"-4,3","+26,3",a/app/templating/extensions/now-extension.js,b/app/templating/extensions/now-extension.js
79b3f3fe7cf256f5414cdbcced39a94ba15c024a,412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,left,"-235,0","+235,1",a/app/ui/components/codemirror/extensions/nunjucks-tags.js,b/app/ui/components/codemirror/extensions/nunjucks-tags.js
d675222bdd7627c95b1ccef3a44590c580bedb46,412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,right,"-234,0","+235,2",a/app/ui/components/codemirror/extensions/nunjucks-tags.js,b/app/ui/components/codemirror/extensions/nunjucks-tags.js
79b3f3fe7cf256f5414cdbcced39a94ba15c024a,412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,left,"-566,3","+566,4",a/app/ui/containers/app.js,b/app/ui/containers/app.js
d70f16540af139e2f686447ca9421f14979559f5,412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,left,"-565,0","+566,3",a/app/ui/containers/app.js,b/app/ui/containers/app.js
0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,right,"-566,5","+566,5",a/app/ui/containers/app.js,b/app/ui/containers/app.js
d675222bdd7627c95b1ccef3a44590c580bedb46,412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,right,"-565,0","+566,5",a/app/ui/containers/app.js,b/app/ui/containers/app.js
942f57e2260909192be0194eaa78db6c558be281,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,left,"-129,17","+126,2",a/app/ui/components/codemirror/Editor.js,b/app/ui/components/codemirror/Editor.js
c1e9e718e9f8d99e0d582300e2755591d77e2fcb,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,right,"-127,0","+143,21",a/app/ui/components/codemirror/Editor.js,b/app/ui/components/codemirror/Editor.js
942f57e2260909192be0194eaa78db6c558be281,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,left,"-83,1","+83,2",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
c1e9e718e9f8d99e0d582300e2755591d77e2fcb,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,right,"-83,2","+84,9",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
98eea79bc0f235652140e84a13ef32cb26648066,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,right,"-83,1","+83,2",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
942f57e2260909192be0194eaa78db6c558be281,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,left,"-88,1","+90,1",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
c1e9e718e9f8d99e0d582300e2755591d77e2fcb,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,right,"-90,1","+98,1",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
98eea79bc0f235652140e84a13ef32cb26648066,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,right,"-88,1","+90,1",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
942f57e2260909192be0194eaa78db6c558be281,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,left,"-139,2","+141,2",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
c1e9e718e9f8d99e0d582300e2755591d77e2fcb,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,right,"-142,2","+147,6",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
98eea79bc0f235652140e84a13ef32cb26648066,151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,right,"-140,2","+142,2",a/app/ui/components/keyvalueeditor/Editor.js,b/app/ui/components/keyvalueeditor/Editor.js
d89aa525daeace261dfa684cf4ae660174254bd5,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,left,"-76,18","+69,1",a/app/ui/components/dropdowns/WorkspaceDropdown.js,b/app/ui/components/dropdowns/WorkspaceDropdown.js
3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-69,1","+69,1",a/app/ui/components/dropdowns/WorkspaceDropdown.js,b/app/ui/components/dropdowns/WorkspaceDropdown.js
eafca06f09a51be0c5a4885eeb6bf08b3173f2a9,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-91,6","+91,1",a/app/ui/components/dropdowns/WorkspaceDropdown.js,b/app/ui/components/dropdowns/WorkspaceDropdown.js
9a4bf6f1d191242a9288d59c5e9bcca4ee21ea0c,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-76,18","+91,6",a/app/ui/components/dropdowns/WorkspaceDropdown.js,b/app/ui/components/dropdowns/WorkspaceDropdown.js
d89aa525daeace261dfa684cf4ae660174254bd5,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,left,"-0,0","+25,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-24,3","+24,2",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
04ed0c9bdb27fb34edd2ca8f1a4c699f1142f9de,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-16,1","+24,3",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
9a4bf6f1d191242a9288d59c5e9bcca4ee21ea0c,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-0,0","+15,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
d89aa525daeace261dfa684cf4ae660174254bd5,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,left,"-0,0","+38,2",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-39,0","+38,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
d89aa525daeace261dfa684cf4ae660174254bd5,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,left,"-0,0","+196,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-196,1","+196,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
04ed0c9bdb27fb34edd2ca8f1a4c699f1142f9de,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-46,3","+173,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
eafca06f09a51be0c5a4885eeb6bf08b3173f2a9,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-35,1","+46,3",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
9a4bf6f1d191242a9288d59c5e9bcca4ee21ea0c,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-0,0","+35,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
d89aa525daeace261dfa684cf4ae660174254bd5,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,left,"-0,0","+205,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-205,1","+205,3",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
afedf8f352416ba63b4e8b5ed29c158e6b52408e,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-182,2","+205,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
04ed0c9bdb27fb34edd2ca8f1a4c699f1142f9de,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-46,3","+182,2",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
eafca06f09a51be0c5a4885eeb6bf08b3173f2a9,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-35,1","+46,3",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
9a4bf6f1d191242a9288d59c5e9bcca4ee21ea0c,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-0,0","+35,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
d89aa525daeace261dfa684cf4ae660174254bd5,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,left,"-0,0","+318,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-318,1","+320,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
9a4bf6f1d191242a9288d59c5e9bcca4ee21ea0c,a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,right,"-0,0","+42,1",a/app/ui/components/modals/WorkspaceSettingsModal.js,b/app/ui/components/modals/WorkspaceSettingsModal.js
