merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
00a383690eaa18749f2459d794b15204f43acce2,dd79b934bfe8ef6bdc072b9288bbb338ed8ed2b5,f44da26ff364565cfddc01939290cd0504980ff0,[],"['lerna.json', 'packages/insomnia-common/package-lock.json', 'packages/insomnia-common/package.json', 'packages/insomnia-components/package-lock.json', 'packages/insomnia-components/package.json', 'packages/insomnia-config/package-lock.json', 'packages/insomnia-config/package.json', 'packages/insomnia-cookies/package-lock.json', 'packages/insomnia-cookies/package.json', 'packages/insomnia-importers/package-lock.json', 'packages/insomnia-importers/package.json', 'packages/insomnia-inso/package-lock.json', 'packages/insomnia-inso/package.json', 'packages/insomnia-prettify/package-lock.json', 'packages/insomnia-prettify/package.json', 'packages/insomnia-send-request/package-lock.json', 'packages/insomnia-send-request/package.json', 'packages/insomnia-smoke-test/package-lock.json', 'packages/insomnia-smoke-test/package.json', 'packages/insomnia-testing/package-lock.json', 'packages/insomnia-testing/package.json', 'packages/insomnia-url/package-lock.json', 'packages/insomnia-url/package.json', 'packages/insomnia-xpath/package-lock.json', 'packages/insomnia-xpath/package.json', 'packages/insomnia/package-lock.json', 'packages/insomnia/package.json', 'packages/openapi-2-kong/package-lock.json', 'packages/openapi-2-kong/package.json', 'plugins/insomnia-plugin-base64/package.json', 'plugins/insomnia-plugin-cookie-jar/package-lock.json', 'plugins/insomnia-plugin-cookie-jar/package.json', 'plugins/insomnia-plugin-core-themes/package.json', 'plugins/insomnia-plugin-default-headers/package.json', 'plugins/insomnia-plugin-file/package.json', 'plugins/insomnia-plugin-hash/package.json', 'plugins/insomnia-plugin-jsonpath/package-lock.json', 'plugins/insomnia-plugin-jsonpath/package.json', 'plugins/insomnia-plugin-kong-declarative-config/package-lock.json', 'plugins/insomnia-plugin-kong-declarative-config/package.json', 'plugins/insomnia-plugin-kong-kubernetes-config/package-lock.json', 'plugins/insomnia-plugin-kong-kubernetes-config/package.json', 'plugins/insomnia-plugin-kong-portal/package-lock.json', 'plugins/insomnia-plugin-kong-portal/package.json', 'plugins/insomnia-plugin-now/package-lock.json', 'plugins/insomnia-plugin-now/package.json', 'plugins/insomnia-plugin-os/package-lock.json', 'plugins/insomnia-plugin-os/package.json', 'plugins/insomnia-plugin-prompt/package.json', 'plugins/insomnia-plugin-request/package-lock.json', 'plugins/insomnia-plugin-request/package.json', 'plugins/insomnia-plugin-response/package-lock.json', 'plugins/insomnia-plugin-response/package.json', 'plugins/insomnia-plugin-uuid/package-lock.json', 'plugins/insomnia-plugin-uuid/package.json']",0,90,0,0,0
b24d30a21d4388d97ac41a80f8999db7448a052e,3234c05c6e4746835a6dbb76900ec2c22ca2512f,040113891c6bec2f3f49613828b3677bfa462410,[],['packages/insomnia-smoke-test/package-lock.json'],0,1,0,0,0
debe68b3f19d4dc97a1ffa94fbbe039602b2be2b,6285ab8b0fe5b73a0b3dc6bd5d20a095d2a39eeb,e023b74341934481e4fda8c16ad5660bd4e28ba1,[],['packages/insomnia-smoke-test/package-lock.json'],0,1,0,0,0
1ee7c198f197125066351134e61a79bcbab01ba5,4a56db0560156024d279bf1ae8a4caa860aa5e98,e83679950551c521e70e6477db54a1e21db7787b,[],"['packages/insomnia-common/package-lock.json', 'packages/insomnia-components/package-lock.json', 'packages/insomnia-config/package-lock.json', 'packages/insomnia-cookies/package-lock.json', 'packages/insomnia-importers/package-lock.json', 'packages/insomnia-inso/package-lock.json', 'packages/insomnia-send-request/package-lock.json', 'packages/insomnia-smoke-test/package-lock.json', 'packages/insomnia-testing/package-lock.json', 'packages/insomnia-xpath/package-lock.json', 'packages/insomnia/package.json', 'packages/openapi-2-kong/package-lock.json', 'plugins/insomnia-plugin-jsonpath/package-lock.json', 'plugins/insomnia-plugin-kong-declarative-config/package-lock.json', 'plugins/insomnia-plugin-kong-kubernetes-config/package-lock.json', 'plugins/insomnia-plugin-kong-portal/package-lock.json', 'plugins/insomnia-plugin-now/package-lock.json', 'plugins/insomnia-plugin-os/package-lock.json', 'plugins/insomnia-plugin-response/package-lock.json', 'plugins/insomnia-plugin-uuid/package-lock.json']",0,20,0,0,0
5f6f0edd394ccd82fc0f4173bdc0a7b05b4f2b39,40af38c3b9711ff6ba4ab647be08765a0aeefeab,e5084c9335ddb3689b6359e035b3e7f2dc939afd,[],['scripts/changelog-image/changelog-image.ts'],0,1,0,0,0
2877b3dfe94d213e85c3a09857f049b72c826bdb,a96978a1055c4cf20e05cc867c09e2363fea8d02,f96d1513712ddb468c3be6c013cc8d50ea3c8289,[],['packages/insomnia-app/package-lock.json'],0,1,0,0,0
a4369bea1e759d6e3a397d3fb3afabf19acab630,e337bc6157ab1b2335a88f9f4547f9a4838e7bf2,ef855863e2364acd0164d2a70808eaf898979238,[],"['packages/insomnia-app/package.json', 'plugins/insomnia-plugin-kong-portal/package.json', 'plugins/insomnia-plugin-response/package.json']",0,3,0,0,0
ba785e6731b59fd6da6d71fbbca767bb52df1017,91eb27549105d2f5297e732cacbcd38ffd1937ea,e0b91b5aedbdd6630a96940e1dfd4a43b7870a32,[],"['packages/insomnia-app/package.json', 'plugins/insomnia-plugin-response/package.json']",0,2,0,0,0
0d86e8e0e748a9299b2fb6f47c61abd1a27b1b29,a1fac1f060c5b165528f029ebe0d469f7e40d7ba,53816f1eb925cdc68852978f2e133b73e9dfffdb,[],"['packages/insomnia-app/package-lock.json', 'packages/insomnia-common/package-lock.json', 'packages/insomnia-components/package-lock.json', 'packages/insomnia-config/package-lock.json', 'packages/insomnia-cookies/package-lock.json', 'packages/insomnia-importers/package-lock.json', 'packages/insomnia-inso/package-lock.json', 'packages/insomnia-inso/package.json', 'packages/insomnia-send-request/package-lock.json', 'packages/insomnia-smoke-test/package-lock.json', 'packages/insomnia-testing/package-lock.json', 'packages/insomnia-xpath/package-lock.json', 'packages/openapi-2-kong/package-lock.json', 'plugins/insomnia-plugin-jsonpath/package-lock.json', 'plugins/insomnia-plugin-kong-declarative-config/package-lock.json', 'plugins/insomnia-plugin-kong-kubernetes-config/package-lock.json', 'plugins/insomnia-plugin-kong-portal/package-lock.json', 'plugins/insomnia-plugin-now/package-lock.json', 'plugins/insomnia-plugin-os/package-lock.json', 'plugins/insomnia-plugin-response/package-lock.json', 'plugins/insomnia-plugin-uuid/package-lock.json']",0,21,0,0,0
8918b1511383ecf2904d564ff50beb3228855ea8,9b8bce50157ec7fbc0e756ab6b1d3e0213992667,e02e5d404fbfda077c9e6ffaf9b28a3171d58f1d,[],"['packages/insomnia-app/app/common/__tests__/validate-insomnia-config.test.ts', 'packages/insomnia-app/app/common/validate-insomnia-config.ts', 'packages/insomnia-app/app/models/helpers/settings.ts', 'packages/insomnia-config/package.json']",0,8,0,0,0
1956665a2bff26d67c8309029b2096a5228b83e9,4f8ee1f010e090c04de4777c45d2ae460dcad869,45f683f9927da799f6ad76e3527c8c44f0fad684,[],['packages/insomnia-app/package-lock.json'],0,1,0,0,0
bbadeac090ed4e95346a7c70306a23e12e6e7129,d5a1f44f156999bc2744f36926f1b294b7b3c46f,72dd8f28d7ac7719e2140d982aa291f546312729,[],"['packages/insomnia-app/app/ui/redux/modules/global.tsx', 'packages/insomnia-app/package-lock.json']",0,4,0,0,0
88ed96fc47b71344d090f5af15ccdbd699bb8e66,f2609fcaa9beaeacb73d477517a5d01956461997,9c5742ae73c7e4501c864315e4e831bca4024d4f,[],"['package.json', 'packages/insomnia-smoke-test/package.json', 'packages/openapi-2-kong/package.json']",0,3,0,0,0
98d2cf90c7420f7a60e6d6a20433b6c72f7b5c83,cf6dde485330ab32c442b40a9c5ab2b2a035ea00,71c7dbba4721d6a7874b343e4cf18d056686b453,[],['packages/insomnia-smoke-test/package.json'],0,1,0,0,0
dbddc7bb07ea6dc9b2ccd32150e92dbdb9d178e3,34a55477a71d1615d2b2d85a52c271d5130937f8,b59759d54f20d954d60e538cf7e7827cf14c212d,[],['packages/insomnia-app/app/common/render.js'],0,1,0,0,0
d9c33417eb8d2fcae8ec26cb2aa2f3baab8098f1,b3aa013b7508a47afb324e0f01bd0609285be61f,a9e66f0d7b6e99e41a27d268533e6cc090addbf2,[],['packages/insomnia-app/package-lock.json'],0,14,0,0,0
7f17494520ec9f4c70d1715dcdcf77e91f7bcb00,93e8d70531098ef51c28a5719d61a90eb22b2f0f,a33fb6b9fa44ceef8b67f62e63ea434623c47188,[],['packages/insomnia-app/app/main/window-utils.js'],0,5,0,0,0
300ede1ff9aab7839ef3526332583aacbda6f330,683ac86f4f2a8b4664e9e7400748032605ec973e,58653525b8b0a85771aa85f750f9eb09eeb13d14,[],['packages/insomnia-app/app/common/__tests__/import.test.js'],0,13,0,0,0
9208505bd99d194faf05e45a2449a299bf2269c5,272c2d400465a9c82d767a65a72e71d8b85f11fb,86860e455bde9e85bb4b2826281136d44aea1917,[],[],0,0,0,0,0
9a0ed72af2e241c3f6c65df452df60b1713a5dae,8d7cd74bb0f8c042d4559ba2df97a1f42faa1a42,f549dc520fb900846ad07b2a05fa86cfec4e3041,['app/ui/components/editors/body/graph-ql-editor.js'],[],1,2,2,0,0
12fd55adf58389af10061041c26e72b3943c760a,10a241b60083aa4088de9e652561ee38ee53591a,7e1f48f236bc38cc55b830be51f2b8c879c0e32c,['app/ui/components/codemirror/code-editor.js'],[],1,1,1,0,0
7c6a043201bbcfe1b319638ff77099b50a50ba43,6545832afdae2b7c4655f150059a93b1bc47a393,23692cb680b06ab64b594e6d8fe4da9414d45ea5,[],"['app/package.json', 'package-lock.json']",0,3,0,0,0
eef584528af7761732e1cf3c0b49c000149b3eb4,412cc537d353990a17ba324537de6a56bd581643,230402864ec731489011b67d4d306352e277f006,['app/ui/containers/app.js'],[],1,1,1,0,0
412cc537d353990a17ba324537de6a56bd581643,91ad40497bee64c85a55067a8e69196cba1a18b3,0e6d89e9e6083d6c3b7dcb66b28fb59032db3bb9,"['app/templating/extensions/now-extension.js', 'app/ui/components/codemirror/extensions/nunjucks-tags.js', 'app/ui/containers/app.js']",[],3,3,3,2,2
85c98fc84d0035dc2c870c26e25b30c7994fe6a6,79b3f3fe7cf256f5414cdbcced39a94ba15c024a,56ad8598a0a8d7cd716ccd93a12278f831def2cd,[],['app/templating/extensions/__tests__/response-extension.test.js'],0,16,0,0,0
151dd1c74a31b7f77c3536a47ad8f65d2d11f4dc,942f57e2260909192be0194eaa78db6c558be281,c1e9e718e9f8d99e0d582300e2755591d77e2fcb,"['app/ui/components/codemirror/Editor.js', 'app/ui/components/keyvalueeditor/Editor.js']",[],2,4,4,0,0
4043e321f3c6f6851fd3146baf602fbe1bcf0974,82dac24499779960f21625669daf0bd7d55e865a,05f4d4dae14bbe261e3f2018777c3a7949d837c2,[],"['app/package.json', 'package.json']",0,6,0,0,0
a27b17d40ebfd7379447770bdff8ecef4d981296,d89aa525daeace261dfa684cf4ae660174254bd5,3b0e0384ad0863eb11b7ca3126f70dc9b51163ac,"['app/ui/components/dropdowns/WorkspaceDropdown.js', 'app/ui/components/modals/WorkspaceSettingsModal.js']",[],2,6,6,2,0
9d7484359530f16e041f83be06364e5916e0afad,bd4076b6ff83d3fde6bce9f3e35ff625bfa90fd1,5d5d6eecc45dc17a4f2ee38b6a5d2dcf0a66b4ee,['app/models/index.js'],['app/ui/css/components/keyvalueeditor.less'],1,2,1,0,0
07a2ea374a7a73c59373c77ef1c74b3a72e389ac,b49a70753b258bcdccf78994468b9d57a6e90041,61338d091c1d696861e6a95d63aabb7593502416,[],['package.json'],0,1,0,0,0
