merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
47cc13f64e88243ee4270c146efa0af2050dbba3,bb0968c1f9deb8d628b73c9951e2f836cfcb242f,75f7dd708e30cc049655a8421f5a01fef9270bbb,['intro.js'],[],1,1,1
6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,['intro.js'],[],1,8,8
2db21877e4716c3c377947d32407412886aff68e,d4dfe57571284f9f9ddb62d8d880d37657a6203e,e965a0da5108a981f7d91b494f1515e3fc420e89,['intro.js'],[],1,1,1
0d7942c1a7caa74d8789bbef7f29b86d2b72f9d2,c73be3715877ab95d9b617d9527dafcf5d3131f9,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,['intro.js'],[],1,1,1
19981c737607fba93c79438c9245a4a14c000bfa,7c43932eff304fe9b45fefb576fca6931b7a52b1,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,['intro.js'],[],1,2,2
0f077d6adc3a560a5c43b8d187088040544b1bc9,8d7064ac5d8d21aadedfd944f6577fd4d16a9fde,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,['intro.js'],[],1,3,3
390e934971e4eca55da98be0951648dfc239f1f3,de938de6eae67d372ca23193d308663e281d2b24,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,['intro.js'],[],1,3,3
81ce1f09d31393259ca4619976ba3a32db2c140c,c84fff9f9425a59c0e42c11beaea6e2a23af632d,3d9d08c4097acdea08a5da1f7c70036872cf58c9,['intro.js'],[],1,1,1
a9bf9733b4982a8e1a380b73140388fcb3b5af16,f39637505f4ec5a623d2b4411217c60757a4cd9a,69d2677e49be85b9b0ca1666237f520e24c7caf3,['intro.js'],[],1,5,5
f86f668999dfd1577026a39c48dc022a44ebb511,400d0cc6349333f713e94a13b23659a531816c8b,55f6bb746a9f48e43d4cc6b8740e28f1c4dfedf4,['intro.js'],[],1,2,2
7c43932eff304fe9b45fefb576fca6931b7a52b1,55f6bb746a9f48e43d4cc6b8740e28f1c4dfedf4,3709992551a2f1484cb58f88edc3d3000651db70,"['intro.js', 'minified/intro.min.js']","['introjs.css', 'minified/introjs.min.css']",2,5,3
50212ad5bff38fa5fae7d79d0bd120d951e21230,2a86bd413019106b9863e85239043d2f0c06e3eb,cf080c1a8edbf984c94cb9bf61e5bedc5f6ab802,[],['docs/docs/getting-started/examples.md'],0,1,0
477720019555a08e2cf3fa0bb5c1b37ace125e57,fd6727a1b1fa35cd7d3fdfbad876882a379d5886,391a0bb2779da8f4d1eef66f45bd90bb11ae6e01,[],['introjs.css'],0,1,0
32ec19305714ea7c6e756fa82f0462cd05bcad07,e4bf5927912b7182095ef2fe3b31142f1454eac1,96fd6ec2ca42369cf35621bcca49c07f83bceaa7,"['intro.js', 'minified/intro.min.js']",[],2,4,4
d0e1254e7166b8ab004373d4e0f557169ad05626,7578352b4602e84cee418abb8793fe6fac6334db,3b76d7303451e2f59bee2de136148cad3a148824,['intro.js'],[],1,1,1
7578352b4602e84cee418abb8793fe6fac6334db,a2b92b8189a799e02aa8b396c122044d326e3e28,a6d4415b8ba494f26c70c1f181bffd45c1a95628,['intro.js'],[],1,1,1
846752a022f3f5315e981a02a9b26efbcf83e220,cd2ec800d52c69604f5e5545e125d377e1e73267,a6d4415b8ba494f26c70c1f181bffd45c1a95628,['intro.js'],[],1,1,1
0a1565e8d379022d207885e5acef04b3c50b94c4,e161504030b5e8c6f370803fe98601ffb12a649d,3a2d855e8eacd116b70ad71a70c9b1513f3691e4,[],['introjs.css'],0,1,0
7d64fe0322fe12d28d18925c389e21b71d1da47b,88448fbf619638b065a8be4512c737d1e7bf784a,3a2d855e8eacd116b70ad71a70c9b1513f3691e4,"['intro.js', 'minified/intro.min.js']","['introjs.css', 'minified/introjs.min.css']",2,5,3
c861c37b7e70c6ed7e44247d9b746cdf0f065ef8,a19f2cf6981cfd8fac7f3fd2dd9c76cdfd0f56e1,83c2ba3c5854cd85db3acb55d6de4c6ff53f6261,[],['introjs.css'],0,1,0
d251af59d4fa92214107f3f00b27ed90b1e2d324,f258315be1b757d36fa549fc63cd76e60ea9fcd5,a25c722a78600a3e9cb1d70e00229a8e868a0db9,"['intro.js', 'minified/intro.min.js']",['minified/introjs.min.css'],2,5,4
8315462ec95069667caa250a7eb1a7d421dd2ec0,13b22c55417384c26de674dc9a7f923aa11ccfec,300a5f6731c13a8cfc95139ea4d08baafa08e1eb,['intro.js'],[],1,1,1
f6385d92529c0374d7057e91824904fd76a8b59c,8c0b160205e94271f60e0939173729b8eee7ba16,6eadc4ad31501b52c271a016b349857c908808b8,[],"['example/index.html', 'introjs.css']",0,2,0
