evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
d45ef37f2b7266c841fa2f31ac4c9894f2a15fae,47cc13f64e88243ee4270c146efa0af2050dbba3,bb0968c1f9deb8d628b73c9951e2f836cfcb242f,75f7dd708e30cc049655a8421f5a01fef9270bbb,left,"-308,8","+265,3",a/intro.js,b/intro.js
75f7dd708e30cc049655a8421f5a01fef9270bbb,47cc13f64e88243ee4270c146efa0af2050dbba3,bb0968c1f9deb8d628b73c9951e2f836cfcb242f,75f7dd708e30cc049655a8421f5a01fef9270bbb,right,"-198,34","+198,37",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1117,2","+1137,2",a/intro.js,b/intro.js
33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,right,"-1017,2","+1019,2",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1168,11","+1188,11",a/intro.js,b/intro.js
33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,right,"-1059,11","+1061,11",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1184,2","+1204,2",a/intro.js,b/intro.js
33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,right,"-1075,2","+1077,2",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1200,4","+1220,4",a/intro.js,b/intro.js
3d5a6b87297d12986278d66b3db3ad739afbc1d7,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1143,4","+1143,4",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1205,4","+1225,4",a/intro.js,b/intro.js
33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,right,"-1093,7","+1095,7",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1214,2","+1234,2",a/intro.js,b/intro.js
33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,right,"-1105,2","+1107,2",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1224,8","+1244,8",a/intro.js,b/intro.js
33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,right,"-1115,8","+1117,8",a/intro.js,b/intro.js
ee60a1985d9cbda7875ff3fb7a6f0d2495eba1b1,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,left,"-1459,1","+1472,2",a/intro.js,b/intro.js
33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,6983efc38b8c1adae844e627093140cb6b51b866,0a086572b4f8eee96fd5720e575573b0a5105b80,33b6f3175c6dfd050ea47d11ae6f213d3efbf19f,right,"-1760,1","+1762,1",a/intro.js,b/intro.js
d45ef37f2b7266c841fa2f31ac4c9894f2a15fae,2db21877e4716c3c377947d32407412886aff68e,d4dfe57571284f9f9ddb62d8d880d37657a6203e,e965a0da5108a981f7d91b494f1515e3fc420e89,left,"-114,3","+114,2",a/intro.js,b/intro.js
3709992551a2f1484cb58f88edc3d3000651db70,2db21877e4716c3c377947d32407412886aff68e,d4dfe57571284f9f9ddb62d8d880d37657a6203e,e965a0da5108a981f7d91b494f1515e3fc420e89,right,"-48,4","+48,4",a/intro.js,b/intro.js
c73be3715877ab95d9b617d9527dafcf5d3131f9,0d7942c1a7caa74d8789bbef7f29b86d2b72f9d2,c73be3715877ab95d9b617d9527dafcf5d3131f9,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,left,"-1729,6","+1741,4",a/intro.js,b/intro.js
007089a0007998fcffc6fbc104e89bc60d7b6f52,0d7942c1a7caa74d8789bbef7f29b86d2b72f9d2,c73be3715877ab95d9b617d9527dafcf5d3131f9,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,right,"-1748,6","+1747,4",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,0d7942c1a7caa74d8789bbef7f29b86d2b72f9d2,c73be3715877ab95d9b617d9527dafcf5d3131f9,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,right,"-1688,6","+1715,6",a/intro.js,b/intro.js
3709992551a2f1484cb58f88edc3d3000651db70,19981c737607fba93c79438c9245a4a14c000bfa,7c43932eff304fe9b45fefb576fca6931b7a52b1,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,left,"-58,8","+58,9",a/intro.js,b/intro.js
007089a0007998fcffc6fbc104e89bc60d7b6f52,19981c737607fba93c79438c9245a4a14c000bfa,7c43932eff304fe9b45fefb576fca6931b7a52b1,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,right,"-171,4","+169,1",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,19981c737607fba93c79438c9245a4a14c000bfa,7c43932eff304fe9b45fefb576fca6931b7a52b1,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,right,"-152,4","+159,4",a/intro.js,b/intro.js
3709992551a2f1484cb58f88edc3d3000651db70,19981c737607fba93c79438c9245a4a14c000bfa,7c43932eff304fe9b45fefb576fca6931b7a52b1,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,left,"-58,8","+58,9",a/intro.js,b/intro.js
007089a0007998fcffc6fbc104e89bc60d7b6f52,19981c737607fba93c79438c9245a4a14c000bfa,7c43932eff304fe9b45fefb576fca6931b7a52b1,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,right,"-207,1","+200,2",a/intro.js,b/intro.js
8d7064ac5d8d21aadedfd944f6577fd4d16a9fde,0f077d6adc3a560a5c43b8d187088040544b1bc9,8d7064ac5d8d21aadedfd944f6577fd4d16a9fde,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,left,"-612,6","+612,3",a/intro.js,b/intro.js
f39637505f4ec5a623d2b4411217c60757a4cd9a,0f077d6adc3a560a5c43b8d187088040544b1bc9,8d7064ac5d8d21aadedfd944f6577fd4d16a9fde,cecbfa3ec6b1f02c9762035aa787cf1c5086b1d2,right,"-612,6","+626,6",a/intro.js,b/intro.js
