d45ef37f2b7266c841fa2f31ac4c9894f2a15fae,INTERNAL_MOVE,{Function _onKeyDown at intro.js:257},{Function _onKeyDown at intro.js:287})
f39637505f4ec5a623d2b4411217c60757a4cd9a,RENAME,{Function onclick at intro.js:1741},{Function getHintClick at intro.js:1760})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _nextStep at intro.js:396},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _hideHints at intro.js:1696},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _addClass at intro.js:1398},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _reAlignHints at intro.js:1660},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _introForElement at intro.js:114},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _removeShowElement at intro.js:1327},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _populateHints at intro.js:1588},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _removeHints at intro.js:1745},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _showElement at intro.js:919},{Function _forEach at intro.js:1381})
007089a0007998fcffc6fbc104e89bc60d7b6f52,EXTRACT,{Function _showHints at intro.js:1712},{Function _forEach at intro.js:1381})
a5dd55299d677c06c43103ff92b60c493c64d856,EXTRACT,{Function _showElement at intro.js:794},{Function _setShowElement at intro.js:1085})
cd2ec800d52c69604f5e5545e125d377e1e73267,EXTRACT,{Function _placeTooltip at intro.js:418},{Function _checkLeft at intro.js:564})
cd2ec800d52c69604f5e5545e125d377e1e73267,EXTRACT,{Function _placeTooltip at intro.js:418},{Function _checkRight at intro.js:549})

