evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
13dfcacbb0d1a7825eeea7f66cd858bd77996260,1332f01ca4a64f5946eebf1badc8e57183094412,8d302d8dca52e408a0199de4a0955bcc0d00128e,64d58ed1f074e2332f6d95d60664c61fce9c806d,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,src/core/Env.js,lib/jasmine-core/jasmine.js,"[9046, 9054]","[9054, 9056]",1049,2026,True,False,EXTRACT_MOVE
13dfcacbb0d1a7825eeea7f66cd858bd77996260,1332f01ca4a64f5946eebf1badc8e57183094412,8d302d8dca52e408a0199de4a0955bcc0d00128e,64d58ed1f074e2332f6d95d60664c61fce9c806d,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[9046, 9054]","[9054, 9056]",2023,2026,True,False,EXTRACT
799d9897fd2810932833066bd68871b454dbaa56,6d002d22af76fec00bcb79148ff42841ca485b02,09d2ce9bc9ab2813f017f375fd108260044c6a89,799d9897fd2810932833066bd68871b454dbaa56,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,src/core/Env.js,lib/jasmine-core/jasmine.js,"[3728, 3930]","[3734, 3936]",1234,2272,True,False,EXTRACT_MOVE
799d9897fd2810932833066bd68871b454dbaa56,6d002d22af76fec00bcb79148ff42841ca485b02,09d2ce9bc9ab2813f017f375fd108260044c6a89,799d9897fd2810932833066bd68871b454dbaa56,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[3728, 3930]","[3734, 3936]",2272,2272,True,False,EXTRACT
90d6f9d73ce4809233d67a9cb0a78ea2a4f436d0,8b3a6561b12c5bb84e126ce66e3e8357f89cd40a,7a38db2e32f7e492cc82bf0b8a9b9bcc9b6c6e06,2fc5182ddcdd67456b89c92c2eedbc2443c928c6,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[2363, 2363]","[2408, 2408]",2756,2801,True,False,RENAME
90d6f9d73ce4809233d67a9cb0a78ea2a4f436d0,8b3a6561b12c5bb84e126ce66e3e8357f89cd40a,7a38db2e32f7e492cc82bf0b8a9b9bcc9b6c6e06,2fc5182ddcdd67456b89c92c2eedbc2443c928c6,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[2398, 2398]","[2443, 2443]",2756,2801,True,False,RENAME
90d6f9d73ce4809233d67a9cb0a78ea2a4f436d0,8b3a6561b12c5bb84e126ce66e3e8357f89cd40a,7a38db2e32f7e492cc82bf0b8a9b9bcc9b6c6e06,2fc5182ddcdd67456b89c92c2eedbc2443c928c6,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[2466, 2466]","[2511, 2511]",2756,2801,True,False,RENAME
90d6f9d73ce4809233d67a9cb0a78ea2a4f436d0,8b3a6561b12c5bb84e126ce66e3e8357f89cd40a,7a38db2e32f7e492cc82bf0b8a9b9bcc9b6c6e06,2fc5182ddcdd67456b89c92c2eedbc2443c928c6,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[2607, 2607]","[2652, 2652]",2756,2801,True,False,RENAME
90d6f9d73ce4809233d67a9cb0a78ea2a4f436d0,a1f1b4ae0f32127ed0654aed33073311a824ebf4,c39c110eca1401467ebf198a55212dbf1c13dab8,795651d3b6d2b49c8278d01b61ef7384443e5157,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[2748, 2749]","[2793, 2794]",2756,2801,True,False,RENAME
dec67bd535bfeeb9e4953f14c35ff56874aabcf9,c2ada1af956197eb8aac07d4d6986211aa35b2f3,83b336d9d1a22caf58e0985210a623471a2001ef,ea3dd9dffc66942cd1bdf5367cce1cdcf34b7f59,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[4133, 4133]","[4255, 4255]",4168,4300,True,False,RENAME
dec67bd535bfeeb9e4953f14c35ff56874aabcf9,c2ada1af956197eb8aac07d4d6986211aa35b2f3,83b336d9d1a22caf58e0985210a623471a2001ef,ea3dd9dffc66942cd1bdf5367cce1cdcf34b7f59,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[4133, 4133]","[4255, 4255]",4133,4255,True,True,RENAME
dec67bd535bfeeb9e4953f14c35ff56874aabcf9,c2ada1af956197eb8aac07d4d6986211aa35b2f3,83b336d9d1a22caf58e0985210a623471a2001ef,ea3dd9dffc66942cd1bdf5367cce1cdcf34b7f59,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[4133, 4133]","[4255, 4255]",4076,4195,True,False,RENAME
873d1c294552e90bbcb96b5589324a3bdf5ff597,c2ada1af956197eb8aac07d4d6986211aa35b2f3,83b336d9d1a22caf58e0985210a623471a2001ef,ea3dd9dffc66942cd1bdf5367cce1cdcf34b7f59,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,src/core/matchers/DiffBuilder.js,lib/jasmine-core/jasmine.js,"[4296, 4296]","[4335, 4335]",25,4253,True,False,EXTRACT_MOVE
873d1c294552e90bbcb96b5589324a3bdf5ff597,c2ada1af956197eb8aac07d4d6986211aa35b2f3,83b336d9d1a22caf58e0985210a623471a2001ef,ea3dd9dffc66942cd1bdf5367cce1cdcf34b7f59,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,lib/jasmine-core/jasmine.js,"[4296, 4296]","[4335, 4335]",6111,6503,True,False,EXTRACT
