evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
f75160863b2b194ae4daf537aef405c1545dd3eb,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-1298,34","+1298,14",a/src/jshint.js,b/src/jshint.js
115e1efd7b83f75fdd878d1343314dd4ab54c588,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-1182,9","+1297,34",a/src/jshint.js,b/src/jshint.js
047d5afa4f7acb23150b4480de9acc37846c505a,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,right,"-1099,9","+1099,15",a/src/jshint.js,b/src/jshint.js
f80e049c62d611afa9b72dc901609941a7d2ace0,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-1344,7","+1344,7",a/src/jshint.js,b/src/jshint.js
f78e6bd6c841d596952106329623da23056a1b00,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-1195,7","+1199,7",a/src/jshint.js,b/src/jshint.js
047d5afa4f7acb23150b4480de9acc37846c505a,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,right,"-1119,7","+1125,2",a/src/jshint.js,b/src/jshint.js
f80e049c62d611afa9b72dc901609941a7d2ace0,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2414,28","+2414,28",a/src/jshint.js,b/src/jshint.js
f78e6bd6c841d596952106329623da23056a1b00,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2103,28","+2110,28",a/src/jshint.js,b/src/jshint.js
21b8731d5bf498b7010b3d636d60f60d9f86101c,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2026,8","+2057,28",a/src/jshint.js,b/src/jshint.js
047d5afa4f7acb23150b4480de9acc37846c505a,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,right,"-2022,8","+2023,9",a/src/jshint.js,b/src/jshint.js
a279f077fbb186a30b1a092d31c8fca654f0dd85,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2521,34","+2507,35",a/src/jshint.js,b/src/jshint.js
f80e049c62d611afa9b72dc901609941a7d2ace0,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2502,34","+2502,34",a/src/jshint.js,b/src/jshint.js
f78e6bd6c841d596952106329623da23056a1b00,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2191,34","+2198,34",a/src/jshint.js,b/src/jshint.js
bec152c81aa1a1b5ff21f56589363619494a7d24,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2125,28","+2125,34",a/src/jshint.js,b/src/jshint.js
e3e745be9408409b099a069959ad305955970ff0,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2141,5","+2141,28",a/src/jshint.js,b/src/jshint.js
047d5afa4f7acb23150b4480de9acc37846c505a,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,right,"-2099,5","+2101,4",a/src/jshint.js,b/src/jshint.js
a279f077fbb186a30b1a092d31c8fca654f0dd85,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2567,3","+2569,10",a/src/jshint.js,b/src/jshint.js
960680575afbc9e50de4c91140edfc77d8599bd8,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2164,15","+2164,3",a/src/jshint.js,b/src/jshint.js
047d5afa4f7acb23150b4480de9acc37846c505a,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,right,"-2123,5","+2124,3",a/src/jshint.js,b/src/jshint.js
a279f077fbb186a30b1a092d31c8fca654f0dd85,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2567,4","+2590,2",a/src/jshint.js,b/src/jshint.js
960680575afbc9e50de4c91140edfc77d8599bd8,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,left,"-2164,28","+2164,4",a/src/jshint.js,b/src/jshint.js
047d5afa4f7acb23150b4480de9acc37846c505a,4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,right,"-2137,6","+2136,4",a/src/jshint.js,b/src/jshint.js
