merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,0,0
merge,left,right,[],[],0,0,0,0,0
4966651a401518a345d8aacc82a9073f77a4ddb2,0f0acd8cf77618a3547b1f7a3b29f9762a45013a,047d5afa4f7acb23150b4480de9acc37846c505a,['src/jshint.js'],['tests/unit/options.js'],1,7,6,0,0
6b7feae5130d101b693f08e611f4aef45b11c2f5,3b125e56546613db4afee3159ce6111c07c313e8,5276788514b398c97e025bcab6f00580b11128c0,[],['package.json'],0,1,0,0,0
5ba6d949c117c4c202596d994f42843304f86ccf,71a180b66d8aca76e8a88866974c997d4a9387be,66ee39ea9b7785c18d4a16a9024344f23b943dbe,[],['tests/cli.js'],0,1,0,0,0
08c70e632f889feb8481acdc41e541ca49edfad4,c07679b3f868078834c6d922edfcf57173969fdc,2334adc06f25d474b226a447681e28437510627f,[],['CONTRIBUTING.md'],0,1,0,0,0
56d10bf0bb2365347a0a183922cea5d8c0def977,b9d1ea4cd8eb27e98740d5ab3cea3b8ebc1b5927,01fc53fef753a021baddc4fce05ef4cc570aa188,['src/stable/jshint.js'],['tests/stable/unit/parser.js'],1,2,1,1,0
f6020e73aa0a3e8793ba6ab305f3d995b6b77cbe,9acccd2cf7c4e893893ca22b82a0144b1eb9bc43,d4f0e897f8c2acda9a4c2405da9c05faea7cea25,[],['tests/stable/unit/parser.js'],0,1,0,0,0
51b4c4f3e7772d933563b6313d8dc45fe569e133,e24ae9928dd62ed8c29ba8b7aafaa68ec4a7dd35,dea5f5963213e9609b1f1da966ee31e288fc7cfd,[],['tests/stable/unit/parser.js'],0,1,0,0,0
db5e65ad07df3563290d6caeb7cea8b73e52059f,059feadb042512ab4e40d9fff8b0ad4443492583,e940141eb746a78ae89e7b20e5754a2240ff486f,[],['tests/stable/unit/parser.js'],0,1,0,0,0
650fb72d9171d2c433dfdbdbd9a67bd125305e7d,70e9b3605364d9079591e38f6c4bb9fcbce6c348,33db1391ac0bac9c89f8fd6cfd6119dd13b94978,[],['tests/stable/unit/parser.js'],0,6,0,0,0
522ad4bdf3433b2068cc95c3c954b080f626c5d5,0f7b0b3a9db1b087a0e28cbdd82c5d34cd10825f,571ba1772b750d97088a90910796778d3cf16fdd,['src/cli/cli.js'],[],1,1,1,0,0
04eb2a27ee64c20c9cc29c8bee2ccb9fb4c150bc,d09c016b06b50fcb09e04dccadf831179d511439,e71f6bf8f48cec07517f78a23359adabfce025a7,[],['tests/stable/unit/parser.js'],0,1,0,0,0
e6124344385bb7fec594c688c8d730a565ff2f7c,269f24e78331ede6f2e28eb67f2e6da8e755a98b,0be040d2cf4bde751032af581c158aeaa4e74ef7,['src/stable/jshint.js'],[],1,1,1,7,0
269f24e78331ede6f2e28eb67f2e6da8e755a98b,4c61b9d63e04124cc499cb39a521ee3e77abfa3f,5c2f1a049940f327f9d17912491a4217eac0ad9d,[],['tests/stable/unit/parser.js'],0,2,0,0,0
4c61b9d63e04124cc499cb39a521ee3e77abfa3f,82d8e879feee4ee427591643432e22fa45f929b4,d02401a80e1228d5e1de06867f48345ceb4dbaf5,['src/stable/jshint.js'],[],1,1,1,0,0
29c6eeb15a0c4b862d88ae89efbffe7374a90085,c06a515a3c71dba8334a7bbb4132713e6f35e9d3,8014b64dabf0919e202911ef0d01a2c9716b25b0,[],['tests/stable/unit/parser.js'],0,1,0,0,0
ffe4a9c2d4a68633d88872826a46701211ccd84f,b3b7018a64b0ddebba4eb7ac42c26af618f95164,f3a9eee31dc151b2f445bd71180dd30487f8f839,['src/stable/jshint.js'],[],1,2,2,0,0
861230843e430bef39c0356fce454354633bd207,24d1084c14cc67bcce351574f34c6477aca8c5e4,eada15307cb4751ab5c3be309dac51ebe3f71fae,[],['tests/unit/core.js'],0,1,0,0,0
eada15307cb4751ab5c3be309dac51ebe3f71fae,5b8cc5979ebeac659e3408b83fe3f6c9148b8544,aa807a544b8d59134374753861db209800ad400f,[],['tests/unit/core.js'],0,1,0,0,0
67749e195d7a99304afbe07c3d0a2f5088416d69,8c315d90c4906a02c344500f08f55be60213c2b1,e10b6df716e6636d3244dbb6c0d8e1d7b0e77a20,[],['tests/unit/options.js'],0,1,0,0,0
8c315d90c4906a02c344500f08f55be60213c2b1,0e46c7c461c04ecbc87c71d9a3555567a599ef6f,accf3cb01a0f36e79eee2c5cc0cb2d013083f026,[],['tests/unit/core.js'],0,1,0,0,0
f9aba2f9b7e502dc26d1f8e815b694d397696b43,d63a19f0a4fe7257e5db1d2180437f114dc9f41e,0e46c7c461c04ecbc87c71d9a3555567a599ef6f,[],[],0,0,0,0,0
533e4b4c086a6b927049d4be17398288a534e6e7,5c3326c0e8ed7d751362c28d07891eb355150994,178a3ff331e5025f94b20d1bfcc6212bcd2f11d3,['jshint.js'],[],1,1,1,0,0
d73dd03e9a69ca4e2c33b9df679638bd2d801115,b25299fa8cb14ad9ab572cc60624ad03430cb0eb,2b3b1dcc9d286e11a216f9e726822d16d6d1af93,[],['tests/options.js'],0,1,0,0,0
