evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
3846b7182ce0eba7a43237cc8e498e5391d33102,40b84c066d4d20b61f84db3b431f8427d3b91213,dd82b7951c14d05277a265151e58461660f02b7d,ffc7bd4ae8b285cf48704df3dfba5f32b67a6247,left,"-136,4","+136,6",a/src/transaction.js,b/src/transaction.js
ffc7bd4ae8b285cf48704df3dfba5f32b67a6247,40b84c066d4d20b61f84db3b431f8427d3b91213,dd82b7951c14d05277a265151e58461660f02b7d,ffc7bd4ae8b285cf48704df3dfba5f32b67a6247,right,"-136,6","+136,2",a/src/transaction.js,b/src/transaction.js
3846b7182ce0eba7a43237cc8e498e5391d33102,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,left,"-209,3","+205,3",a/src/client.js,b/src/client.js
3d9327a2f4b37ddf7975680eacabc36f318f3fc7,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,right,"-211,3","+211,4",a/src/client.js,b/src/client.js
3846b7182ce0eba7a43237cc8e498e5391d33102,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,left,"-56,5","+56,7",a/src/dialects/mssql/transaction.js,b/src/dialects/mssql/transaction.js
3d9327a2f4b37ddf7975680eacabc36f318f3fc7,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,right,"-56,5","+56,5",a/src/dialects/mssql/transaction.js,b/src/dialects/mssql/transaction.js
3846b7182ce0eba7a43237cc8e498e5391d33102,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,left,"-40,5","+40,5",a/src/dialects/oracle/transaction.js,b/src/dialects/oracle/transaction.js
3d9327a2f4b37ddf7975680eacabc36f318f3fc7,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,right,"-40,5","+40,5",a/src/dialects/oracle/transaction.js,b/src/dialects/oracle/transaction.js
3846b7182ce0eba7a43237cc8e498e5391d33102,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,left,"-156,26","+164,28",a/src/runner.js,b/src/runner.js
3d9327a2f4b37ddf7975680eacabc36f318f3fc7,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,right,"-156,26","+156,31",a/src/runner.js,b/src/runner.js
06e344744092657a14a6fce179715bcfd08cf08a,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,left,"-4,6","+4,6",a/src/transaction.js,b/src/transaction.js
3846b7182ce0eba7a43237cc8e498e5391d33102,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,left,"-4,6","+4,6",a/src/transaction.js,b/src/transaction.js
82105a6045a306e5133f46f003c709385a5df4d3,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,right,"-4,6","+4,7",a/src/transaction.js,b/src/transaction.js
3846b7182ce0eba7a43237cc8e498e5391d33102,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,left,"-143,5","+145,3",a/src/transaction.js,b/src/transaction.js
3d9327a2f4b37ddf7975680eacabc36f318f3fc7,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,right,"-143,5","+143,5",a/src/transaction.js,b/src/transaction.js
3846b7182ce0eba7a43237cc8e498e5391d33102,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,left,"-239,8","+229,4",a/src/transaction.js,b/src/transaction.js
82105a6045a306e5133f46f003c709385a5df4d3,e7a42abbb200aaad3f6ac0324c28af75931c0583,2acd6e5daa15e5c18a3525965d113a15187bda8a,c39f6298d204c82f2c91a49e4c8b64c4d990ce25,right,"-239,8","+240,11",a/src/transaction.js,b/src/transaction.js
43dbdadb907687ba2b2d6966c7fc9419a9b4f507,aa6cb2eb9c1ffdbedddccbdbb18feb89dd809dfd,eed0004031450d3865964f09c61dcad33ab2b671,43dbdadb907687ba2b2d6966c7fc9419a9b4f507,right,"-43,3","+42,1",a/src/dialects/mssql/index.js,b/src/dialects/mssql/index.js
f9aab9dc76f4504143a3dba51127a2f3c7165829,c8232d11d32ef9a841c2cf8ae6c0a9b1ac29ab4c,34b6bd4076e64cccf6f31244d5c157846da0c919,f662bca81d10a4763c0e0f74392216c88e06c69b,left,"-11,1","+13,1",a/lib/dialects/mysql2/index.js,b/lib/dialects/mysql2/index.js
a812bdf0b20a9cf000e5983d9fba29a3dd12a97b,c8232d11d32ef9a841c2cf8ae6c0a9b1ac29ab4c,34b6bd4076e64cccf6f31244d5c157846da0c919,f662bca81d10a4763c0e0f74392216c88e06c69b,right,"-7,7","+7,7",a/lib/dialects/mysql2/index.js,b/lib/dialects/mysql2/index.js
d7c27fc4a5400cff2ec518757d4ebd2956e65f67,6b85f1d66f8258f478415015f47c27068ec3c85d,ad94518380c1e1bb90dab16353d5ef28f637a9dc,d6978a0dff8e47c181b9eb716fb568d961e709c4,left,"-0,0","+49,2",a/docs/assets/behavior.js,b/docs/assets/behavior.js
f344411ce208cc5b4175b175b23f03890353c7db,6b85f1d66f8258f478415015f47c27068ec3c85d,ad94518380c1e1bb90dab16353d5ef28f637a9dc,d6978a0dff8e47c181b9eb716fb568d961e709c4,right,"-19,14","+19,10",a/docs/assets/behavior.js,b/docs/assets/behavior.js
