evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
4c589cc9604a8d277937e4d91801d2d60f070752,db2f9e7f08aacf01a29f078d2a51437fd0c6ae97,0de9513a78fc5bfbc4449ab851ad9e97e7d3e819,0eb5ad8e781307ba4f15788d5b0edc90c6c13147,knex.js,knex.js,build/knex.js,knex.js,"[1, 1]","[1, 1]",1189,41,True,False,INLINE
4c589cc9604a8d277937e4d91801d2d60f070752,db2f9e7f08aacf01a29f078d2a51437fd0c6ae97,0de9513a78fc5bfbc4449ab851ad9e97e7d3e819,0eb5ad8e781307ba4f15788d5b0edc90c6c13147,knex.js,knex.js,knex.js,knex.js,"[1, 1]","[1, 1]",83,13,True,False,INTERNAL_MOVE
4c589cc9604a8d277937e4d91801d2d60f070752,db2f9e7f08aacf01a29f078d2a51437fd0c6ae97,0de9513a78fc5bfbc4449ab851ad9e97e7d3e819,0eb5ad8e781307ba4f15788d5b0edc90c6c13147,knex.js,knex.js,knex.js,knex.js,"[1, 1]","[1, 1]",103,107,True,False,INTERNAL_MOVE
01c4a83d35dda836087e3a2e1a9e819e18f19359,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,knex.js,"[83, 95]","[93, 104]",47,55,True,False,RENAME
f3a59a867b932a87fef5e265ee87750cb6125187,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/schemainterface.js,"[95, 207]","[64, 137]",127,35,True,True,MOVE
f3a59a867b932a87fef5e265ee87750cb6125187,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/schemainterface.js,"[95, 207]","[64, 137]",108,16,True,True,MOVE
f3a59a867b932a87fef5e265ee87750cb6125187,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/schemainterface.js,"[95, 207]","[64, 137]",115,23,True,True,MOVE
f3a59a867b932a87fef5e265ee87750cb6125187,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/schemainterface.js,"[95, 207]","[64, 137]",102,10,True,True,MOVE
f3a59a867b932a87fef5e265ee87750cb6125187,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/schemainterface.js,"[95, 207]","[64, 137]",133,41,True,True,MOVE
f3a59a867b932a87fef5e265ee87750cb6125187,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/schemainterface.js,"[95, 207]","[64, 137]",121,29,True,True,MOVE
f3a59a867b932a87fef5e265ee87750cb6125187,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/transaction.js,"[95, 207]","[64, 137]",41,10,True,False,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/joinclause.js,"[603, 718]","[95, 209]",533,26,True,False,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/joinclause.js,"[603, 718]","[95, 209]",529,22,True,False,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",268,256,True,False,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",258,246,True,False,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",329,317,True,False,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",175,163,True,True,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",275,263,True,False,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",165,153,True,True,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",114,102,True,True,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",211,199,True,True,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",247,235,True,False,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",131,119,True,True,MOVE
5f31aedfe1cf819cc64a1a254cc283936b0885a0,86a1a24a1a2475afae0d2978f4779401386337b7,d98c0b1abc44b8090f426a3d62e0541a394142d8,3efa857e1734d3120ef536f4859404393cd27f70,knex.js,knex.js,knex.js,lib/builder.js,"[603, 718]","[95, 209]",380,368,True,False,MOVE
