evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
a4cc9603536d174846e5b2241c8666151e8e2485,caa2ec70987a78ef45903b5fdb930aadd5344fd0,a4cc9603536d174846e5b2241c8666151e8e2485,d84e5a7d8bcd7705b142654ab6b05dbae64addfe,left,"-11,1","+11,1",a/konva.js,b/konva.js
279eaac88ca8b668ea191338b4d894e075866c09,caa2ec70987a78ef45903b5fdb930aadd5344fd0,a4cc9603536d174846e5b2241c8666151e8e2485,d84e5a7d8bcd7705b142654ab6b05dbae64addfe,right,"-11,1","+11,1",a/konva.js,b/konva.js
a4cc9603536d174846e5b2241c8666151e8e2485,caa2ec70987a78ef45903b5fdb930aadd5344fd0,a4cc9603536d174846e5b2241c8666151e8e2485,d84e5a7d8bcd7705b142654ab6b05dbae64addfe,left,"-6,1","+6,1",a/konva.min.js,b/konva.min.js
279eaac88ca8b668ea191338b4d894e075866c09,caa2ec70987a78ef45903b5fdb930aadd5344fd0,a4cc9603536d174846e5b2241c8666151e8e2485,d84e5a7d8bcd7705b142654ab6b05dbae64addfe,right,"-6,1","+6,1",a/konva.min.js,b/konva.min.js
a4cc9603536d174846e5b2241c8666151e8e2485,caa2ec70987a78ef45903b5fdb930aadd5344fd0,a4cc9603536d174846e5b2241c8666151e8e2485,d84e5a7d8bcd7705b142654ab6b05dbae64addfe,left,"-12,1","+12,1",a/konva.min.js,b/konva.min.js
279eaac88ca8b668ea191338b4d894e075866c09,caa2ec70987a78ef45903b5fdb930aadd5344fd0,a4cc9603536d174846e5b2241c8666151e8e2485,d84e5a7d8bcd7705b142654ab6b05dbae64addfe,right,"-12,1","+12,1",a/konva.min.js,b/konva.min.js
099de8aefdea6e9ec4827442e25d989623071404,03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,left,"-8,4","+8,4",a/konva.js,b/konva.js
43c1fc8fa33e2ca8ba80035e4425754b44ba77ba,03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,right,"-8,4","+8,4",a/konva.js,b/konva.js
cd4eea3ce7cd03022fb8e915152acf1c877266e0,03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,right,"-8,4","+8,4",a/konva.js,b/konva.js
414f3385ae409bc7396d354f784949711638871f,03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,right,"-8,4","+8,4",a/konva.js,b/konva.js
099de8aefdea6e9ec4827442e25d989623071404,03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,left,"-79,1","+79,1",a/konva.js,b/konva.js
43c1fc8fa33e2ca8ba80035e4425754b44ba77ba,03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,right,"-79,1","+79,1",a/konva.js,b/konva.js
cd4eea3ce7cd03022fb8e915152acf1c877266e0,03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,right,"-79,1","+79,1",a/konva.js,b/konva.js
414f3385ae409bc7396d354f784949711638871f,03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,right,"-79,1","+79,1",a/konva.js,b/konva.js
6b9f73f280b87a7c856839d0d4e2fa7664e362a8,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-8,4","+8,4",a/konva.js,b/konva.js
b4902595e02e0ea9df54b0ef04a5d745d6aaf214,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-8,4","+8,4",a/konva.js,b/konva.js
a64a18131d0d0584501647dab4093f30ed9372a7,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-8,4","+8,4",a/konva.js,b/konva.js
1a23923aee303bec106f8db42a8c89683235c9bf,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-8,4","+8,4",a/konva.js,b/konva.js
b37286aaa5c386598520f3730644392a98334bfc,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-8,4","+8,4",a/konva.js,b/konva.js
63cba506727678f73723a1ca207ba725abb9e285,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-8,4","+8,4",a/konva.js,b/konva.js
e6282bf73a8627a790d177ed45e785edf1ad632a,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-8,4","+8,4",a/konva.js,b/konva.js
9645c5c063c9769892f4497fa7c661cf70e14ca0,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,right,"-8,4","+8,4",a/konva.js,b/konva.js
a64a18131d0d0584501647dab4093f30ed9372a7,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-78,1","+78,1",a/konva.js,b/konva.js
63cba506727678f73723a1ca207ba725abb9e285,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-78,1","+78,1",a/konva.js,b/konva.js
9645c5c063c9769892f4497fa7c661cf70e14ca0,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,right,"-78,1","+78,1",a/konva.js,b/konva.js
6b9f73f280b87a7c856839d0d4e2fa7664e362a8,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-6,1","+6,1",a/konva.min.js,b/konva.min.js
b4902595e02e0ea9df54b0ef04a5d745d6aaf214,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-6,1","+6,1",a/konva.min.js,b/konva.min.js
1a23923aee303bec106f8db42a8c89683235c9bf,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-6,1","+6,1",a/konva.min.js,b/konva.min.js
b37286aaa5c386598520f3730644392a98334bfc,da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,left,"-6,1","+6,1",a/konva.min.js,b/konva.min.js
