evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
eb16e291975c4a31e822438c2544ab675568769f,0300a89a3a9102695e51b44a9681e96433de1702,0800f1e31ab1848920b1733daa255930b7e9941e,57402f0ca8ecc3bf9cf2762cdcc876d13547007c,src/Util.js,src/Util.js,src/Util.js,src/Util.js,"[185, 185]","[185, 185]",74,69,True,False,INTERNAL_MOVE
eb16e291975c4a31e822438c2544ab675568769f,0300a89a3a9102695e51b44a9681e96433de1702,0800f1e31ab1848920b1733daa255930b7e9941e,57402f0ca8ecc3bf9cf2762cdcc876d13547007c,src/Util.js,src/Util.js,src/Util.js,src/Util.js,"[185, 185]","[185, 185]",67,68,True,False,EXTRACT
ee5f4c3e3bbf7762cfabbd862457341f33571954,8b7b3db9efd42a55b1336b90e090b4ab1b1ed782,de677846b412b95c4ff2ad4fe5d6e4c0c5a9e96e,6e68a200e2c7cb8ecba8b1507a407cf67412d28b,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,src/Context.js,"[42, 54]","[42, 53]",220,238,True,False,MOVE_RENAME
9324c366eadb8d194b18dd8b0553323affdf74b2,8b7b3db9efd42a55b1336b90e090b4ab1b1ed782,de677846b412b95c4ff2ad4fe5d6e4c0c5a9e96e,6e68a200e2c7cb8ecba8b1507a407cf67412d28b,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,"[42, 42]","[42, 51]",35,35,True,False,RENAME
ee5f4c3e3bbf7762cfabbd862457341f33571954,8b7b3db9efd42a55b1336b90e090b4ab1b1ed782,de677846b412b95c4ff2ad4fe5d6e4c0c5a9e96e,6e68a200e2c7cb8ecba8b1507a407cf67412d28b,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,src/Context.js,"[83, 91]","[82, 90]",220,238,True,False,MOVE_RENAME
ee5f4c3e3bbf7762cfabbd862457341f33571954,8b7b3db9efd42a55b1336b90e090b4ab1b1ed782,de677846b412b95c4ff2ad4fe5d6e4c0c5a9e96e,6e68a200e2c7cb8ecba8b1507a407cf67412d28b,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,src/Context.js,"[94, 98]","[93, 96]",220,238,True,False,MOVE_RENAME
9324c366eadb8d194b18dd8b0553323affdf74b2,8b7b3db9efd42a55b1336b90e090b4ab1b1ed782,de677846b412b95c4ff2ad4fe5d6e4c0c5a9e96e,6e68a200e2c7cb8ecba8b1507a407cf67412d28b,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,"[95, 99]","[95, 99]",35,35,True,False,RENAME
9324c366eadb8d194b18dd8b0553323affdf74b2,8b7b3db9efd42a55b1336b90e090b4ab1b1ed782,de677846b412b95c4ff2ad4fe5d6e4c0c5a9e96e,6e68a200e2c7cb8ecba8b1507a407cf67412d28b,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,"[123, 131]","[123, 131]",35,35,True,False,RENAME
ee5f4c3e3bbf7762cfabbd862457341f33571954,8b7b3db9efd42a55b1336b90e090b4ab1b1ed782,de677846b412b95c4ff2ad4fe5d6e4c0c5a9e96e,6e68a200e2c7cb8ecba8b1507a407cf67412d28b,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,src/Context.js,"[137, 138]","[135, 135]",220,238,True,False,MOVE_RENAME
3ba89d36e7f642dbf733af88ce40f46f336651cf,f144c672643063cefaa003e92818429cb2d34d0f,3ba89d36e7f642dbf733af88ce40f46f336651cf,938b37a07c83616a56c5673f9dc31425e2426a35,src/Shape.js,src/Shape.js,src/Shape.js,src/Context.js,"[217, 222]","[218, 223]",210,26,True,False,EXTRACT_MOVE
9324c366eadb8d194b18dd8b0553323affdf74b2,1d10a0377268938fff9b1cdb6414b648b6b14c61,bf39df54b00ec4210015d2164a5713fcc2131901,88d4e768d0a9df8e58827ccbedaf2917b827e7cd,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,src/shapes/Image.js,"[123, 131]","[123, 131]",35,35,True,False,RENAME
0073c4cbb96c4d761ee64168448abfac6ce5d93f,809da97a4577707cf6a8e83090b049a2777d9c13,fb2d81681766a9bf07efb261ceee98018abd302a,c58db11a2a2af977a1b0d2c558835e7e258e536b,src/shapes/Text.js,src/shapes/Text.js,src/shapes/Text.js,src/shapes/Text.js,"[174, 179]","[174, 179]",80,188,True,False,EXTRACT
0073c4cbb96c4d761ee64168448abfac6ce5d93f,809da97a4577707cf6a8e83090b049a2777d9c13,fb2d81681766a9bf07efb261ceee98018abd302a,c58db11a2a2af977a1b0d2c558835e7e258e536b,src/shapes/Text.js,src/shapes/Text.js,src/shapes/Text.js,src/shapes/Text.js,"[174, 179]","[174, 179]",173,188,True,False,EXTRACT
