merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,0,0
merge,left,right,[],[],0,0,0,0,0
390bd3e10b0c9cb6e7ae8d3ae3246c700a0aebd3,28bdec91538679222f4af688a946fb7198f3fc5f,25754dbec967d9896f62b9733f5e0aa817724e60,[],['src/shapes/TextPath.ts'],0,1,0,0,0
c759ec43be98c027b93bbf65ab0e45e0adbb5121,0fea26b1c1369cfce60b0a6e5d5e187ca60dac31,07df75606631b1213a8283fac77775357c6b6ede,[],"['src/shapes/TextPath.ts', 'test/unit/Text-test.ts']",0,2,0,0,0
831288e4c35f41d5f55a24671edcc928dfa4a6b2,d312311f20b59a1367b3968d8aade82bb0c14587,4552c5b3f7361c9410ef5b46c001302d6f0846b5,[],['src/Shape.ts'],0,1,0,0,0
caa2ec70987a78ef45903b5fdb930aadd5344fd0,a4cc9603536d174846e5b2241c8666151e8e2485,d84e5a7d8bcd7705b142654ab6b05dbae64addfe,"['konva.js', 'konva.min.js']",[],2,3,3,0,0
f4ce027b1dddf9f73579ed0374b6fc555231d6f4,dbe88946edfc61b9c7a0d992e6552cd238feec04,600bb7268ed235e7ad1c966c99d7af72b8f80d6f,[],['package.json'],0,1,0,0,0
3066765d79a9952deed7ec12a655c7e62e3c59ee,1c6bc48c832cd3ff2bb737b4b17810d4d9af7fe5,235530c543fd1e94c53d057b5ae963c0b10befcf,[],['src/shapes/Arrow.ts'],0,1,0,0,0
03141829927f93386588c7ecdf10956a81cf92c4,099de8aefdea6e9ec4827442e25d989623071404,63828d2884bb3a1fd4cbda2e68ff93d72930c79e,['konva.js'],[],1,2,2,0,0
da11cf8b01f3cfe4c5b1452853c89cece2d5885f,6b9f73f280b87a7c856839d0d4e2fa7664e362a8,9645c5c063c9769892f4497fa7c661cf70e14ca0,"['konva.js', 'konva.min.js']",['src/Node.ts'],2,5,4,0,0
7b22a7ae50b0387068d4fd5650b572d462f40e24,40cf5a590985f83df83160b85df854787e64d711,6b745892e5e6b20e089da2a6fe00aedfa0ae666e,[],['src/Node.ts'],0,1,0,0,0
005784103266ba30a4188007b5fe889584ff1de4,d49ee3dff1d6198385fbbed4e1d4e9feecba1751,81b71d76a47dc997dd02a809f730d875c636dc36,[],['src/index.ts'],0,1,0,0,0
b518ae0dac33c107a3029f4ba08faa9ab6c283dd,52cdd66dfe8db411b4d16bf5f52cfed81924c689,d20d4ed98e7363bece876490422211415e7cfefd,['src/shapes/Transformer.js'],[],1,1,1,0,0
28df587b279398bddc3832abf1afea0107c00d96,a2c5920d4d418acca0ed875623832e67a5120838,04c921c13c6a5e99c0bf2623c4a94e94d1166b42,[],['konva.d.ts'],0,2,0,0,0
0fe91fd1a142af17c64fbdd760b168c4ca7e05a4,289a16d298945a17ceb418bc5d0ebd212f6115e9,96837bd349c24e5691cda4ec428d441bdb04cee6,['src/shapes/Transformer.js'],[],1,2,2,0,0
a91e00fc05ea1a68099bba352fffa8e362811260,4b70236652b1a473b8dfd54ab6d93fcdcd20ee57,eb1ff90d58eed28aa63756a0c79ce3d462d9ebc3,['konva.min.js'],[],1,2,2,0,0
2c17492ef2e0c78c265aaf189da44dc2d6088d3b,58d3731f768fa4867e70a7962a399497102b15ff,ba14f47e0ea9084b328c242c2dce2caa89746713,[],['konva.d.ts'],0,1,0,0,0
fd4b1aab453747a0838d2eed4edfbf798eb4fe6b,1787d0f73cf7ebf74c0c3aab3487cea6bde04d20,587efc86c0c547fc46981c86f93c92952945da81,['konva.min.js'],[],1,1,1,0,0
587efc86c0c547fc46981c86f93c92952945da81,30e5d2917363ed904b3a907d745754bbdb1daac6,8a45c1b4f755c05db07898f14c405db5254c67ce,['konva.min.js'],[],1,2,2,0,0
09f2b076ebe34a3454763a881334929740f9e46a,4fcb2f9f7bb481070cddfb0c622a8ebda81bac74,1741509cf7ba5e922c22498176517ed181acd39a,['konva.js'],[],1,1,1,0,0
6c9c25b98ffec22d89de1efb8150677c626df684,aa5d72123eea207eeed4a98a07eb59f54252d195,8397de488a0a33c65eb12f4233f74fc4280ed2a8,"['konva.js', 'konva.min.js', 'src/Context.js', 'src/Node.js', 'src/Shape.js', 'src/Stage.js']","['CHANGELOG.md', 'README.md', 'konva.d.ts', 'package.json', 'test/functional/TouchEvents-test.js']",6,57,36,0,0
624a55f2878496840683c152a1c4c3a7ad757465,ce8d8122a510018c06ba0ada3584f1407e14f060,b40652eae3280d35874c1632485620e485fe9ae9,['konva.js'],[],1,2,2,0,0
43fa56a3814d618aba1c7f14cdfddc5e71ffa53a,fa7c6e0c785a1f3ffb38e0ef93f77f3c90a49acb,badfabf33717d9d64f3f255211c62b1d7cb77c36,['konva.min.js'],[],1,2,2,0,0
c0a3057adb5eed785b98fbea455a4cc2efa28a17,3c1e2804deb4785ec64dadf474bf3a110b3989f3,87e8c5206de47f9b7fe6a03901e5ada39079bf6e,['konva.js'],[],1,1,1,0,0
5baa5157fd3dd821ac67c840eb779b1195e574b1,5c6f654cb3285c890cd2e87c7a0977e3d355eedc,d364e093ebbc51c02458d5be4932d1bfc60647b2,"['konva.js', 'konva.min.js']",[],2,3,3,0,0
3b94673d73d99acea2c001139c72b1eb507543f8,f9a08a6acc220c520ebf3980477288dfafed678f,0dad2412a1b4b429c0bb8ea4a0114c24578240ce,['src/Stage.js'],['test/unit/Node-test.js'],1,4,1,0,0
