evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,6bd327b3f48eaa627af088e1714f6553249c1334,723b410db0f2cc8986876251081b487b930372f3,a038121676ac06a905324697a8fc5c41f30070fd,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,"[10, 37]","[11, 19]",12,13,True,True,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,6bd327b3f48eaa627af088e1714f6553249c1334,723b410db0f2cc8986876251081b487b930372f3,a038121676ac06a905324697a8fc5c41f30070fd,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,"[10, 37]","[11, 19]",32,32,True,True,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,6bd327b3f48eaa627af088e1714f6553249c1334,723b410db0f2cc8986876251081b487b930372f3,a038121676ac06a905324697a8fc5c41f30070fd,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,"[10, 37]","[10, 37]",32,32,True,True,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,6bd327b3f48eaa627af088e1714f6553249c1334,723b410db0f2cc8986876251081b487b930372f3,a038121676ac06a905324697a8fc5c41f30070fd,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,"[10, 37]","[10, 37]",12,12,True,True,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,6bd327b3f48eaa627af088e1714f6553249c1334,723b410db0f2cc8986876251081b487b930372f3,a038121676ac06a905324697a8fc5c41f30070fd,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,"[10, 37]","[10, 37]",22,22,True,True,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,6bd327b3f48eaa627af088e1714f6553249c1334,723b410db0f2cc8986876251081b487b930372f3,a038121676ac06a905324697a8fc5c41f30070fd,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,"[10, 37]","[10, 37]",3,3,True,False,INTERNAL_MOVE
a038121676ac06a905324697a8fc5c41f30070fd,6bd327b3f48eaa627af088e1714f6553249c1334,723b410db0f2cc8986876251081b487b930372f3,a038121676ac06a905324697a8fc5c41f30070fd,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,lib/less/tree/quoted.js,"[10, 59]","[10, 63]",28,27,True,True,RENAME
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,723b410db0f2cc8986876251081b487b930372f3,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,518887e9ccf8afa7ce8ef88831a118ce2f7b2ecb,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,"[235, 259]","[242, 264]",202,210,True,False,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,723b410db0f2cc8986876251081b487b930372f3,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,518887e9ccf8afa7ce8ef88831a118ce2f7b2ecb,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,"[235, 259]","[242, 264]",241,248,True,True,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,723b410db0f2cc8986876251081b487b930372f3,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,518887e9ccf8afa7ce8ef88831a118ce2f7b2ecb,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,"[235, 259]","[242, 264]",221,229,True,False,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,723b410db0f2cc8986876251081b487b930372f3,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,518887e9ccf8afa7ce8ef88831a118ce2f7b2ecb,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,lib/less/tree/ruleset.js,"[235, 259]","[242, 264]",558,557,True,False,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,"[10, 18]","[10, 13]",29,29,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,"[9, 17]","[9, 17]",3,3,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,"[9, 17]","[9, 17]",11,11,True,True,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,"[9, 17]","[9, 17]",14,14,True,True,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,lib/less/tree/anonymous.js,"[9, 17]","[9, 17]",28,28,True,False,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/color.js,lib/less/tree/color.js,lib/less/tree/color.js,lib/less/tree/color.js,"[66, 66]","[35, 40]",188,31,True,False,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/color.js,lib/less/tree/color.js,lib/less/tree/color.js,lib/less/tree/color.js,"[66, 66]","[35, 40]",166,175,True,False,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/color.js,lib/less/tree/color.js,lib/less/tree/color.js,lib/less/tree/color.js,"[148, 156]","[86, 87]",188,31,True,False,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/color.js,lib/less/tree/color.js,lib/less/tree/color.js,lib/less/tree/color.js,"[148, 156]","[86, 87]",166,175,True,False,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,"[10, 48]","[10, 45]",12,12,True,True,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,"[10, 48]","[10, 45]",16,16,True,True,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,"[10, 49]","[10, 48]",3,3,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,"[10, 49]","[10, 48]",16,16,True,True,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,lib/less/tree/condition.js,"[10, 49]","[10, 48]",12,12,True,True,INTERNAL_MOVE
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,"[87, 93]","[52, 71]",124,123,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/unit.js,"[87, 93]","[87, 93]",190,3,True,False,MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,"[87, 93]","[87, 93]",124,124,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,"[87, 93]","[87, 93]",57,57,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/unit.js,"[87, 93]","[87, 93]",198,11,True,False,MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/unit.js,"[87, 93]","[87, 93]",226,39,True,False,MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,"[87, 93]","[87, 93]",6,6,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,"[87, 93]","[87, 93]",120,120,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/unit.js,"[87, 93]","[87, 93]",254,67,True,False,MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,"[87, 93]","[87, 93]",14,14,True,False,INTERNAL_MOVE
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,cf0ac697678d49e2d898bb9d5f9f1a92f804cee9,e31442cd634aed85bf003e5107e8c151f09fcb97,c4e2514905d833f28a8fce23675aebbcb56ed2e5,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,lib/less/tree/dimension.js,"[87, 93]","[87, 93]",20,20,True,False,INTERNAL_MOVE
