evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
e1f442be90fec7b4426257f06fd29afcab7af9de,07e7bca9ebf17d76d22114e466c6166472ea4c49,e1f442be90fec7b4426257f06fd29afcab7af9de,5271c2e08f5ac96d699f4f0c1b3fea891b34b79c,left,"-5,38","+5,38",a/lodash.min.js,b/lodash.min.js
c5d579e0e3311bd571f6a595d77c0148e37b908b,07e7bca9ebf17d76d22114e466c6166472ea4c49,e1f442be90fec7b4426257f06fd29afcab7af9de,5271c2e08f5ac96d699f4f0c1b3fea891b34b79c,left,"-5,38","+5,38",a/lodash.min.js,b/lodash.min.js
5271c2e08f5ac96d699f4f0c1b3fea891b34b79c,07e7bca9ebf17d76d22114e466c6166472ea4c49,e1f442be90fec7b4426257f06fd29afcab7af9de,5271c2e08f5ac96d699f4f0c1b3fea891b34b79c,right,"-5,38","+5,38",a/lodash.min.js,b/lodash.min.js
c5d579e0e3311bd571f6a595d77c0148e37b908b,07e7bca9ebf17d76d22114e466c6166472ea4c49,e1f442be90fec7b4426257f06fd29afcab7af9de,5271c2e08f5ac96d699f4f0c1b3fea891b34b79c,left,"-5,1","+5,1",a/vendor/underscore/underscore-min.js,b/vendor/underscore/underscore-min.js
5271c2e08f5ac96d699f4f0c1b3fea891b34b79c,07e7bca9ebf17d76d22114e466c6166472ea4c49,e1f442be90fec7b4426257f06fd29afcab7af9de,5271c2e08f5ac96d699f4f0c1b3fea891b34b79c,right,"-5,1","+5,1",a/vendor/underscore/underscore-min.js,b/vendor/underscore/underscore-min.js
bd4bff3b6b9ad88c915e50e467de786caef66079,e9f752bd67da4bd04a3917f35b102ee0912e71a9,b57fe466cef58b62eef5abb3b14d5bce11655e3a,4b31921eb48e24dfaf1b9351517789f765b57ffa,left,"-5,36","+5,36",a/lodash.min.js,b/lodash.min.js
4b31921eb48e24dfaf1b9351517789f765b57ffa,e9f752bd67da4bd04a3917f35b102ee0912e71a9,b57fe466cef58b62eef5abb3b14d5bce11655e3a,4b31921eb48e24dfaf1b9351517789f765b57ffa,right,"-5,36","+5,36",a/lodash.min.js,b/lodash.min.js
20630aeb47e3625a144c58fc1860879f3c46199b,9d4618a223fd328bed8c054e763c68a09566f53e,c88b80d2a09c40106d74845c539d9013178fa427,93636180dfd3870e6d116218b56d93b5d4375dd7,left,"-13,28","+13,28",a/lodash.min.js,b/lodash.min.js
4a99c2e928e74bdd6f13558d6b09c0907d7bc1be,9d4618a223fd328bed8c054e763c68a09566f53e,c88b80d2a09c40106d74845c539d9013178fa427,93636180dfd3870e6d116218b56d93b5d4375dd7,right,"-13,28","+13,28",a/lodash.min.js,b/lodash.min.js
ad4101bc99394adc02d588f6fa2ecb3bed6fe0c4,5e592fbf29124c0116a864e53500ce995835d5f6,ad4101bc99394adc02d588f6fa2ecb3bed6fe0c4,2d057d92cf8004aa6625af32f38355d37a739b3e,left,"-989,20","+1043,2",a/lodash.js,b/lodash.js
2c1ec5fe750eeae7535249675091e69529c8a0ee,5e592fbf29124c0116a864e53500ce995835d5f6,ad4101bc99394adc02d588f6fa2ecb3bed6fe0c4,2d057d92cf8004aa6625af32f38355d37a739b3e,right,"-989,20","+989,20",a/lodash.js,b/lodash.js
65d5d60bfa2878b7d30ef4e32c310fa0a87ba1d6,65ab040a7b21053b08fce1b551407c61649fbcbc,65d5d60bfa2878b7d30ef4e32c310fa0a87ba1d6,866be70a7a15b36155f5d1636e2e520538dd151e,left,"-918,1","+918,4",a/underscore.js,b/underscore.js
7c9516321cfaa6dafe23c43db0886a8c7ad58f69,65ab040a7b21053b08fce1b551407c61649fbcbc,65d5d60bfa2878b7d30ef4e32c310fa0a87ba1d6,866be70a7a15b36155f5d1636e2e520538dd151e,right,"-918,1","+918,1",a/underscore.js,b/underscore.js
5e7d75d6f63c94b84007f67ea34889616065b396,65ab040a7b21053b08fce1b551407c61649fbcbc,65d5d60bfa2878b7d30ef4e32c310fa0a87ba1d6,866be70a7a15b36155f5d1636e2e520538dd151e,right,"-918,1","+918,1",a/underscore.js,b/underscore.js
