evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
e35309ba27e32bb20d9d888ca31221cbcffc0844,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/models/model.js,lib/models/model.js,lib/models/model.js,lib/connectors/remote.js,"[6, 7]","[6, 9]",318,79,True,False,MOVE
7316048afc1164ed91a004a8f4f58f3603df456f,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/registry.js,lib/registry.js,"[182, 182]","[195, 198]",181,181,True,False,EXTRACT
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",333,220,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",178,28,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",249,102,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",155,195,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",364,172,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",408,273,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",443,309,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",422,287,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",275,131,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",354,159,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",238,91,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",399,263,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[160, 160]",382,244,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",333,220,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",178,28,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",249,102,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",155,195,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",364,172,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",408,273,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",443,309,True,True,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",422,287,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",275,131,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",354,159,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",238,91,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",399,263,True,False,MOVE
eac231df99943c31bd1e77697c2941ebe1bdd5a6,79f504a3c7819c3c583cf1120bf08e0a91854025,e18ee116c115f65b90c0032fac87c033fb7c48d4,9125218eab0c1544611ca7a6acba95297ebbac7a,lib/registry.js,lib/registry.js,lib/loopback.js,lib/registry.js,"[0, -1]","[305, 318]",382,244,True,False,MOVE
f8444593117ed956056afe7985423ec72df3ba39,d21669b844f37d775559020d86338e66f10ee514,a9c35fa007128d4bae3892a350043ea8d225e9ea,828aec9481a5e3f4bdb4e8940c80b5c06b366945,lib/application.js,lib/application.js,lib/application.js,lib/loopback.js,"[89, 92]","[97, 97]",586,237,True,False,MOVE
f8444593117ed956056afe7985423ec72df3ba39,d21669b844f37d775559020d86338e66f10ee514,a9c35fa007128d4bae3892a350043ea8d225e9ea,828aec9481a5e3f4bdb4e8940c80b5c06b366945,lib/application.js,lib/application.js,lib/application.js,lib/application.js,"[89, 92]","[97, 97]",107,168,True,False,EXTRACT
fc0fad4a9fbbff2b372f38a0302fcc457272b46c,d21669b844f37d775559020d86338e66f10ee514,a9c35fa007128d4bae3892a350043ea8d225e9ea,828aec9481a5e3f4bdb4e8940c80b5c06b366945,lib/application.js,lib/application.js,lib/application.js,lib/application.js,"[89, 92]","[97, 97]",107,166,True,False,EXTRACT
fc0fad4a9fbbff2b372f38a0302fcc457272b46c,d21669b844f37d775559020d86338e66f10ee514,a9c35fa007128d4bae3892a350043ea8d225e9ea,828aec9481a5e3f4bdb4e8940c80b5c06b366945,lib/application.js,lib/application.js,lib/application.js,lib/loopback.js,"[89, 92]","[97, 97]",590,223,True,False,MOVE
1b1106099187c0b23d622410feb4823b01729142,d21669b844f37d775559020d86338e66f10ee514,a9c35fa007128d4bae3892a350043ea8d225e9ea,828aec9481a5e3f4bdb4e8940c80b5c06b366945,lib/application.js,lib/application.js,lib/application.js,lib/application.js,"[117, 161]","[117, 162]",695,600,True,False,INLINE
