merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
6faf9b045459b252cce6d47b5271aaa179026eab,0ebf7c06abfa16771a1e1126bc037f8836b88468,d405708fbd41658313cb52b5ab28bd957a057a88,[],['CHANGELOG.md'],0,1,0
e2d84dbc7b4ee9122ba095a8cf06552afe61b6e5,750323c94b6991abe52fa747e29c52296ac21d6d,1467d60a6fb624af6b66ef493ee1be47db8fa86a,[],['jade/page-contents/forms_content.html'],0,1,0
cb79b95279a9a6692e4d2cd9732c3e758910e72c,f715f1dbd08ab71f112967b78708c6269e634ffb,477c69301e4897ef4e38d3e9500c9c9b0b9fa450,[],['v1-upgrade-guide.md'],0,1,0
94d50d8d385a4807d49aa378d7190b9020c47f65,dc88b7d6c13cf0ee6c35e9f3c89f767a7dd07f82,7018782a00d819ec3dca3a9c2a253aadffcd2139,[],['test/html/tabs.html'],0,1,0
dc88b7d6c13cf0ee6c35e9f3c89f767a7dd07f82,5f5716902552dd8cdbb6c832914622d8eab2f2ec,f4917aad26fb0a2531e9bc3266cf40dfb47cb0ea,['js/global.js'],[],1,1,1
21d592b8086f2417b94a33d92e1281d8dc27e095,c0f3b6aa882354488a6fa4fec62cb543a4986bd1,9fdb496dc02e462f7e944d7bf17912d358a48c09,['Gruntfile.js'],[],1,1,1
6733789f0df6bb0f62a0ee741641de33752b0bbf,fc3c586d6070b01c8ce55f0f280c098bd865061a,33a7a95b5ea93c68ed8746d7e36d02e012a133ae,[],['sass/components/forms/_select.scss'],0,1,0
e6576cc6308efd301d2de57279173bb89332f5bb,a9145dc6d9477e78c0d8bfb0da58c7d0d9408b06,ddd38321442b89b7979a87b510d9f04ec96943d0,[],['package.json'],0,2,0
e2d9710672e120f72134704e4fb33f0bf5538af7,8bebcb82fbb739a745d531af7914dc4affcbf49d,e30e8c70b33f4657687a2fbca3b17f732f9a839c,['tests/spec/tabs/tabsSpec.js'],['package.json'],1,4,1
8a01666817bd6f6f69b7a5b08b1a3f1d1677f1ee,04b4e6010722fbb0c8e56f095864637506e9bc68,f9b9c3ce3fe93e0e30a12d09353baf1c2ee2d06c,[],[],0,0,0
1c9381e9cad1e8bf868913282c3b73d736eb6dfc,138be0b945cc8e1ee24d76ab6c1240c3f3628565,f97bf0b5e4061b10c5e6a9624de97f138583c003,['bin/materialize.js'],[],1,1,1
0eafb14c5f3a6c78efd8ff4a3039f30f7b471881,8dfe0c3e1fb1184f852279ad5978074f47c68440,9a861c4ab9672b318418a479d3ad5ce3791d3197,[],['jade/page-contents/helpers_content.html'],0,1,0
6c2c5127bbd27fe0d32e514114a6e64a0c8d0db9,76bf467ee6f481bf144a0865a81ec5db5ded2a76,817fd13f40193742ad3648a137b4b43d0976e324,"['bin/materialize.js', 'js/carousel.js', 'js/tabs.js']",[],3,3,3
b14234a5bfa98fa573f382e7e8042369a6fb8fc5,380b232c1536f48fc93b7486883eb21fa5a4929f,b6b8a7aae4547b67c0ff447e84e8ce51058d0d19,['js/tooltip.js'],[],1,4,4
a9a26352e5523019be493a857411f0bcfdbf3c95,d7c232970d30d6907d7fd2829586b6d6d252f1a8,0d50a51c472c291b3dce4e83d9411cb4f157af21,"['bin/materialize.js', 'js/tabs.js']",[],2,2,2
f9b9c3ce3fe93e0e30a12d09353baf1c2ee2d06c,52eb26b649025b0f3be763b043dd4cb67cc00f1d,2015092e6d1b41e8c9dae516f1dd66f669458097,['js/sideNav.js'],['side-nav.html'],1,3,2
5dab6f021e22456d55753f6d9b6aabbafd6d6383,0e76801b3c1d0c433ecdceb453a7e68d343b552a,63d7e8fd7706a8f7d49f429f2ff61ffb1b3d28f3,['bin/materialize.js'],['css/ghpages-materialize.css'],1,3,1
bf0785f928a90d93a8ea0f3ba6641def68a46b45,8bb37869cd1e8329e6265a71c8015c223d68358b,8f2aff0e4fbf238fead43ea143035b8362baad48,['bin/materialize.js'],['css/ghpages-materialize.css'],1,2,1
45c0ed7ce4ba5541e3c515c7b43c119df19faef6,21710563cba2c9f846bdeaf002fdda0ffb60b24f,d43747988b10a0dc91619b72cbdcf4fae6536d14,['bin/materialize.js'],[],1,1,1
52eb26b649025b0f3be763b043dd4cb67cc00f1d,0d8a9a5efb1a5bc12030e2569bbc6e5c8daaff27,168ac8812cbc9367318f5b043bc5defb404ddc75,['js/sideNav.js'],[],1,1,1
a2a29db7470f4eedc804fd623d4e00377fd2cfcd,e3c2c890222c241e7ee1acecdb870a899e615e9d,0254e51af1662c97a460d54648c1545f9656aa38,['bin/materialize.js'],[],1,1,1
f1f7daa0c1673743b1c0a61efd6dc33cc44ea687,6a9bc1971a81d58a5b2263b78160db4d202c1ad9,3648f74542e41c3b3be4596870b7485f6ebdf176,['bin/materialize.js'],"['bin/materialize.css', 'css/ghpages-materialize.css']",1,4,1
f4d02f545676cbaf2dcddc7c5e5d18f223d7248f,17d59100c517ec324e186e8b207dc5815d34229b,9eb5e8bbeaf0d8f1a246ec013e00e393883cba13,['bin/materialize.js'],['css/ghpages-materialize.css'],1,2,1
b03030ed5c5ea2018424e2b6a73084f65e8ec63d,a38b5a85c81f40881af9e22223a2423fa2716c39,0b4488491fcd1ddecb8d65521a6ebb333e857fd8,"['bin/materialize.js', 'js/forms.js']",['sass/components/forms/_select.scss'],2,5,4
765a4c778b269d93fc4d9e7b93fc4aeb865eace2,11dc9f7a96e00f0a0bdeab2c62584a85e3f3bc57,34ee396733fbb876dd485420313c83b1666873b3,[],['sass/components/_buttons.scss'],0,1,0
b3a3975cfe49043a3664d942c61a8940dade5533,0e8955bd9a4d9a1bc5cac7badec5c77d4457998b,049f0b1245d69eec30bc00dde8d578a23ca353d7,['bin/materialize.js'],[],1,1,1
84ef4a5da86fb39367dbd774c3edcde5c5ef803e,84809c463fd69690bb6bfc37c9326955351c8279,7b0b013351f9d6c9fee7ac4fb73ab7bddb42aa44,['Gruntfile.js'],"['bin/materialize.css', 'css/ghpages-materialize.css', 'package.json']",1,111,1
4c212aebd56546c1c691bb4bd487005b747327ad,7bbdfc55379d7367cc0efbd7b1b9943cf2b68436,67c93cff7d0e0d47c2fabcd89f2888906a73c61b,['bin/materialize.js'],[],1,1,1
fce4b286c4d64c5fd739fcb06982bc9d73d81018,6f83b88e3dca911aada5e6e1bfe43aac3f0519e6,26523ae12764a0fca2d8535ae4045031499085b2,['tests/spec/collapsible/collapsibleSpec.js'],[],1,1,1
35aebc50edbfe42588f1726bf2d250e2c3aa8150,e8ea639e2ef4cd4949d81becd0391039a65087a8,d739c5880893070d2dc28f710fd1a649e51de309,['bin/materialize.js'],[],1,1,1
15059edbbb89710fb7a1e17ac77d65160d54b1d2,326ac3cefd95df28187b237b2b8c47b63d0754a7,65e9cd7774e077b303425ae8e49c845398a510b7,['bin/materialize.js'],[],1,1,1
cccb8fcebf734834283d4115f2d71d4e10f57d5f,3393e1cd14998293bd71bd2f63931ad9c1cdfc6d,c9d679c4dc969f33c62c6a1d9c7dea864ed6981e,['bin/materialize.js'],"['jade/showcase/showcase_content.html', 'sass/components/_typography.scss', 'showcase.html']",1,11,1
82341fa62689ddf3df6e76d4d5dcbcdd0f627fe6,30b2e1d525c5c4a721c9c84f2e33524831331e9a,da6e8aa1232e900e6b2737987bffa51e31c86dcd,[],['package.json'],0,1,0
3d4c11105242487bfb046bedc70d90a2eacbae6b,550dc8adb47505c719eaa85f2dad4f6f50cf5997,2e6aadbf1cc3305f2445aa014311f3b6869295c2,['bin/materialize.js'],[],1,1,1
a3250582085c61fc5f9cebee962459015cd5c205,2283b7cee20f0370faf60085fbdf9adb8eb59f9d,be71d5d8834cef844700f1a331191f32688c5a14,[],['sass/components/_typography.scss'],0,1,0
ba522cad490441efc4c8ee72c415d5720b3479eb,2ca0980f8eb60c0482b8185f0ecceaf3b77e6140,62678039e76b541e9eab538cd19ed339185f6613,[],['CHANGELOG.md'],0,1,0
8d9828ff394624bf7b56d594bef39ebcde766e3f,d30d9b4f173e44b9c9bb2b811bb3da447ea63989,deaa113c66636e77f0c0333b710aa01dec54a280,['bin/materialize.js'],[],1,1,1
51c8ca1f406ba83139194729875501147e869f45,05b289348b3819d4752c4539d4e31975fe4bfb67,1d91a8230d3496d04e30e6c189fa32e8c078e5d8,['js/leanModal.js'],['sass/components/_modal.scss'],1,4,3
1befb5508d08dbd7129df07e9b2877807059f17f,cc87e2fc2a21634e6f29feffd74e10c7b0015241,7b75767670c122cc764b49d47eeda47c6fb9f999,['Gruntfile.js'],['package.json'],1,3,2
b0a51c10360d1ebbe03979f2e6a2a00151291574,9f85b2d1782b677dd5df01640e86f8e68aec70bd,c6fccc264286f1256894ea4accef577077492ec2,[],['sass/components/_typography.scss'],0,2,0
0e924046c558538544f255e8375ff267963d7d62,278059902760d736bbfc7262299a347c82dd5120,c1dd2c86e4f354b70bf0031fbe51df8ee555d7f1,['bin/materialize.js'],[],1,1,1
ab8f77016d7c102b765c0ff8e4134d406c193f16,713587836e0d86ad8a0aa5b243345f20042a10ae,f926142fce9acb4f25999ce02d57486ff1198148,['bin/materialize.js'],[],1,1,1
defbabdd6868a18834ba188a86eee43da19a4a72,9ce6b3bb77ffecc224ca396a0d48f34b5db91978,f0ef3efb4fdc0ae5c4e709126ecdaa9789792901,"['bin/materialize.js', 'js/collapsible.js']",[],2,2,2
6ffdfe6f19c6baee8b4901254535005f5819fbcf,3f3a19f9e0771729f91be4a25ea4f4764a05066f,90afeb0070d7270efe72f3edfbca712e7abec156,['bin/materialize.js'],[],1,1,1
5b5ba8627cdb7670924e871e15c1e85dfa2652cb,82d4853648e943ebc2f57ce9824134541282b567,971fab931a4e78bebecdcd0c35277db3906159fa,['bin/materialize.js'],[],1,1,1
82d4853648e943ebc2f57ce9824134541282b567,efb070131d50cc63bde55f2e344634c435ecb49c,ca3645c6dd79639e7c588517c41e66aa02d3fd54,['bin/materialize.js'],[],1,1,1
ca3645c6dd79639e7c588517c41e66aa02d3fd54,f6da25d0d03576671fd701262754b5318e81b525,c3788820595633e70b0e0449960c1cc91604263e,['bin/materialize.js'],[],1,1,1
f6da25d0d03576671fd701262754b5318e81b525,32ecd542646a6f7346f7e16ede052ab4863c63eb,ed264695d03524c78056cffbf8be0a41c36a019b,"['Gruntfile.js', 'bin/materialize.js']",[],2,3,3
a80d7ba1322d02af10b0c9f5cb05c87db01fe9ca,62e45638df9ac352c23cf4989b5a9834aa925140,49a294641bfe00d3eb657a2debee9097625b0dd3,"['bin/materialize.js', 'js/sideNav.js']",[],2,2,2
62e45638df9ac352c23cf4989b5a9834aa925140,4b1c144347b635e0103be039f133afc1fd53415a,552b41c8c8162560b1552b82a0919299e94d3801,[],['templates/starter-template/index.html'],0,1,0
15478d02ac729ea6b9e2265ced4602cc6c8acaa7,c5e00fea093f3252d223d1ddf6f244ef2a28e0b9,b7e93314432854ae1936343812a82be53d81840a,"['bin/materialize.js', 'js/animation.js']",[],2,2,2
b7e93314432854ae1936343812a82be53d81840a,abce047f07ef16fe4803ed7939da7de0dfbcff93,849f957f59bf045640546e5ef3c0c75d1ae2a61a,['bin/materialize.js'],[],1,1,1
b6b57b1fc715ba5c9454d1f099a208761a3c7da9,7fba6f179bbd1f2d2457cf50530cf0aa4c268fa9,5475e205a7339bd46c6028b5d5190b3a1bf596e0,['bin/materialize.js'],[],1,1,1
761cb7b2c54b5fc91de951d4cbe39114f3130c7b,5324ce6a03a66fc02aa417e0094033eb7f993a77,d90349c04337cd588f9acd5ebd827f9e1a953d99,['bin/materialize.js'],[],1,1,1
