evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
0adc6a6112bca1d6461eb85ae7603b7fa7b3287f,f036d58ec365f07965aaffa9aab0991edfc0fa2a,2bf753a769ed816dab2a2ea81860ff1d02934134,bcbf68b7e1f514665170518b7dbe9c36331a7b30,left,"-312,34","+312,2",a/cypress/integration/rendering/gantt.spec.js,b/cypress/integration/rendering/gantt.spec.js
7f4368415d833f5d7761b56e532c18342dff5799,f036d58ec365f07965aaffa9aab0991edfc0fa2a,2bf753a769ed816dab2a2ea81860ff1d02934134,bcbf68b7e1f514665170518b7dbe9c36331a7b30,right,"-313,32","+313,32",a/cypress/integration/rendering/gantt.spec.js,b/cypress/integration/rendering/gantt.spec.js
0adc6a6112bca1d6461eb85ae7603b7fa7b3287f,f036d58ec365f07965aaffa9aab0991edfc0fa2a,2bf753a769ed816dab2a2ea81860ff1d02934134,bcbf68b7e1f514665170518b7dbe9c36331a7b30,left,"-48,67","+48,2",a/cypress/integration/rendering/requirement.spec.js,b/cypress/integration/rendering/requirement.spec.js
7f4368415d833f5d7761b56e532c18342dff5799,f036d58ec365f07965aaffa9aab0991edfc0fa2a,2bf753a769ed816dab2a2ea81860ff1d02934134,bcbf68b7e1f514665170518b7dbe9c36331a7b30,right,"-49,65","+49,65",a/cypress/integration/rendering/requirement.spec.js,b/cypress/integration/rendering/requirement.spec.js
0e0a6c0f69035ea047780225b048caea31666e68,913468a7b5d389537647630a13ebb4c6b426f603,ad49564ab5ae3114e44a7cdf50c3500b48e4a6cf,1e71798467e3fa2e1483873d9b33d93016fe6b4d,left,"-1,2","+1,2",a/cypress/platform/viewer.js,b/cypress/platform/viewer.js
eaa1602b1ab3a2a5c3610f95efdc8ddb5fce1c29,913468a7b5d389537647630a13ebb4c6b426f603,ad49564ab5ae3114e44a7cdf50c3500b48e4a6cf,1e71798467e3fa2e1483873d9b33d93016fe6b4d,right,"-2,2","+1,5",a/cypress/platform/viewer.js,b/cypress/platform/viewer.js
0e0a6c0f69035ea047780225b048caea31666e68,bf25be7cf058b0695a2d5987d17207086b6097db,404b718677d496c270082b5a0a0c3a78e48fb540,8a489176c3831280d94dcc78afaee6fa5d0b9dcd,left,"-1,1","+1,1",a/cypress/platform/bundle-test.js,b/cypress/platform/bundle-test.js
aeb31fe1aebf481878c78c6e9f2bbe964053f2da,bf25be7cf058b0695a2d5987d17207086b6097db,404b718677d496c270082b5a0a0c3a78e48fb540,8a489176c3831280d94dcc78afaee6fa5d0b9dcd,right,"-1,1","+1,1",a/cypress/platform/bundle-test.js,b/cypress/platform/bundle-test.js
0e0a6c0f69035ea047780225b048caea31666e68,bf25be7cf058b0695a2d5987d17207086b6097db,404b718677d496c270082b5a0a0c3a78e48fb540,8a489176c3831280d94dcc78afaee6fa5d0b9dcd,left,"-1,2","+1,2",a/cypress/platform/viewer.js,b/cypress/platform/viewer.js
9e35bf6e6f2ff643515e7256b75e4b6964a223f5,bf25be7cf058b0695a2d5987d17207086b6097db,404b718677d496c270082b5a0a0c3a78e48fb540,8a489176c3831280d94dcc78afaee6fa5d0b9dcd,right,"-1,2","+1,2",a/cypress/platform/viewer.js,b/cypress/platform/viewer.js
95d92999bb55a1e62570496771de8919ec6e2fee,1ea546a0a59754138d91906fd11f3031ae3c2291,48d94568ce20c9ff4fd894a5d5566729e377eaf3,71d252f706531982fe2249991ddd609364f92ac3,left,"-614,1","+629,2",a/src/diagrams/git/gitGraphParserV2.spec.js,b/src/diagrams/git/gitGraphParserV2.spec.js
183fc35fea95d9d78bf9b9c1200d6ee33cc4035b,1ea546a0a59754138d91906fd11f3031ae3c2291,48d94568ce20c9ff4fd894a5d5566729e377eaf3,71d252f706531982fe2249991ddd609364f92ac3,right,"-630,0","+630,32",a/src/diagrams/git/gitGraphParserV2.spec.js,b/src/diagrams/git/gitGraphParserV2.spec.js
