evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
6df9bf36e5d9a3f1e968247a7aabca4abfa965cd,14464f9fba91959f0a6788b5055f6e78cfdc071a,933efd0ddaebef8a470f9ab975ebb49681e7b5e3,286f6e52f0775dbe8d0921461a44987fd2ee77f1,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer-old.js,"[7, 7]","[9, 10]",29,29,True,False,MOVE
6df9bf36e5d9a3f1e968247a7aabca4abfa965cd,14464f9fba91959f0a6788b5055f6e78cfdc071a,933efd0ddaebef8a470f9ab975ebb49681e7b5e3,286f6e52f0775dbe8d0921461a44987fd2ee77f1,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer-old.js,"[7, 7]","[9, 10]",200,200,True,False,MOVE
6df9bf36e5d9a3f1e968247a7aabca4abfa965cd,14464f9fba91959f0a6788b5055f6e78cfdc071a,933efd0ddaebef8a470f9ab975ebb49681e7b5e3,286f6e52f0775dbe8d0921461a44987fd2ee77f1,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer-old.js,"[309, 335]","[296, 321]",29,29,True,False,MOVE
6df9bf36e5d9a3f1e968247a7aabca4abfa965cd,14464f9fba91959f0a6788b5055f6e78cfdc071a,933efd0ddaebef8a470f9ab975ebb49681e7b5e3,286f6e52f0775dbe8d0921461a44987fd2ee77f1,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer.js,src/diagrams/git/gitGraphRenderer-old.js,"[309, 335]","[296, 321]",200,200,True,False,MOVE
6ce1c80a47c3817fae6d59cee91f5ceeeecddfd1,004e7e376d66e3cc71c5b721aa6456ff86e538ac,96977e70b3fb503aeb9e59d4c8e23645fcb083e1,549011edf485e3c4c2302ffb5a9ae1dd2f4ca0f4,src/diagrams/sequence/svgDraw.js,src/diagrams/sequence/svgDraw.js,src/diagrams/sequence/svgDraw.js,src/diagrams/sequence/svgDraw.js,"[579, 578]","[682, 682]",190,200,True,False,EXTRACT
44d50095382066568b99b7487b13a69d6acb403b,18254392abddc5f28b36bc345619ee920918c07f,5646518352be28a471b9edf1fdd81146c38a666a,98a7800fae73218d03a0d08c5f92a37744b541b7,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/utils.js,src/diagrams/sequence/sequenceRenderer.js,"[439, 441]","[509, 521]",594,649,True,False,MOVE_RENAME
44d50095382066568b99b7487b13a69d6acb403b,18254392abddc5f28b36bc345619ee920918c07f,5646518352be28a471b9edf1fdd81146c38a666a,98a7800fae73218d03a0d08c5f92a37744b541b7,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/utils.js,src/diagrams/sequence/sequenceRenderer.js,"[439, 441]","[509, 521]",496,189,True,False,MOVE
44d50095382066568b99b7487b13a69d6acb403b,18254392abddc5f28b36bc345619ee920918c07f,5646518352be28a471b9edf1fdd81146c38a666a,98a7800fae73218d03a0d08c5f92a37744b541b7,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,"[439, 441]","[509, 521]",191,238,True,False,RENAME
44d50095382066568b99b7487b13a69d6acb403b,18254392abddc5f28b36bc345619ee920918c07f,5646518352be28a471b9edf1fdd81146c38a666a,98a7800fae73218d03a0d08c5f92a37744b541b7,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/utils.js,src/diagrams/sequence/sequenceRenderer.js,"[439, 441]","[509, 521]",529,218,True,False,MOVE
5646518352be28a471b9edf1fdd81146c38a666a,18254392abddc5f28b36bc345619ee920918c07f,5646518352be28a471b9edf1fdd81146c38a666a,98a7800fae73218d03a0d08c5f92a37744b541b7,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,"[492, 514]","[514, 534]",860,67,True,False,EXTRACT
5646518352be28a471b9edf1fdd81146c38a666a,18254392abddc5f28b36bc345619ee920918c07f,5646518352be28a471b9edf1fdd81146c38a666a,98a7800fae73218d03a0d08c5f92a37744b541b7,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,src/diagrams/sequence/sequenceRenderer.js,"[492, 514]","[514, 534]",492,60,True,True,EXTRACT
