merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
ecc4aa734b5411a496f87db2c75f63c7e8f99b46,547358fc7e741561a37481be48dc52162535df4c,15dbf22a40c7ab447f1c2e855b87245160f998a3,[],['pnpm-lock.yaml'],0,35,0,0,0
2b388ec6ec1b24b989ba99a59678bc0e6fe1ea6a,b7795ef12d8f5a7674e0c2d99257714f056c950c,3662869ce14be1a64a73fa4e6602f368b6204865,[],['pnpm-lock.yaml'],0,1,0,0,0
cae612dffff2e3b15a1fc7cb3f4869e14b35b864,7cd62bd0522ada9a2bcd57b0996510154dfe7a34,40f517daee763df0f5a8df32a627da367d9681a9,[],['packages/mermaid/src/docs/.vitepress/config.ts'],0,1,0,0,0
307aa6f623e5348c5e6e5e8eb36ef73098b71f43,08c107138279ba99445abd98b9d55565d7838edd,84267168860e01fa697266e26d40a6844166673f,[],['CONTRIBUTING.md'],0,1,0,0,0
1a6fd69f65b23ed79d6963f4ef2c94a891227ac1,a497909446f7561d97ffcca5864ac5f6d470f164,56a9625d955c2ba0c3b25f19a4692c6860a2704e,[],"['CONTRIBUTING.md', 'cSpell.json', 'packages/mermaid/src/docs/.vitepress/config.ts']",0,4,0,0,0
355b471ca0b556c60b9ac6a2a774c8e2e00150b1,5c8b7390475da607d3973089c09e331ebb67b1cb,b651be77f130824f00e0c244677e35c0a793a4e9,[],"['docs/syntax/flowchart.md', 'packages/mermaid/src/docs/syntax/flowchart.md']",0,2,0,0,0
d148a65967ddee0db6202106d5a4ce290709f37a,102b9bc8c36b0a9d1e38c3b2a51cffe8a2f034ab,c2c802471802e9e006fa02b5f817eb92c22d0a4e,[],['pnpm-lock.yaml'],0,9,0,0,0
bd1343648e983290693eddd16e95db09ae0526d3,ac23787084e2d35eb750ae0ce93746726bcce74d,3517314390247e4a05b37912467c717e3466d48e,[],['pnpm-lock.yaml'],0,6,0,0,0
102b9bc8c36b0a9d1e38c3b2a51cffe8a2f034ab,9cec5ae1c490f6fbf78b798a9d264bdf4e1e7cc3,ac23787084e2d35eb750ae0ce93746726bcce74d,[],['pnpm-lock.yaml'],0,16,0,0,0
9cec5ae1c490f6fbf78b798a9d264bdf4e1e7cc3,6a89ef94f7b1fdaa602bdf2b6b559f86c800fbb1,acc19db5bb87261243976e6e6359fff51e38bef6,[],"['packages/mermaid-zenuml/package.json', 'pnpm-lock.yaml']",0,14,0,0,0
acc19db5bb87261243976e6e6359fff51e38bef6,6cce1b20fb83116e98b784f80edc80e07b2b82dc,b1590c2211777f986f223b1c91d784fb59b004a0,[],['pnpm-lock.yaml'],0,3,0,0,0
e984b34af4610b63fb8185d91e3b7cfe7365fb3e,c255d95ae29ff54ae552e801ca8c422dc4eb4aa5,458ac847495d93fc9cc3bd0104d1bc4d3bae118c,[],['pnpm-lock.yaml'],0,31,0,0,0
97be4983f0159234b370c0fb1de9f05caeaeb077,c7affbe33b9cde1f5b08c8f90fad8e13d9a6bbc6,458ac847495d93fc9cc3bd0104d1bc4d3bae118c,[],['pnpm-lock.yaml'],0,31,0,0,0
17c798a1b3a8513f4ea3df5b1a28aaba6f0418e3,29c8f8c8677afdd9c49215e62c00af9556df0bec,c0b7ba305fdb68e8a34984f8437ad3403e12fba2,[],['pnpm-lock.yaml'],0,13,0,0,0
1b48c19897089768f65a1efc63a888b0fadf269a,500efda8d68471604b54790ac7e1d274debf5c45,2dc780a76627338eecb15c6a5ee968da28e7d332,[],['pnpm-lock.yaml'],0,2,0,0,0
25a7164df2525bf5b21f6f2f443e344ad96f560f,cb3982de7e5f0b563afe16cc18430ada75c90ef2,a226b073a02a183ded0996578addd7c9fc74180f,[],['cSpell.json'],0,1,0,0,0
ccc87be462352e017336cbf8df6af41812f7240b,7e240dac22ac6b0c24cf12203cf012395d540555,f8b029de0e7386fc9a8116575a2960ed7a11603e,[],['packages/mermaid/src/diagrams/class/classDiagramGrammar.spec.ts'],0,1,0,0,0
e903f06f75306a5c71f6378abbc926fa067c7e38,e357bbee4287eb303db00ed31738d6ef2ecc809f,bf379565285dadbba252c4736b68ec571e09ae1e,[],['packages/mermaid/src/diagrams/c4/svgDraw.js'],0,4,0,0,0
9238deaf0080b71d9c42b1d193ef492b9aa14022,00a14ee81164b1f7fb7119cdc497c191779ce8d8,33c81d557ee41dda9aa2326b103bfd69b1bdcff9,[],"['package.json', 'packages/mermaid/src/docs/.vitepress/theme/index.ts', 'packages/mermaid/src/docs/index.md', 'pnpm-lock.yaml']",0,182,0,0,0
ec62c2bf5b8c316abf643bf7972d00e07c1eb360,b9e7ba023f3a9969166c54db577c0e4f9ad85633,56ec1ab52ce15ca7dbe76a3acbe1cb68acb13b2d,[],['pnpm-lock.yaml'],0,122,0,0,0
95d8e3a5df42df8721b73c30abe829afd2ecd234,204baa45865d62a3865181f33311e567a13846d4,56ec1ab52ce15ca7dbe76a3acbe1cb68acb13b2d,[],"['packages/mermaid/src/diagrams/class/classDb.ts', 'packages/mermaid/src/diagrams/class/classDiagram.spec.ts']",0,2,0,0,0
5c6773a47c7cdff83387c2c8e85ae17fd5e1e834,5634c6ca1a7bf8174ae4019f29d6587328e5f41b,1c17f4c770bd3a66b521a8ddaad0c799c668427b,[],"['package.json', 'packages/mermaid/package.json', 'pnpm-lock.yaml']",0,47,0,0,0
204baa45865d62a3865181f33311e567a13846d4,b725b69fda5641904a5ec89ef75533093439a874,32d553a28fda9130417591403d2531cb56fa8626,[],"['packages/mermaid/src/diagrams/class/classDb.ts', 'packages/mermaid/src/diagrams/class/classRenderer-v2.ts']",0,2,0,0,0
aa5c1a5f7832bb9c3104c402f1a1e65cb832d699,da7725f38e448f51f4326ec0672abca0c45a9058,d9ebb0d49262bc25735643e766ea3d55473ec720,[],['packages/mermaid/src/dagre-wrapper/clusters.js'],0,10,0,0,0
917a54f3cdc6f3cdacb9ce6a690e29b496d302e4,471c842a58204d19f1e71492db09474b6025ec2a,7e610d13dc7e62e483f6d248a3cfed14f2df9084,[],"['docs/config/setup/modules/defaultConfig.md', 'docs/config/setup/modules/mermaidAPI.md', 'packages/mermaid/src/Diagram.ts']",0,3,0,0,0
da7725f38e448f51f4326ec0672abca0c45a9058,4515c58d42fe776de01fcd28c055d21af15b89a1,7e610d13dc7e62e483f6d248a3cfed14f2df9084,[],"['packages/mermaid/src/Diagram.ts', 'packages/mermaid/src/diagram-api/diagram-orchestration.ts', 'packages/mermaid/src/diagrams/flowchart/parser/flow-comments.spec.js']",0,4,0,0,0
057c9e4b81882039d71e41ffc12a22940c38c0a0,15af3ea5855924443cc2453bb248234ef581a19e,c4e4efd4b84c2c24935a9fcf5fcec8a4982db7bf,[],['docs/config/setup/modules/mermaidAPI.md'],0,1,0,0,0
89eec225ce48ec1284a434b0f80fd78167a4269c,63160293c72bc7ca9cce8af4bf0add625ddf049b,e4a2c74b1b830ad64d14f42b5fdbb5f8e9763fd1,[],['pnpm-lock.yaml'],0,1,0,0,0
cbc2df1ff62a8c3729ae2cea757a5861cddfc08a,ba1c5dc6c779fdd17913828290cb1074cf4d5075,e4a2c74b1b830ad64d14f42b5fdbb5f8e9763fd1,[],['docs/config/setup/modules/mermaidAPI.md'],0,1,0,0,0
4515c58d42fe776de01fcd28c055d21af15b89a1,0dc6e0a0d9a254c53199eb3bbfc95246af78d8ae,8b37ceffe1a4c182f3e0bbf06c6b35622a0fccb1,[],['pnpm-lock.yaml'],0,1,0,0,0
759ab0c0f99d24cfd57f50f6c0c8f5f70a7f19fe,328f3968d1e9211d2dc6fb2e689694442af53bb8,1a7b8d38970f367e273b61599e6c4f75a8635158,[],['packages/mermaid/package.json'],0,1,0,0,0
328f3968d1e9211d2dc6fb2e689694442af53bb8,c7bcd74d56e1233f4d20c88401b2a7e6eccdf6ef,c965e4c4564441975b71f0996e3a7ec2167ae21d,[],"['packages/mermaid/package.json', 'packages/mermaid/src/diagrams/gantt/ganttDb.js']",0,3,0,0,0
1913aad03f7ac371954e56a50699e0aa770e32c4,f7f6cc73f52fcedbcfec3010c6e8af7992509e89,b80da0daa168ceb5edb39b0fe3c329c35f924298,[],['docs/config/setup/modules/mermaidAPI.md'],0,1,0,0,0
fda0c8d0a9c1158016f61084c35d4db5b9cb6f4e,733967f65a5b2ad3a87fc604aeee2d6db9d2b98e,b932cd0930303d75578bb914867076554b4c0a38,[],['docs/config/setup/modules/mermaidAPI.md'],0,1,0,0,0
7cee8cb6dc8553da1bd6fbf155249226698b3d40,275a54a562f969e9db61d036f0027696c07c961e,3f93edaaf377f3fc46bc2fcae23aedd8e3e67626,[],['packages/mermaid/src/diagram-api/diagramAPI.spec.ts'],0,1,0,0,0
8c2dbafdb5f144903bcdd6ee6e9f25d499b2f057,1495ae623a27fcb7cb98a6e458e436dcb48fe1e7,f62c4831ad457016d9692ff0cd1eb7883c7b20c3,[],['pnpm-lock.yaml'],0,1,0,0,0
3b2d55efec12ad3bb895b1ddb5bd71095844013b,bb8bd111f8cdc63804259409272ed5707369007d,870550bd7ea8894adcfb017c8ed60822e69721f6,[],[],0,0,0,0,0
638362baea769fb1e296e26709229c1df22bef78,15cfa5d40d515c85f017698720426b1c70159703,e22171c5bcd3ac4b554e5347424ca33744e63bd4,[],"['docs/config/setup/modules/mermaidAPI.md', 'packages/mermaid/package.json', 'packages/mermaid/src/Diagram.ts', 'packages/mermaid/src/diagram-api/detectType.ts', 'packages/mermaid/src/diagram-api/diagram-orchestration.ts', 'packages/mermaid/src/diagram-api/diagramAPI.ts', 'packages/mermaid/src/diagrams/flowchart/flowDetector-v2.ts', 'packages/mermaid/src/mermaid.ts', 'packages/mermaid/src/mermaidAPI.ts', 'pnpm-lock.yaml']",0,25,0,0,0
c1aad5975cedb2ba0c47deedd3334d432f09cdb5,631ff8fb9e286285f9b510e7301b785d53087dcd,31629fe93f194b2051f0299e9c16023a5246cc45,[],['packages/mermaid/package.json'],0,1,0,0,0
