evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
ccf753cfaffaef2ff5183126e541fc6c6a585095,1df0fc55c698afe5f962e8ba7778077375c7d0c5,ecd649f7b660a332c6a404833acaf5cf2f9fb4f9,6d13b0d25dc2a75cf6f23392b4605974ec1fda79,left,"-17,2","+17,2",a/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js,b/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js
5cd1c04725ac23abce32338f9c82ebd8ea0c3859,1df0fc55c698afe5f962e8ba7778077375c7d0c5,ecd649f7b660a332c6a404833acaf5cf2f9fb4f9,6d13b0d25dc2a75cf6f23392b4605974ec1fda79,right,"-17,2","+17,2",a/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js,b/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js
5c15f4424d31569175d922c004cf7913fe18cd55,1df0fc55c698afe5f962e8ba7778077375c7d0c5,ecd649f7b660a332c6a404833acaf5cf2f9fb4f9,6d13b0d25dc2a75cf6f23392b4605974ec1fda79,right,"-17,2","+17,2",a/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js,b/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js
ccf753cfaffaef2ff5183126e541fc6c6a585095,f444696abfbc5a2da0fca7d303f990a0921602f8,7a168776b444a48f18c9ba5ce72363360e59e678,4abe0d6c01050ccf34b887eae42bee53de78d5b0,left,"-17,2","+17,2",a/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js,b/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js
7b5c91a13ab8737abebc77aadf117fa3d4a03279,f444696abfbc5a2da0fca7d303f990a0921602f8,7a168776b444a48f18c9ba5ce72363360e59e678,4abe0d6c01050ccf34b887eae42bee53de78d5b0,right,"-17,2","+17,2",a/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js,b/npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js
6b7342cbd6eedfb290d696af10eb253b95de9399,b4345a1b5cd25e8e0abb3fc54c3f9a53fb7abfec,6b7342cbd6eedfb290d696af10eb253b95de9399,9f062036b9ae6e85cf2411085b089a180068b528,left,"-21,3","+22,3",a/tools/tests/source-maps.js,b/tools/tests/source-maps.js
a9469554457455aa2fc5db9565fc543566523724,b4345a1b5cd25e8e0abb3fc54c3f9a53fb7abfec,6b7342cbd6eedfb290d696af10eb253b95de9399,9f062036b9ae6e85cf2411085b089a180068b528,left,"-21,3","+21,3",a/tools/tests/source-maps.js,b/tools/tests/source-maps.js
911fdf857a159612f7a12e6a0e239e98149020dc,b4345a1b5cd25e8e0abb3fc54c3f9a53fb7abfec,6b7342cbd6eedfb290d696af10eb253b95de9399,9f062036b9ae6e85cf2411085b089a180068b528,left,"-21,3","+21,3",a/tools/tests/source-maps.js,b/tools/tests/source-maps.js
4504c436f342fd3dd3bf155de8ed7032d585a7d2,b4345a1b5cd25e8e0abb3fc54c3f9a53fb7abfec,6b7342cbd6eedfb290d696af10eb253b95de9399,9f062036b9ae6e85cf2411085b089a180068b528,left,"-21,1","+21,3",a/tools/tests/source-maps.js,b/tools/tests/source-maps.js
9f062036b9ae6e85cf2411085b089a180068b528,b4345a1b5cd25e8e0abb3fc54c3f9a53fb7abfec,6b7342cbd6eedfb290d696af10eb253b95de9399,9f062036b9ae6e85cf2411085b089a180068b528,right,"-20,1","+20,1",a/tools/tests/source-maps.js,b/tools/tests/source-maps.js
47d1d414fd5e28c7db4a35d95c8b92a3831702a9,125846cefa2d3d0eb21c9784197f869d9efe1f45,72d487f535ea23dc75cd9eec35b0a109ab9e0980,a5a4be7a16ef601da1594cdf1495b6ecb0f0e444,left,"-997,9","+998,90",a/tools/isobuild/compiler.js,b/tools/isobuild/compiler.js
32958e2d34de2ced66d120be3f3cc2bdf6c173fc,125846cefa2d3d0eb21c9784197f869d9efe1f45,72d487f535ea23dc75cd9eec35b0a109ab9e0980,a5a4be7a16ef601da1594cdf1495b6ecb0f0e444,left,"-1001,62","+997,90",a/tools/isobuild/compiler.js,b/tools/isobuild/compiler.js
1f630686f1acad9dfad2dcb1f1272d62a12f26e3,cb00f74cd2c55b3b7a29e3169a905b9c09ed794a,31e7cf96fb7e7584991138c0f26a481ea7e71924,04f30638d0b1305af1ad9211a35cb127b7088a6a,left,"-15,4","+15,4",a/scripts/dev-bundle-tool-package.js,b/scripts/dev-bundle-tool-package.js
0c26503e6bbef1b42ea193aa61337ce93b7609ff,cb00f74cd2c55b3b7a29e3169a905b9c09ed794a,31e7cf96fb7e7584991138c0f26a481ea7e71924,04f30638d0b1305af1ad9211a35cb127b7088a6a,left,"-15,4","+15,4",a/scripts/dev-bundle-tool-package.js,b/scripts/dev-bundle-tool-package.js
c9f2bb139c0fdf73ddcaa9cc9d47fb91ebf3571a,cb00f74cd2c55b3b7a29e3169a905b9c09ed794a,31e7cf96fb7e7584991138c0f26a481ea7e71924,04f30638d0b1305af1ad9211a35cb127b7088a6a,right,"-15,4","+15,4",a/scripts/dev-bundle-tool-package.js,b/scripts/dev-bundle-tool-package.js
8ec9f0b7be05f6d74c6c46f5eb9b918cb47df967,cb00f74cd2c55b3b7a29e3169a905b9c09ed794a,31e7cf96fb7e7584991138c0f26a481ea7e71924,04f30638d0b1305af1ad9211a35cb127b7088a6a,right,"-15,4","+15,4",a/scripts/dev-bundle-tool-package.js,b/scripts/dev-bundle-tool-package.js
a7eb1f99dddca54342626360a7d2e85eb778841c,993477cccc3aad8a99cf89e473b19c0e3d8f97c1,a7eb1f99dddca54342626360a7d2e85eb778841c,08b3807abd795503f36d49b68301b02622923fa8,left,"-13,5","+13,5",a/scripts/dev-bundle-tool-package.js,b/scripts/dev-bundle-tool-package.js
