evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/sandbox.js,"[108, 122]","[71, 72]",545,64,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/clients/phantom.js,"[108, 122]","[71, 72]",982,16,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/clients/browserstack.js,"[108, 122]","[71, 72]",1032,24,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/matcher.js,"[108, 122]","[71, 72]",236,7,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/sandbox.js,"[108, 122]","[71, 72]",151,495,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/output-log.js,"[108, 122]","[71, 72]",419,7,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/sandbox.js,"[108, 122]","[71, 72]",195,570,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/test-failure.js,"[108, 122]","[71, 72]",50,2,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/run.js,"[108, 122]","[71, 72]",2111,25,True,False,EXTRACT_MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/client.js,"[108, 122]","[71, 72]",967,1,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/sandbox.js,"[108, 122]","[71, 72]",109,484,True,True,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/clients/browserstack.js,"[108, 122]","[71, 72]",1142,132,True,False,MOVE
d5ff826596fabfc88b2f0b03dee0623aab1cec37,3c1ab6a3a79099f2d90a7b6997a68d68a2fd8eb7,1c796a69e1a812ff62d0e62ef134cf5766737cd3,ac90219f20f2bc2f85a8b5ffe3afd77de2d8f5a2,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/selftest.js,tools/tool-testing/run.js,"[108, 122]","[71, 72]",1195,29,True,False,MOVE
a3841479eb389eeab330ee19da5f1ef55edd2412,b75064f689fca607a8da375e5067de9f2469a227,c09fea8e48dd009949855ee6734400c65188dc88,6932f66140c6d65e374bca3b3e80717ef447de59,tools/builder.js,tools/builder.js,tools/builder.js,tools/builder.js,"[1, 1]","[1, 1]",142,196,True,False,EXTRACT_MOVE
ff61acade9dc537f3ec4e7b4b0ba9288e09ebe2c,b75064f689fca607a8da375e5067de9f2469a227,c09fea8e48dd009949855ee6734400c65188dc88,6932f66140c6d65e374bca3b3e80717ef447de59,tools/builder.js,tools/builder.js,tools/builder.js,tools/builder.js,"[1, 5]","[1, 1]",491,458,True,False,INTERNAL_MOVE
ff61acade9dc537f3ec4e7b4b0ba9288e09ebe2c,b75064f689fca607a8da375e5067de9f2469a227,c09fea8e48dd009949855ee6734400c65188dc88,6932f66140c6d65e374bca3b3e80717ef447de59,tools/builder.js,tools/builder.js,tools/builder.js,tools/builder.js,"[1, 5]","[1, 1]",370,344,True,False,INTERNAL_MOVE
ff61acade9dc537f3ec4e7b4b0ba9288e09ebe2c,b75064f689fca607a8da375e5067de9f2469a227,c09fea8e48dd009949855ee6734400c65188dc88,6932f66140c6d65e374bca3b3e80717ef447de59,tools/builder.js,tools/builder.js,tools/builder.js,tools/builder.js,"[1, 5]","[1, 1]",433,405,True,False,INTERNAL_MOVE
ec0ae8ee753b734fd659ba5263c011ba23a6a2d3,b75064f689fca607a8da375e5067de9f2469a227,c09fea8e48dd009949855ee6734400c65188dc88,6932f66140c6d65e374bca3b3e80717ef447de59,tools/builder.js,tools/builder.js,tools/builder.js,tools/builder.js,"[1, 5]","[1, 1]",370,344,True,False,INTERNAL_MOVE
ec0ae8ee753b734fd659ba5263c011ba23a6a2d3,b75064f689fca607a8da375e5067de9f2469a227,c09fea8e48dd009949855ee6734400c65188dc88,6932f66140c6d65e374bca3b3e80717ef447de59,tools/builder.js,tools/builder.js,tools/builder.js,tools/builder.js,"[1, 5]","[1, 1]",491,458,True,False,INTERNAL_MOVE
ec0ae8ee753b734fd659ba5263c011ba23a6a2d3,b75064f689fca607a8da375e5067de9f2469a227,c09fea8e48dd009949855ee6734400c65188dc88,6932f66140c6d65e374bca3b3e80717ef447de59,tools/builder.js,tools/builder.js,tools/builder.js,tools/builder.js,"[1, 5]","[1, 1]",433,405,True,False,INTERNAL_MOVE
