merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,0,0
merge,left,right,[],[],0,0,0,0,0
7337cb5f37eb08b9db82747c20669d55b96cfcf2,8de5dd849ef8a9eddffb6090b8fbefa7d8c7ee70,5e5fc1d958e9cfea2cb962f43ccf1fbc7abd7951,[],['packages/mongo/collection_tests.js'],0,1,0,0,0
4b7b89906d8cda688bd36d80b8c56585205fa0ad,8753f9699a3ca01a9cea454d081ef7d79dad89e1,fc4be405caa9d30bc5e423818fef59516f548342,[],['packages/mongo/mongo_driver.js'],0,3,0,0,0
51e5c8ca8877b6be3bfb023729deeb52ea1576fb,f2621b58cdcf55314a60d360fab5efee1c26f4bc,1811c5e86aef34a1158c75b225c19f0e303a2cf7,[],['packages/npm-mongo/.npm/package/npm-shrinkwrap.json'],0,5,0,0,0
03b27c98eff56ed5d971ab0933727fe1f5f15c23,dd74fa6d70035b75e7c3587c959bbff4d9edef9e,366e18117c1e33fb9b80f2c6709a36dbbe72e977,[],['docs/source/api/collections.md'],0,1,0,0,0
8e4061d1e1eb2c029619bd30d3435c27c30a0502,fb7e4235e3e6b50757b63a25429a9fc19107bee4,0d29eb8177544968e168bfe14221527add7750c5,[],['docs/generators/changelog/versions/2.11.md'],0,2,0,0,0
b510ddab9fccec398d77d74bdb381fe395fa5d21,f46137a55e6866f3caae227a3c6ed1ef4121226c,09fa9bf751c393e5271ffd2294cd27da44c533f5,[],['tools/static-assets/skel-typescript/package.json'],0,1,0,0,0
16d1480bbc2e264d6387527e4c03a4c66244ffad,24d87e19b22ba717d88b71cacd60fbd2d2bf1b9d,17025f2f7204f0bef304ef846795034788c5d82a,[],['meteor'],0,1,0,0,0
b733901ecc14093b8351e5586629e121e0f5d838,57939b80dd9a7467dcabcb87010e4fee35aafb64,39827f5b3b06fca647681335ffac828afa85be6a,[],['meteor'],0,1,0,0,0
ec0faee1dd94f2561a84cb66775f51c276f37177,0d5ddb0af2382889b31bb2949c6742da56c95bf2,61fa84efc768b91cc83ab200a168f39c0d61a5c1,[],['meteor'],0,1,0,0,0
1df0fc55c698afe5f962e8ba7778077375c7d0c5,ecd649f7b660a332c6a404833acaf5cf2f9fb4f9,6d13b0d25dc2a75cf6f23392b4605974ec1fda79,['npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js'],"['docs/history.md', 'npm-packages/meteor-babel/package.json', 'packages/babel-compiler/package.js']",1,8,1,0,0
21094bf525ab5636b8974ed1c426f92bc7685ee4,1fb621ecc7909447703568dd3635c73349661daf,82fe84db7f61ae309d5796b36e71fd84662f6772,[],['packages/test-in-browser/driver.js'],0,1,0,0,0
f444696abfbc5a2da0fca7d303f990a0921602f8,7a168776b444a48f18c9ba5ce72363360e59e678,4abe0d6c01050ccf34b887eae42bee53de78d5b0,['npm-packages/eslint-plugin-meteor/scripts/dev-bundle-tool-package.js'],"['docs/history.md', 'npm-packages/meteor-babel/package.json', 'packages/babel-compiler/package.js']",1,5,1,0,0
54ee9d13d64ad863151a7ab8057b02e7a55f9aef,f4c3418594caa571b8d83b7a1a30bbd09a1b5fae,ae3694b958c9b97b762240598d470db437e3bf52,[],['packages/meteor/package.js'],0,1,0,0,0
ae3694b958c9b97b762240598d470db437e3bf52,6c06c2c3eb80a833e228c7c0e485ad8df8343635,5f77b43f758746b585ff92b6632d45ea0cd082cd,[],"['docs/history.md', 'packages/meteor/package.js']",0,3,0,0,0
6020d1425a2d21df84ab0350921084eb22750613,2bf4f8093882185db1f6409b79ed37b607644901,a67dddbd78060b211161cac8840ab49b6a38f58d,[],"['tools/cli/help.txt', 'tools/static-assets/skel-vue/.meteor/packages']",0,2,0,0,0
b3389d0acdf76e0d94aa450a9a0ddae7a4e6431a,5b974986990295c558c7e5dd87766079c3fd5890,3d0dc3e02347112094d6ae19bb08713efbc5c969,[],['docs/history.md'],0,2,0,0,0
3823163c03061b2ac4f12c0a862f7328524d3fc3,8a5ff4cc386e9aaffd634d736196b5b2f52ef914,b61729248e0853c125b1f3f368e5e2aaaa55f8fb,[],['packages/ecmascript/package.js'],0,1,0,0,0
8a5ff4cc386e9aaffd634d736196b5b2f52ef914,ccf753cfaffaef2ff5183126e541fc6c6a585095,ddf4c7b0e0456927a5a83dbe79eed58c2bbb8997,[],['docs/history.md'],0,1,0,0,0
b562ca529793ac67c1f2aa38d17575b93f28a646,ad77b6d89bad5629bc5604069a8ca9782e7c7764,bbc4ae8489e9b77bc1f8aa6e666b167cda4ad7ce,[],['packages/meteor/package.js'],0,1,0,0,0
ed8705c515bcdf629aa43274dc38e63ba2a73c20,619645307620a5dc822da6bdade4992e4eb06d26,ddf4c7b0e0456927a5a83dbe79eed58c2bbb8997,[],['docs/history.md'],0,1,0,0,0
7f7396af2b759400e008824cdd715c186e37a514,7f070b83c1e43a2122a41039d8785559599c6378,7c56fa4549ecd3198832b0b4f16989474a8b18c4,[],['docs/history.md'],0,1,0,0,0
786b2ccdfb1c3d8eec36f2de88b6f30f0309acbb,3b06b65372ca44afc99408410444f1eb1116fc74,9918e98416d8161f270bf197456d837e790e5d3e,[],['npm-packages/meteor-installer/package.json'],0,1,0,0,0
8be6139649d755836ddaf1d78617575426579137,798ffce0732893ed6c076f134ed1645a93b1cfb8,9918e98416d8161f270bf197456d837e790e5d3e,[],['packages/meteor/package.js'],0,1,0,0,0
