evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
b8a14eafe9f260277ee03cc52c26901166045f81,6171fe9348d29f6161c782f7565d61ad741d7ed3,72971b320cb72c6cc8dc8de80e18c2000d247ad7,677489b25f731e34dd13b7fbe6fe108475909a65,left,"-65,3","+65,3",a/mustache.js,b/mustache.js
fbc66a81400418983c2d7ccf0457aeea7af0fb1a,6171fe9348d29f6161c782f7565d61ad741d7ed3,72971b320cb72c6cc8dc8de80e18c2000d247ad7,677489b25f731e34dd13b7fbe6fe108475909a65,left,"-92,3","+65,3",a/mustache.js,b/mustache.js
e2d919a21492acbd97c4c8f430cef7193a5919b6,6171fe9348d29f6161c782f7565d61ad741d7ed3,72971b320cb72c6cc8dc8de80e18c2000d247ad7,677489b25f731e34dd13b7fbe6fe108475909a65,right,"-92,3","+93,3",a/mustache.js,b/mustache.js
18a0e89640c514b1b5bdab03880db7711f455179,1d59e5c746baca7dca767f8a397f03a924946e4b,18a0e89640c514b1b5bdab03880db7711f455179,17f5dc36862d37bc3056a33aee7fb7abb71507a2,left,"-2,16","+2,21",a/examples/dot_notation.js,b/examples/dot_notation.js
26e8ebe138b725778b2ef292fa93a7b14d75ba2c,1d59e5c746baca7dca767f8a397f03a924946e4b,18a0e89640c514b1b5bdab03880db7711f455179,17f5dc36862d37bc3056a33aee7fb7abb71507a2,right,"-2,17","+2,16",a/examples/dot_notation.js,b/examples/dot_notation.js
18a0e89640c514b1b5bdab03880db7711f455179,1d59e5c746baca7dca767f8a397f03a924946e4b,18a0e89640c514b1b5bdab03880db7711f455179,17f5dc36862d37bc3056a33aee7fb7abb71507a2,left,"-272,12","+272,15",a/mustache.js,b/mustache.js
26e8ebe138b725778b2ef292fa93a7b14d75ba2c,1d59e5c746baca7dca767f8a397f03a924946e4b,18a0e89640c514b1b5bdab03880db7711f455179,17f5dc36862d37bc3056a33aee7fb7abb71507a2,right,"-272,12","+272,12",a/mustache.js,b/mustache.js
c4687d856cfbb43d29b60d82159880ecac798536,8d260790eb61dc5b6a9f6eb8db1aa830be46e341,78ad6fa42a6adbaf8dca776f149cead3ec93cb13,4fd1b8bd3b0413733ddfbe0b8b3df218ed2fa3ef,left,"-249,2","+249,1",a/mustache.js,b/mustache.js
8e4641f8bf47527963858e2a9a79a8f45dd51d25,a0979ab7965b7da650add17a768893b4210275c9,e3fe0ae3522ed3673d8182c80b421579bfe2f44a,32a26c4b7e5d3031abecfe0f06ac8fa4bbdd253d,left,"-83,2","+83,4",a/mustache.js,b/mustache.js
45955f5dc1ffbba68ee335c9313b55c84ef699be,a0979ab7965b7da650add17a768893b4210275c9,e3fe0ae3522ed3673d8182c80b421579bfe2f44a,32a26c4b7e5d3031abecfe0f06ac8fa4bbdd253d,right,"-65,2","+65,2",a/mustache.js,b/mustache.js
a6de1a3bddbd47dfd040f879491e7da9b8dfb498,4eebb4ba4f65b99fc9a37fcbc63d42f280a13ef5,a6de1a3bddbd47dfd040f879491e7da9b8dfb498,38ca0cef689b8b82f9911d6ec9628b3ec7493500,left,"-108,17","+109,26",a/mustache.js,b/mustache.js
2085b5f5a0c92bd0588413a25e77b3dfa4b5fa70,4eebb4ba4f65b99fc9a37fcbc63d42f280a13ef5,a6de1a3bddbd47dfd040f879491e7da9b8dfb498,38ca0cef689b8b82f9911d6ec9628b3ec7493500,left,"-107,14","+107,17",a/mustache.js,b/mustache.js
38ca0cef689b8b82f9911d6ec9628b3ec7493500,4eebb4ba4f65b99fc9a37fcbc63d42f280a13ef5,a6de1a3bddbd47dfd040f879491e7da9b8dfb498,38ca0cef689b8b82f9911d6ec9628b3ec7493500,right,"-107,14","+107,17",a/mustache.js,b/mustache.js
9cc393b32864dc837ecfe47fd06e7afaffa72856,da2df02edeee7c218b101c9198cc938ba49478fc,b1cd428dd68005bea50c6a42327a17b75e8fa50b,6324de20c60dad7be8ec32ab52e7f3a3223fdc97,left,"-197,1","+197,1",a/mustache.js,b/mustache.js
6324de20c60dad7be8ec32ab52e7f3a3223fdc97,da2df02edeee7c218b101c9198cc938ba49478fc,b1cd428dd68005bea50c6a42327a17b75e8fa50b,6324de20c60dad7be8ec32ab52e7f3a3223fdc97,right,"-197,1","+197,1",a/mustache.js,b/mustache.js
6d6218b71338b731b9983a2d52875706ceb17ae4,da2df02edeee7c218b101c9198cc938ba49478fc,b1cd428dd68005bea50c6a42327a17b75e8fa50b,6324de20c60dad7be8ec32ab52e7f3a3223fdc97,right,"-197,1","+197,1",a/mustache.js,b/mustache.js
093a5b84dac564c1debc31fa714b149dcd825f84,c64db7810ef2dac3bd359c645ab5172f77ba2cf1,c7b4cef78705f01e38113157a12d53758c3391e4,dadf072d405fb44782afd016488e0d9db04c6e66,left,"-10,12","+10,12",a/mustache.js,b/mustache.js
697bca307a63f82237150ecfea6a7556c5334231,c64db7810ef2dac3bd359c645ab5172f77ba2cf1,c7b4cef78705f01e38113157a12d53758c3391e4,dadf072d405fb44782afd016488e0d9db04c6e66,left,"-10,2","+10,12",a/mustache.js,b/mustache.js
1edff659601745fc438296ebf928a0dd20bdfa1e,c64db7810ef2dac3bd359c645ab5172f77ba2cf1,c7b4cef78705f01e38113157a12d53758c3391e4,dadf072d405fb44782afd016488e0d9db04c6e66,right,"-10,26","+10,26",a/mustache.js,b/mustache.js
093a5b84dac564c1debc31fa714b149dcd825f84,c64db7810ef2dac3bd359c645ab5172f77ba2cf1,c7b4cef78705f01e38113157a12d53758c3391e4,dadf072d405fb44782afd016488e0d9db04c6e66,left,"-50,23","+39,23",a/mustache.js,b/mustache.js
697bca307a63f82237150ecfea6a7556c5334231,c64db7810ef2dac3bd359c645ab5172f77ba2cf1,c7b4cef78705f01e38113157a12d53758c3391e4,dadf072d405fb44782afd016488e0d9db04c6e66,left,"-75,56","+50,23",a/mustache.js,b/mustache.js
093a5b84dac564c1debc31fa714b149dcd825f84,c64db7810ef2dac3bd359c645ab5172f77ba2cf1,c7b4cef78705f01e38113157a12d53758c3391e4,dadf072d405fb44782afd016488e0d9db04c6e66,left,"-74,14","+63,14",a/mustache.js,b/mustache.js
697bca307a63f82237150ecfea6a7556c5334231,c64db7810ef2dac3bd359c645ab5172f77ba2cf1,c7b4cef78705f01e38113157a12d53758c3391e4,dadf072d405fb44782afd016488e0d9db04c6e66,left,"-99,32","+74,14",a/mustache.js,b/mustache.js
1edff659601745fc438296ebf928a0dd20bdfa1e,c64db7810ef2dac3bd359c645ab5172f77ba2cf1,c7b4cef78705f01e38113157a12d53758c3391e4,dadf072d405fb44782afd016488e0d9db04c6e66,right,"-87,32","+87,32",a/mustache.js,b/mustache.js
093a5b84dac564c1debc31fa714b149dcd825f84,2d5b7e2c8189b34664c1fd7fc53fa37d888b5f41,093a5b84dac564c1debc31fa714b149dcd825f84,c8c378c4f58360bd9c7c27910b020625ef6612ed,left,"-97,8","+86,8",a/mustache.js,b/mustache.js
c8c378c4f58360bd9c7c27910b020625ef6612ed,2d5b7e2c8189b34664c1fd7fc53fa37d888b5f41,093a5b84dac564c1debc31fa714b149dcd825f84,c8c378c4f58360bd9c7c27910b020625ef6612ed,right,"-97,8","+97,4",a/mustache.js,b/mustache.js
093a5b84dac564c1debc31fa714b149dcd825f84,2d5b7e2c8189b34664c1fd7fc53fa37d888b5f41,093a5b84dac564c1debc31fa714b149dcd825f84,c8c378c4f58360bd9c7c27910b020625ef6612ed,left,"-112,24","+101,24",a/mustache.js,b/mustache.js
c8c378c4f58360bd9c7c27910b020625ef6612ed,2d5b7e2c8189b34664c1fd7fc53fa37d888b5f41,093a5b84dac564c1debc31fa714b149dcd825f84,c8c378c4f58360bd9c7c27910b020625ef6612ed,right,"-112,24","+110,22",a/mustache.js,b/mustache.js
