merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,"['bin/_cli.js', 'examples/tests/google.js', 'lib/index.js', 'lib/queue.js', 'lib/request.js', 'lib/selenium/commands/waitForElementPresent.js', 'lib/selenium/protocol.js', 'runner/run.js', 'tests/src/testNightwatchIndex.js']",['.gitignore'],9,38,37
0fcf12e4bc8da0e4a06af6dc9da9295a1124e0dd,ba5352b8eb0a0f508957e916e53f3b9945f36e36,7c2cb17fef5e08080d02703220bd48650e7e1b94,"['bin/_cli.js', 'examples/tests/google.js', 'lib/index.js', 'lib/queue.js', 'lib/request.js', 'lib/selenium/commands/waitForElementPresent.js', 'lib/selenium/protocol.js', 'runner/run.js', 'tests/src/testNightwatchIndex.js']",['.gitignore'],9,38,37
a1cb244821b0da0bf48dda7d8bacc337b5102f67,262ba96709f27cf1c33038f3f246a473134193fb,3795f98a3b89611ce3c85dee88bb9a0584283a6e,[],['test/src/core/testCreateSession.js'],0,8,0
715fc2063fcb7c573b4d13f2c590d69c9c0132a4,3d06e9b731bbbe80f931d5f5799f035a3f047918,3dc73c7712b469fec442b1214b9d50c51fb3f36c,['lib/utils/logger/index.js'],[],1,1,1
0fc7c96d67e1e207a7ffcdec1dca2089e24566d2,258c17c12287f7b162046e6b7469cda1a554bbe0,e9e38c27c510e762a4badebc167ad0a7fedd0660,['lib/api/expect/cookie.js'],[],1,1,1
c43e9ad7bf2147ca838cb9894381a05da73d2847,5c896c82d7d952407d0b44ac2519ce2d79e5c5d3,9c7379d0b5383e1f46f3457cb5c2e25940e4a5d5,['lib/reporter/global-reporter.js'],[],1,1,1
2f08f69b28b587cb32ef82e951d8388a6dfe8977,d5e532d049af8ca56b0bafc7bc2f7332c4522f98,84c5d007983def322c2c11bbcf4f11f469b09b48,['examples/tests/google.js'],[],1,1,1
cfdea8c49bbd95d46b9710641111471b20d255a9,bb3ac87678a3277f6c545efac86ec9e88d7b70d7,652d164608d50d1698175ba263283b1ab6ad2d5f,"['lib/api/element-commands/getFirstElementChild.js', 'lib/api/element-commands/getLastElementChild.js', 'lib/api/element-commands/getNextSibling.js', 'lib/api/element-commands/getPreviousSibling.js', 'lib/api/element-commands/hasDescendants.js', 'lib/api/element-commands/isPresent.js', 'lib/core/asynctree.js', 'lib/transport/selenium-webdriver/method-mappings.js']",['test/src/api/commands/element/testGetFirstElementChild.js'],8,18,11
28e952e4dbcac5d4273ec5d46b5d688785b834cc,76ef83078f7c8a7a313a345ccf98e536f9b59144,fed573123e3f3d07e87ed4e4c94e98680b6e14ef,['lib/settings/defaults.js'],"['package-lock.json', 'package.json']",1,3,1
ad830a5afd53479875a7f31cf6fb6d588ea1ca64,0459dce3ea6cd2de4eaea89c0016ea1a4de92808,35ce79a27fdf563e7ae403da547e13b6c3310ad3,[],"['package-lock.json', 'package.json']",0,2,0
28bf5b5974fd2e79154b289a04aabea617c000a5,127760130341328010b9001598812916ace92363,3bdbca51e8c1547dd878cf08649db43a94be9b9c,[],['package-lock.json'],0,2,0
a592660cb1387eded4fa567af412080abd7d106f,3741b0a42ad878e5ca49144b7847223cb61ea927,fdab42bf50cc42cc0d98cda2647b763e3888057a,[],['package-lock.json'],0,9,0
0e013393c1e0549ec9f30362cfdb7d201df81a5e,3bdfc5ac59078746b6b6d29f1345ad2dd729cec5,cea8af0aa57188b9e8b26ac56840b0dc4c57ba21,"['lib/api/element-commands/sendKeys.js', 'lib/api/element-commands/setValue.js', 'lib/settings/settings.js']","['package-lock.json', 'package.json', 'test/lib/mockserver.js']",3,43,7
269ceeede69e41d1bc289259dd9eda6bce04def8,7acb3ea070cbb018982f14b1d4e0199ac1011a7c,1b06fac02c3794183dea034c0a377430c63e45b8,[],['package-lock.json'],0,8,0
f9525f7d196e5cfef2ebdffd7f7a29f8b5e89455,237f221feb6f7ffb35cbef02013718fef1d06f93,4d37db68caad89fdd49fc950aa25987092cbc0fb,['lib/index.js'],['package-lock.json'],1,15,2
