evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
951c2679467939121a3e9a26d36d015efa725365,c43e9ad7bf2147ca838cb9894381a05da73d2847,5c896c82d7d952407d0b44ac2519ce2d79e5c5d3,9c7379d0b5383e1f46f3457cb5c2e25940e4a5d5,lib/reporter/global-reporter.js,lib/reporter/global-reporter.js,lib/reporter/global-reporter.js,lib/reporter/global-reporter.js,"[150, 166]","[161, 179]",113,113,True,False,RENAME
946617bb38d4a9fca0916aff38b79cc159c7f9e8,cfdea8c49bbd95d46b9710641111471b20d255a9,bb3ac87678a3277f6c545efac86ec9e88d7b70d7,652d164608d50d1698175ba263283b1ab6ad2d5f,lib/api/element-commands/getLastElementChild.js,lib/api/element-commands/getLastElementChild.js,lib/api/element-commands/getLastElementChild.js,lib/api/element-commands/getLastElementChild.js,"[23, 36]","[29, 42]",16,22,True,False,RENAME
652d164608d50d1698175ba263283b1ab6ad2d5f,cfdea8c49bbd95d46b9710641111471b20d255a9,bb3ac87678a3277f6c545efac86ec9e88d7b70d7,652d164608d50d1698175ba263283b1ab6ad2d5f,lib/transport/selenium-webdriver/method-mappings.js,lib/transport/selenium-webdriver/method-mappings.js,lib/transport/selenium-webdriver/method-mappings.js,lib/transport/selenium-webdriver/method-mappings.js,"[581, 682]","[632, 671]",42,30,True,False,EXTRACT
652d164608d50d1698175ba263283b1ab6ad2d5f,cfdea8c49bbd95d46b9710641111471b20d255a9,bb3ac87678a3277f6c545efac86ec9e88d7b70d7,652d164608d50d1698175ba263283b1ab6ad2d5f,lib/transport/selenium-webdriver/method-mappings.js,lib/transport/selenium-webdriver/method-mappings.js,lib/transport/selenium-webdriver/method-mappings.js,lib/transport/selenium-webdriver/method-mappings.js,"[581, 682]","[632, 671]",42,38,True,False,EXTRACT
0c825a4b27815c28fe709ec5302f950aab901850,0e013393c1e0549ec9f30362cfdb7d201df81a5e,3bdfc5ac59078746b6b6d29f1345ad2dd729cec5,cea8af0aa57188b9e8b26ac56840b0dc4c57ba21,lib/api/element-commands/setValue.js,lib/api/element-commands/setValue.js,lib/api/element-commands/setValue.js,lib/api/element-commands/updateValue.js,"[6, 6]","[6, 7]",41,41,True,False,MOVE
d2bb963076424fe4fc31551aeef3261d08d90141,0e013393c1e0549ec9f30362cfdb7d201df81a5e,3bdfc5ac59078746b6b6d29f1345ad2dd729cec5,cea8af0aa57188b9e8b26ac56840b0dc4c57ba21,lib/settings/settings.js,lib/settings/settings.js,lib/settings/settings.js,lib/settings/settings.js,"[175, 181]","[282, 287]",130,245,True,False,EXTRACT
d2bb963076424fe4fc31551aeef3261d08d90141,0e013393c1e0549ec9f30362cfdb7d201df81a5e,3bdfc5ac59078746b6b6d29f1345ad2dd729cec5,cea8af0aa57188b9e8b26ac56840b0dc4c57ba21,lib/settings/settings.js,lib/settings/settings.js,lib/index.js,lib/settings/settings.js,"[175, 181]","[282, 287]",409,170,True,False,MOVE
d2bb963076424fe4fc31551aeef3261d08d90141,0e013393c1e0549ec9f30362cfdb7d201df81a5e,3bdfc5ac59078746b6b6d29f1345ad2dd729cec5,cea8af0aa57188b9e8b26ac56840b0dc4c57ba21,lib/settings/settings.js,lib/settings/settings.js,lib/settings/settings.js,lib/settings/settings.js,"[175, 181]","[282, 287]",130,199,True,False,EXTRACT
d2bb963076424fe4fc31551aeef3261d08d90141,0e013393c1e0549ec9f30362cfdb7d201df81a5e,3bdfc5ac59078746b6b6d29f1345ad2dd729cec5,cea8af0aa57188b9e8b26ac56840b0dc4c57ba21,lib/settings/settings.js,lib/settings/settings.js,lib/settings/settings.js,lib/settings/settings.js,"[175, 181]","[282, 287]",130,205,True,False,EXTRACT
d2bb963076424fe4fc31551aeef3261d08d90141,0e013393c1e0549ec9f30362cfdb7d201df81a5e,3bdfc5ac59078746b6b6d29f1345ad2dd729cec5,cea8af0aa57188b9e8b26ac56840b0dc4c57ba21,lib/settings/settings.js,lib/settings/settings.js,lib/settings/settings.js,lib/settings/settings.js,"[183, 184]","[289, 290]",130,245,True,False,EXTRACT
