evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
009e00ce0fd672b10c7039d83149fbcf2aa11f2a,05aa40c611ce114deab7ce50863f687b6833f5b7,009e00ce0fd672b10c7039d83149fbcf2aa11f2a,2e8b0eb6fcfadfbcd03b128753919ed4e69471f2,left,"-1099,1","+1099,1",a/lib/numbers/matrix.js,b/lib/numbers/matrix.js
a274c5e96223c97f035c926d972028b2c7916eec,05aa40c611ce114deab7ce50863f687b6833f5b7,009e00ce0fd672b10c7039d83149fbcf2aa11f2a,2e8b0eb6fcfadfbcd03b128753919ed4e69471f2,left,"-1083,1","+1099,1",a/lib/numbers/matrix.js,b/lib/numbers/matrix.js
a6a3be0112aa5526a20f0ac8f5c94379244498f9,05aa40c611ce114deab7ce50863f687b6833f5b7,009e00ce0fd672b10c7039d83149fbcf2aa11f2a,2e8b0eb6fcfadfbcd03b128753919ed4e69471f2,left,"-883,0","+1083,1",a/lib/numbers/matrix.js,b/lib/numbers/matrix.js
2e8b0eb6fcfadfbcd03b128753919ed4e69471f2,05aa40c611ce114deab7ce50863f687b6833f5b7,009e00ce0fd672b10c7039d83149fbcf2aa11f2a,2e8b0eb6fcfadfbcd03b128753919ed4e69471f2,right,"-1083,1","+1099,1",a/lib/numbers/matrix.js,b/lib/numbers/matrix.js
b78011318a1c21077505bf1f03f98719fd5e9c37,05aa40c611ce114deab7ce50863f687b6833f5b7,009e00ce0fd672b10c7039d83149fbcf2aa11f2a,2e8b0eb6fcfadfbcd03b128753919ed4e69471f2,right,"-883,0","+1083,1",a/lib/numbers/matrix.js,b/lib/numbers/matrix.js
8f25d3714ed216a76011ed984dda20469051a4a2,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,left,"-15,1","+15,2",a/lib/numbers.js,b/lib/numbers.js
c804c72f54d76007f7baf69d041c08435ffbf57a,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,right,"-30,0","+30,1",a/lib/numbers.js,b/lib/numbers.js
8f25d3714ed216a76011ed984dda20469051a4a2,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,left,"-99,24","+99,2",a/lib/numbers/statistic.js,b/lib/numbers/statistic.js
6fedfb5b1ef71bbd4889eb0a751db8507ebe8830,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,right,"-120,22","+120,19",a/lib/numbers/statistic.js,b/lib/numbers/statistic.js
1daafdf01ddcf0c5eab5ab7f9c0bec52fe28d306,cf26abb3f226968a498e3c34392b43469d7206fd,1daafdf01ddcf0c5eab5ab7f9c0bec52fe28d306,2859d81b0cb10be3d6c3ea16145c2d31e06946ae,left,"-147,0","+149,9",a/lib/numbers/prime.js,b/lib/numbers/prime.js
