evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
8f25d3714ed216a76011ed984dda20469051a4a2,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/random.js,"[99, 122]","[99, 100]",307,96,True,False,MOVE
8f25d3714ed216a76011ed984dda20469051a4a2,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/random.js,"[99, 122]","[99, 100]",277,33,True,False,MOVE_RENAME
8f25d3714ed216a76011ed984dda20469051a4a2,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/random.js,"[99, 122]","[99, 100]",331,62,True,False,MOVE
8f25d3714ed216a76011ed984dda20469051a4a2,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/random.js,"[99, 122]","[99, 100]",357,133,True,False,MOVE
8f25d3714ed216a76011ed984dda20469051a4a2,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/random.js,"[99, 122]","[99, 100]",317,111,True,True,MOVE
8f25d3714ed216a76011ed984dda20469051a4a2,32dc53e65ecea052aa2cfede220e0c61afee9688,8f25d3714ed216a76011ed984dda20469051a4a2,1b56277caf3750e5d3acafd5b4406a3e534cbcb1,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/statistic.js,lib/numbers/random.js,"[99, 122]","[99, 100]",337,156,True,False,MOVE
79e6c088ccd9d7d6232b2f88d9d891de9c5b05c5,20573d881cca660791abcd8c026d3d93c61850d6,e91d5232cedd04bb80fbdac5bea6e0f578f42117,93f6ebd575af4b622e70ff3f03473a5780c0f27e,lib/numbers/basic.js,lib/numbers/basic.js,lib/numbers/basic.js,lib/numbers/basic.js,"[212, 211]","[170, 189]",138,185,True,True,RENAME
79e6c088ccd9d7d6232b2f88d9d891de9c5b05c5,20573d881cca660791abcd8c026d3d93c61850d6,e91d5232cedd04bb80fbdac5bea6e0f578f42117,93f6ebd575af4b622e70ff3f03473a5780c0f27e,lib/numbers/prime.js,lib/numbers/prime.js,lib/numbers/prime.js,lib/numbers/prime.js,"[29, 117]","[28, 112]",85,80,True,True,RENAME
79e6c088ccd9d7d6232b2f88d9d891de9c5b05c5,20573d881cca660791abcd8c026d3d93c61850d6,e91d5232cedd04bb80fbdac5bea6e0f578f42117,93f6ebd575af4b622e70ff3f03473a5780c0f27e,lib/numbers/prime.js,lib/numbers/prime.js,lib/numbers/prime.js,lib/numbers/prime.js,"[29, 117]","[28, 112]",101,96,True,True,RENAME
81412359b507cbeba3c3958bedf90d8bdf4eb77c,9e8c75058f58847c772fc09bdc00bc76e8588f2e,858896df0b57aeae0f22d40d542ac924d470d75b,a363e153394a019359ec89ee797eb7781f79f916,lib/numeric.ly.js,lib/numeric.ly.js,lib/numeric2.ly.js,lib/numeric.ly.js,"[1, 44]","[1, 33]",1,1,True,True,MOVE
