evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
706f28b71ff93e2df23d6175971deecf0092ac26,75406aebfbfcbfeb050114ca67835bce568aca31,706f28b71ff93e2df23d6175971deecf0092ac26,3686dbf6d79616adc419fb7af7957fcd818646bf,src/models/lineChart.js,src/models/lineChart.js,src/models/lineChart.js,src/models/focus.js,"[188, 188]","[158, 158]",95,203,True,False,EXTRACT_MOVE
706f28b71ff93e2df23d6175971deecf0092ac26,75406aebfbfcbfeb050114ca67835bce568aca31,706f28b71ff93e2df23d6175971deecf0092ac26,3686dbf6d79616adc419fb7af7957fcd818646bf,src/models/lineChart.js,src/models/lineChart.js,src/models/lineChart.js,src/models/focus.js,"[188, 188]","[158, 158]",499,186,True,False,MOVE
ca91c4ec0abc718fcb372ac25b286971f83f1089,124544df3e3883634c4bd88bb960614b07209e6b,ca37502390b5f94e64b57824e57071d65adf3f29,83d91360e92ffa1159ebdf4d7dc6f560839947c8,src/models/axis.js,src/models/axis.js,src/models/axis.js,src/models/axis.js,"[33, 306]","[34, 294]",417,349,True,False,RENAME
ca91c4ec0abc718fcb372ac25b286971f83f1089,124544df3e3883634c4bd88bb960614b07209e6b,ca37502390b5f94e64b57824e57071d65adf3f29,83d91360e92ffa1159ebdf4d7dc6f560839947c8,src/models/axis.js,src/models/axis.js,src/models/axis.js,src/models/axis.js,"[33, 306]","[34, 294]",339,343,True,False,RENAME
ca91c4ec0abc718fcb372ac25b286971f83f1089,124544df3e3883634c4bd88bb960614b07209e6b,ca37502390b5f94e64b57824e57071d65adf3f29,83d91360e92ffa1159ebdf4d7dc6f560839947c8,src/models/axis.js,src/models/axis.js,src/models/axis.js,src/models/axis.js,"[33, 306]","[34, 294]",384,353,True,False,RENAME
44c538bbf5ef25799e25b723308a50c009a79fb9,124544df3e3883634c4bd88bb960614b07209e6b,ca37502390b5f94e64b57824e57071d65adf3f29,83d91360e92ffa1159ebdf4d7dc6f560839947c8,src/models/bullet.js,src/models/bullet.js,src/models/bullet.js,src/models/bullet.js,"[7, 289]","[7, 198]",266,186,True,True,RENAME
44c538bbf5ef25799e25b723308a50c009a79fb9,124544df3e3883634c4bd88bb960614b07209e6b,ca37502390b5f94e64b57824e57071d65adf3f29,83d91360e92ffa1159ebdf4d7dc6f560839947c8,src/models/bullet.js,src/models/bullet.js,src/models/bullet.js,src/models/bullet.js,"[7, 289]","[7, 198]",281,196,True,True,RENAME
44c538bbf5ef25799e25b723308a50c009a79fb9,124544df3e3883634c4bd88bb960614b07209e6b,ca37502390b5f94e64b57824e57071d65adf3f29,83d91360e92ffa1159ebdf4d7dc6f560839947c8,src/models/bullet.js,src/models/bullet.js,src/models/bullet.js,src/models/bullet.js,"[7, 289]","[7, 198]",220,192,True,True,RENAME
44c538bbf5ef25799e25b723308a50c009a79fb9,124544df3e3883634c4bd88bb960614b07209e6b,ca37502390b5f94e64b57824e57071d65adf3f29,83d91360e92ffa1159ebdf4d7dc6f560839947c8,src/models/bulletChart.js,src/models/bulletChart.js,src/models/bulletChart.js,src/models/bulletChart.js,"[6, 227]","[6, 181]",304,222,True,True,RENAME
44c538bbf5ef25799e25b723308a50c009a79fb9,124544df3e3883634c4bd88bb960614b07209e6b,ca37502390b5f94e64b57824e57071d65adf3f29,83d91360e92ffa1159ebdf4d7dc6f560839947c8,src/models/bulletChart.js,src/models/bulletChart.js,src/models/bulletChart.js,src/models/bulletChart.js,"[6, 227]","[6, 181]",264,228,True,False,RENAME
f41a4db9b9f5308f1fbbacba4fcc5ff7261744cc,6a6e0d73296c855f538058d30856a9e75fc0ba4a,76b97fde13ce4d09ae2fc53be456abf4b5206908,7e9b8c013c4d8e8ad5775062c438c842bc112585,lib/d3.v3.js,lib/d3.v3.js,src/models/lineWithFocusChart.js,lib/d3.v3.js,"[0, -1]","[3, 3]",79,291,True,False,EXTRACT_MOVE
f41a4db9b9f5308f1fbbacba4fcc5ff7261744cc,6a6e0d73296c855f538058d30856a9e75fc0ba4a,76b97fde13ce4d09ae2fc53be456abf4b5206908,7e9b8c013c4d8e8ad5775062c438c842bc112585,lib/d3.v3.js,lib/d3.v3.js,src/models/lineWithFocusChart.js,lib/d3.v3.js,"[0, -1]","[3, 3]",377,291,True,False,EXTRACT_MOVE
f41a4db9b9f5308f1fbbacba4fcc5ff7261744cc,6a6e0d73296c855f538058d30856a9e75fc0ba4a,76b97fde13ce4d09ae2fc53be456abf4b5206908,7e9b8c013c4d8e8ad5775062c438c842bc112585,lib/d3.v3.js,lib/d3.v3.js,src/models/lineWithFocusChart.js,lib/d3.v3.js,"[0, -1]","[3, 3]",79,886,True,False,EXTRACT_MOVE
f41a4db9b9f5308f1fbbacba4fcc5ff7261744cc,6a6e0d73296c855f538058d30856a9e75fc0ba4a,76b97fde13ce4d09ae2fc53be456abf4b5206908,7e9b8c013c4d8e8ad5775062c438c842bc112585,lib/d3.v3.js,lib/d3.v3.js,src/models/indentedTree.js,lib/d3.v3.js,"[0, -1]","[3, 3]",26,886,True,False,EXTRACT_MOVE
f41a4db9b9f5308f1fbbacba4fcc5ff7261744cc,6a6e0d73296c855f538058d30856a9e75fc0ba4a,76b97fde13ce4d09ae2fc53be456abf4b5206908,7e9b8c013c4d8e8ad5775062c438c842bc112585,lib/d3.v3.js,lib/d3.v3.js,src/models/indentedTree.js,lib/d3.v3.js,"[0, -1]","[3, 3]",26,889,True,False,EXTRACT_MOVE
