evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
b866a447c226190121ce2dc1f5e053aeec3e8e4c,dfcc649c5984a578f8b93388a0bf788b041d1c9f,f4a3a3bc70b6bb467fcb802de0ca2d668c8be57f,6909416e9a893868e87f00f7ce49e5ad4f7c1c10,left,"-12,0","+12,1",a/src/ol/renderer/canvas/TileLayer.js,b/src/ol/renderer/canvas/TileLayer.js
56edbb2d736d1f8aad6b03075d57d939d9f16513,dfcc649c5984a578f8b93388a0bf788b041d1c9f,f4a3a3bc70b6bb467fcb802de0ca2d668c8be57f,6909416e9a893868e87f00f7ce49e5ad4f7c1c10,right,"-12,0","+12,1",a/src/ol/renderer/canvas/TileLayer.js,b/src/ol/renderer/canvas/TileLayer.js
560931e9763cf990cae16083e6707b1ef8b35aec,874b850d76880d8a319f507f934421290cec44ef,7af9697b405e977a056bbc3803276b9861b10f3a,f448d7179a613922c23b7f8d45f445c4f075f417,left,"-96,1","+96,3",a/src/ol/source/Zoomify.js,b/src/ol/source/Zoomify.js
ad476f608647c71ab6690879f69c494cbf7bbc10,874b850d76880d8a319f507f934421290cec44ef,7af9697b405e977a056bbc3803276b9861b10f3a,f448d7179a613922c23b7f8d45f445c4f075f417,right,"-91,1","+92,1",a/src/ol/source/Zoomify.js,b/src/ol/source/Zoomify.js
560931e9763cf990cae16083e6707b1ef8b35aec,7af9697b405e977a056bbc3803276b9861b10f3a,560931e9763cf990cae16083e6707b1ef8b35aec,0fd336daa5b6a761b95a6b5e1ad5351405d8211c,left,"-20,2","+20,4",a/src/ol/source/XYZ.js,b/src/ol/source/XYZ.js
1416e30127d8b545aea13136e03f289d3306cef1,7af9697b405e977a056bbc3803276b9861b10f3a,560931e9763cf990cae16083e6707b1ef8b35aec,0fd336daa5b6a761b95a6b5e1ad5351405d8211c,right,"-20,2","+20,3",a/src/ol/source/XYZ.js,b/src/ol/source/XYZ.js
902ed53999bb398e101c824029bee601bffdf7bb,6666014721cb0d4a63de8e59933ac80bdeb01e64,852f6552c7dae58996893ba271c672d082f71fca,c851f6c6bfed9f62fada321149c68e287113d915,left,"-27,1","+27,2",a/src/ol/TileCache.js,b/src/ol/TileCache.js
9f4dbd3c350edb976ef6907e945af3299e2dcb2c,6666014721cb0d4a63de8e59933ac80bdeb01e64,852f6552c7dae58996893ba271c672d082f71fca,c851f6c6bfed9f62fada321149c68e287113d915,right,"-18,1","+18,1",a/src/ol/TileCache.js,b/src/ol/TileCache.js
b91e1a893d81c1888a34d6622f6aa649a2fc63a1,6666014721cb0d4a63de8e59933ac80bdeb01e64,852f6552c7dae58996893ba271c672d082f71fca,c851f6c6bfed9f62fada321149c68e287113d915,right,"-27,1","+18,1",a/src/ol/TileCache.js,b/src/ol/TileCache.js
7d77d05a575ab98391ae9de4038585bd2bfa1bee,1de22f77dc2f17ab65c099390b676034135b7e06,7d77d05a575ab98391ae9de4038585bd2bfa1bee,3f69066d79ad840be82b9a5854dbc2ebe9911728,left,"-87,1","+87,1",a/src/ol/source/TileImage.js,b/src/ol/source/TileImage.js
028caa46647c8749b8c72feb4105bedc9dc3a7fb,1de22f77dc2f17ab65c099390b676034135b7e06,7d77d05a575ab98391ae9de4038585bd2bfa1bee,3f69066d79ad840be82b9a5854dbc2ebe9911728,left,"-86,1","+87,1",a/src/ol/source/TileImage.js,b/src/ol/source/TileImage.js
2f4d31c8f408add8c0c7abbd526ea0b70fe34714,1de22f77dc2f17ab65c099390b676034135b7e06,7d77d05a575ab98391ae9de4038585bd2bfa1bee,3f69066d79ad840be82b9a5854dbc2ebe9911728,right,"-84,1","+86,1",a/src/ol/source/TileImage.js,b/src/ol/source/TileImage.js
028caa46647c8749b8c72feb4105bedc9dc3a7fb,1de22f77dc2f17ab65c099390b676034135b7e06,7d77d05a575ab98391ae9de4038585bd2bfa1bee,3f69066d79ad840be82b9a5854dbc2ebe9911728,left,"-65,2","+65,3",a/src/ol/source/UrlTile.js,b/src/ol/source/UrlTile.js
4aff3d063195be4f0e0b2c099d5bce425e2acacb,1de22f77dc2f17ab65c099390b676034135b7e06,7d77d05a575ab98391ae9de4038585bd2bfa1bee,3f69066d79ad840be82b9a5854dbc2ebe9911728,right,"-63,2","+69,1",a/src/ol/source/UrlTile.js,b/src/ol/source/UrlTile.js
028caa46647c8749b8c72feb4105bedc9dc3a7fb,1de22f77dc2f17ab65c099390b676034135b7e06,7d77d05a575ab98391ae9de4038585bd2bfa1bee,3f69066d79ad840be82b9a5854dbc2ebe9911728,left,"-79,3","+80,3",a/src/ol/source/UrlTile.js,b/src/ol/source/UrlTile.js
4aff3d063195be4f0e0b2c099d5bce425e2acacb,1de22f77dc2f17ab65c099390b676034135b7e06,7d77d05a575ab98391ae9de4038585bd2bfa1bee,3f69066d79ad840be82b9a5854dbc2ebe9911728,right,"-76,5","+81,2",a/src/ol/source/UrlTile.js,b/src/ol/source/UrlTile.js
c6aef2a7da24f3dac6e60395c6811661d677c278,a445d80c03694d712a29c755f6c20c336bb86ae5,7911ab1d1847b0588c04e22b286f2b8867e0ca65,394c338ff882a940e598dc7ce05c308ca56ecf61,right,"-693,1460","+693,1458",a/src/ol/render/canvas/replay.js,b/src/ol/render/canvas/replay.js
50e314adbd940a37d509c33c1ea21f852c7bab12,a44cc1a3a6c79663eed9e03b73833a543dc73908,50e314adbd940a37d509c33c1ea21f852c7bab12,9e7a2ae17a8f29806245ce3224f70d3ce1c856e3,left,"-304,0","+302,5",a/src/ol/format/kml.js,b/src/ol/format/kml.js
9e7a2ae17a8f29806245ce3224f70d3ce1c856e3,a44cc1a3a6c79663eed9e03b73833a543dc73908,50e314adbd940a37d509c33c1ea21f852c7bab12,9e7a2ae17a8f29806245ce3224f70d3ce1c856e3,right,"-304,0","+302,5",a/src/ol/format/kml.js,b/src/ol/format/kml.js
ffc24e892eeb7d74ff0640bf245660aac232ae2c,46a1140583c02ed5ea2588c2a1c1779e2a7cbd60,f95b154117d6d2218bba73bd82a48c8a6b7176f1,cb8e4e0ee789f035b8985e3b29e10dc719ae035f,left,"-582,2","+582,3",a/src/ol/interaction/modifyinteraction.js,b/src/ol/interaction/modifyinteraction.js
c5fe7df2e47ea59286535abb06a2a4a202839c45,46a1140583c02ed5ea2588c2a1c1779e2a7cbd60,f95b154117d6d2218bba73bd82a48c8a6b7176f1,cb8e4e0ee789f035b8985e3b29e10dc719ae035f,right,"-580,4","+604,2",a/src/ol/interaction/modifyinteraction.js,b/src/ol/interaction/modifyinteraction.js
ffc24e892eeb7d74ff0640bf245660aac232ae2c,46a1140583c02ed5ea2588c2a1c1779e2a7cbd60,f95b154117d6d2218bba73bd82a48c8a6b7176f1,cb8e4e0ee789f035b8985e3b29e10dc719ae035f,left,"-657,2","+658,3",a/src/ol/interaction/modifyinteraction.js,b/src/ol/interaction/modifyinteraction.js
