evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
c5fe7df2e47ea59286535abb06a2a4a202839c45,46a1140583c02ed5ea2588c2a1c1779e2a7cbd60,f95b154117d6d2218bba73bd82a48c8a6b7176f1,cb8e4e0ee789f035b8985e3b29e10dc719ae035f,src/ol/interaction/modifyinteraction.js,src/ol/interaction/modifyinteraction.js,src/ol/interaction/modifyinteraction.js,src/ol/interaction/modifyinteraction.js,"[580, 583]","[604, 605]",531,263,True,False,EXTRACT
c5fe7df2e47ea59286535abb06a2a4a202839c45,46a1140583c02ed5ea2588c2a1c1779e2a7cbd60,f95b154117d6d2218bba73bd82a48c8a6b7176f1,cb8e4e0ee789f035b8985e3b29e10dc719ae035f,src/ol/interaction/modifyinteraction.js,src/ol/interaction/modifyinteraction.js,src/ol/interaction/modifyinteraction.js,src/ol/interaction/modifyinteraction.js,"[656, 657]","[679, 683]",531,263,True,False,EXTRACT
b3b7579f84973df48f5e1c551a937524bd8c3b29,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,"[214, 216]","[227, 228]",214,325,True,True,EXTRACT
b3b7579f84973df48f5e1c551a937524bd8c3b29,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,"[214, 216]","[227, 228]",214,296,True,True,EXTRACT
b3b7579f84973df48f5e1c551a937524bd8c3b29,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,"[247, 248]","[313, 314]",214,325,True,False,EXTRACT
b3b7579f84973df48f5e1c551a937524bd8c3b29,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,"[247, 248]","[313, 314]",214,296,True,False,EXTRACT
41325053131a54137f38535bdb0377cdb12cf42e,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,"[333, 366]","[384, 438]",325,398,True,True,EXTRACT
b3b7579f84973df48f5e1c551a937524bd8c3b29,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,"[264, 298]","[333, 366]",214,325,True,False,EXTRACT
b3b7579f84973df48f5e1c551a937524bd8c3b29,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,src/ol/style/circlestyle.js,"[264, 298]","[333, 366]",214,296,True,True,EXTRACT
e9e76954b2dc594242fed7615153970a18f68c90,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,"[231, 233]","[244, 245]",231,313,True,True,EXTRACT
e9e76954b2dc594242fed7615153970a18f68c90,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,"[231, 233]","[244, 245]",231,350,True,True,EXTRACT
e9e76954b2dc594242fed7615153970a18f68c90,87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,src/ol/style/regularshapestyle.js,"[274, 275]","[337, 338]",231,313,True,False,EXTRACT
