merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
90e7151fe48944367785bb645b8326bee7eb2ceb,8d5ae2008cdb14cc1167d185166b02155bc8222d,2c827e2985e22a063a08ec2618fa4bb76109e9ce,[],['package-lock.json'],0,5,0,0,0
87cc257daf66d739fcd0cfcbbedeee5c5157c70a,e8ff6656d3d0fb4150d07c535622c6cd26a059db,69ae6c85cf62a943b6e33c521cc6bd2051a994b3,[],"['package-lock.json', 'package.json']",0,3,0,0,0
dfcc649c5984a578f8b93388a0bf788b041d1c9f,f4a3a3bc70b6bb467fcb802de0ca2d668c8be57f,6909416e9a893868e87f00f7ce49e5ad4f7c1c10,['src/ol/renderer/canvas/TileLayer.js'],[],1,1,1,0,0
874b850d76880d8a319f507f934421290cec44ef,7af9697b405e977a056bbc3803276b9861b10f3a,f448d7179a613922c23b7f8d45f445c4f075f417,['src/ol/source/Zoomify.js'],[],1,1,1,0,0
7af9697b405e977a056bbc3803276b9861b10f3a,560931e9763cf990cae16083e6707b1ef8b35aec,0fd336daa5b6a761b95a6b5e1ad5351405d8211c,['src/ol/source/XYZ.js'],[],1,1,1,0,0
6666014721cb0d4a63de8e59933ac80bdeb01e64,852f6552c7dae58996893ba271c672d082f71fca,c851f6c6bfed9f62fada321149c68e287113d915,['src/ol/TileCache.js'],[],1,1,1,0,0
1de22f77dc2f17ab65c099390b676034135b7e06,7d77d05a575ab98391ae9de4038585bd2bfa1bee,3f69066d79ad840be82b9a5854dbc2ebe9911728,"['src/ol/source/TileImage.js', 'src/ol/source/UrlTile.js']",[],2,3,3,0,0
b9afb8d146ff9653a37d3945b7b6be1ba9d8ca42,c06bea9a4e0be46e2731dcd08a9259350971016e,000d3d33a0892f50f10114d72b934ca5a4e081d0,['externs/olx.js'],[],1,1,1,0,0
48c1d09a95a11e974d05582e5d4c15c5492c0254,6092e6ecbb8fa5c9cb1e845abc31d2a333395bfb,04f070b159a2e2f3bb5bd5b6489bfd0b424acf8c,[],['changelog/upgrade-notes.md'],0,1,0,0,0
a445d80c03694d712a29c755f6c20c336bb86ae5,7911ab1d1847b0588c04e22b286f2b8867e0ca65,394c338ff882a940e598dc7ce05c308ca56ecf61,['src/ol/render/canvas/replay.js'],[],1,1,1,0,0
a44cc1a3a6c79663eed9e03b73833a543dc73908,50e314adbd940a37d509c33c1ea21f852c7bab12,9e7a2ae17a8f29806245ce3224f70d3ce1c856e3,['src/ol/format/kml.js'],[],1,1,1,0,0
46a1140583c02ed5ea2588c2a1c1779e2a7cbd60,f95b154117d6d2218bba73bd82a48c8a6b7176f1,cb8e4e0ee789f035b8985e3b29e10dc719ae035f,['src/ol/interaction/modifyinteraction.js'],[],1,2,2,2,0
7d2c8be39105cb439653fd623acd90f27a8ccc12,4a66289e5a6e3f18655af3974ebdead41945deeb,4e7f5582345433923113a7992d00a200208efab4,['src/ol/interaction/translateinteraction.js'],[],1,1,1,0,0
87bb1b956b2decbd1faf5894295944db49f5b011,b2e419654bffc1c1bc2844a52014e0d757267187,dcd81ab4b3956767535682ccf44d4f2fcb1f28c0,"['src/ol/style/circlestyle.js', 'src/ol/style/regularshapestyle.js']",['test/spec/ol/style/regularshapestyle.test.js'],2,7,6,14,8
e0765240a26fe8070fba2e09665e47c9e01632b8,b0698443ab6ffc179f87c78fd93726a653fdc96a,03b7d6ee92959428262a7fd5aea9a9e710e53e3f,['src/ol/interaction/drawinteraction.js'],[],1,1,1,0,0
610eefb932ed874c05eebb8087f22fac06a3f306,8b3863908261d2300b823fe298f29b97b8f40123,2f2b6dd5107a8aa84106ec655c395dc77459d285,['src/ol/map.js'],[],1,1,1,0,0
3b3b5013ad3d6428fa435ca3f764a6522cb3e868,9961e489cb19a4384ed575061849467bd9add544,bed70842005992e330f606a7a804d5dd745b32cf,['src/ol/interaction/dragzoominteraction.js'],[],1,1,1,0,0
7ce7bb21870891c782bbf890dd6d492e916303c1,b13256735e4883b3354f4ea3ae31f7f5cd740a52,73fcff641ee897b322bdc851b7f0475a343e72eb,['examples/vector-layer.js'],[],1,2,2,0,0
2342f83a487af0f684ac88b49ee9d594b8bf42e2,8fb44e024b772389148b4f6a0759dd7af68554a5,94c22055be674a65ed104a0f431552b97a1c2dc4,[],"['build.py', 'src/objectliterals.jsdoc']",0,2,0,0,0
a0b71d22e499dee397d9847cdf3ec5a42311fa89,50e5ffc8d6142cb0d6f71dd8d2bfab4b7d39d98b,01d4990a1bf4c75c972fd1b121f894e1331f6a1a,"['src/ol/feature.js', 'src/ol/geom/geometry.js', 'src/ol/geom/linestring.js', 'src/ol/geom/point.js', 'src/ol/geom/polygon.js']",['test/spec/ol/geom/linestring.test.js'],5,21,17,27,6
b59eec7a833e64a6c3b5239c307f902e5ce9e746,12c96510c186f2fce46117f15328388c23661d41,b242756f03ae73ac03923cadc1ef1d0395efe8e3,"['src/ol/renderer/canvas/canvasimagelayerrenderer.js', 'src/ol/renderer/canvas/canvasmaprenderer.js', 'src/ol/renderer/canvas/canvastilelayerrenderer.js', 'src/ol/renderer/dom/domimagelayerrenderer.js', 'src/ol/renderer/webgl/webglmaprenderer.js', 'src/ol/source/imagewmssource.js', 'src/ol/source/tilewmssource.js']",[],7,9,9,5,0
35d51584540e15a3c7d7f49d86e294bde81c81fb,cbc71686df18d4be96270f4f6642a6a6763806fd,93e605b119e03157d5a3a7f3ac966fb198e78f27,"['src/ol/attribution.js', 'src/ol/geom/geometry.js', 'src/ol/geom/geometrycollection.js', 'src/ol/geom/linestring.js', 'src/ol/layer/vectorlayer.js', 'src/ol/map.js', 'src/ol/proj/proj.js', 'src/ol/renderer/canvas/canvasvectorlayerrenderer.js', 'src/ol/source/imagewmssource.js', 'src/ol/source/tilewmssource.js', 'src/ol/source/vectorsource.js', 'src/ol/source/wmssource.js', 'src/ol/style/style.js', 'src/ol/tilegrid/tilegrid.js', 'src/ol/tilegrid/wmtstilegrid.js', 'src/ol/tilegrid/xyztilegrid.js']","['src/objectliterals.jsdoc', 'src/ol/layer/vectorlayer.exports', 'src/ol/source/vectorsource.exports']",16,36,20,0,0
ed5b8b651214895450e57d376de30a6bede5e932,fafb7e487e2e67eb01cfa06027bbf5d5be9c04af,d147d11b518c92878263b3f6ca882780e133097a,['src/ol/feature.js'],['src/objectliterals.jsdoc'],1,6,5,0,0
d2fd6956352f005d9f800db9f4ea12e377e951b7,a06ba8d4aac87dde2b16c82ca84605ac2d9c89ad,1ac93d09c9fc628175f731a24e1dc3b25778ccb7,"['examples/icon.js', 'src/ol/feature.js', 'src/ol/layer/vectorlayer.js', 'src/ol/renderer/canvas/canvasvectorlayerrenderer.js', 'src/ol/source/vectorsource.js', 'src/ol/style/style.js']","['src/objectliterals.jsdoc', 'src/ol/source/vectorsource.exports', 'test/spec/ol/source/vectorsource.test.js']",6,28,22,145,52
424f8fcc6d0944c30f8759085ff60bdd8bf15d14,2f3a85a86a3e33880277ec7c4ba7b3fd8fcbf2be,8a15c33b866406f2f929ba9fa753936c4bd335d2,"['src/ol/geom/linestring.js', 'src/ol/geom/point.js', 'src/ol/renderer/canvas/canvasvectorlayerrenderer.js', 'src/ol/renderer/layerrenderer.js', 'src/ol/renderer/maprenderer.js', 'src/ol/source/imagewmssource.js', 'src/ol/source/tilewmssource.js', 'src/ol/source/wmssource.js', 'src/ol/style/style.js']","['src/objectliterals.jsdoc', 'test/spec/ol/source/wmssource.test.js']",9,22,12,0,0
1948233d1f4e01443e324f8ebb402b0a262d91f4,369d692a9067f57af281ce860797af01ba32fcb7,5673feb48fbccb8aa364a36fc059ab3961c5dd5b,[],['test/spec/ol/parser/ogc/gml_v2.test.js'],0,21,0,0,0
8273d880d525c0e9d9fe51b9e58b621b0ccd12ad,89ab68cde72da8c6ad9b4bc7ca2920e79260ded5,76d1a0c30e89bbe860ba5710776ea036bae7cfb2,[],[],0,0,0,0,0
fad036aa53a7b5c7c55dc4751318e643a36df28b,b20a2bae94493881b4969ad6b84a4b7d72e02914,a0b1d74bb57da7dec980bb1208df32b397c4a4c2,[],['src/objectliterals.exports'],0,1,0,0,0
060edb2070349cbdb75e304c7d764f3d3af148cb,ac10bb6ca50c733f079b94f7890cbcf5fb620570,ab19d255c74b839488d219a90bb94c89fa37ed8a,['src/ol/style/shape.js'],[],1,2,2,0,0
66b790294d285dcb33ad4ddcb9c81080c3aa5e60,586f393492c8492df9ff1f8db0722c06124b9cee,1bac674ecacbebab263fa18bc56a224e52d5e77e,['src/ol/source/tiledwmssource.js'],['test/spec/ol/tileurlfunction.test.js'],1,5,3,0,0
176f18c9378de7578243254ce7ef349a13fc3cfa,d642628545d4dcc05288e63689844bf840181252,eef683fcdbb6a92085defab6f0110ccc9da91c06,['src/ol/renderer/canvas/canvasrenderer.js'],[],1,2,2,3,3
61e4452c8319fc26fc3c63509a60376fc64fe47a,089b7013c2525957c0265658c58ab76c09837c56,386b97cf9a152c72211558867258cba54db85159,['src/ol/renderer/canvas/canvasrenderer.js'],[],1,1,1,0,0
089b7013c2525957c0265658c58ab76c09837c56,dafa48da2e5875e017dbda68171591da1724261a,f735a597fe13813c254c81cfcb5d8556303e76b8,['src/ol/renderer/canvas/canvasrenderer.js'],['test/ol.html'],1,2,1,0,0
386b97cf9a152c72211558867258cba54db85159,dafa48da2e5875e017dbda68171591da1724261a,f735a597fe13813c254c81cfcb5d8556303e76b8,['src/ol/renderer/canvas/canvasrenderer.js'],['test/ol.html'],1,2,1,0,0
74281d2b009edb635d499b95e58585df757fccd5,8a38f9aa9d7c8b83d4adde0c0ac94966e83d5314,bb5170994577bb1fe0d8a71636a5a9b7852b2469,['src/ol/renderer/canvas/canvasrenderer.js'],[],1,1,1,0,0
4a8ae08c1c876cd0d390ff088a9d7c31500527b4,0edb8dc5029ed05a84f6cfbc1e2918f66da38b93,c61fd1dccf18e97dc5a836bc20928be367f60cc9,[],['.gitignore'],0,1,0,0,0
b643cd2fefd51167f8dc036cc49c963d598dd7af,78f8ed04dd3275c9252ac9bbd2ada9a078cd3921,8ab2e5dfd23dfaf2d06733f53da0db2a0b0ca19d,[],[],0,0,0,0,0
34a450a00932b7401dcd0a36d1740904e33d2eb8,22e7dc67d6d411fae394d47700a1fc476a4309b9,d76eea8ac43a4720a69f48af2fa5ecd0e4c980d7,['src/ol/Map.js'],[],1,1,1,3,0
d990be61af119297db631717a222b46bf82b5a52,82f204f30c3e9a1dbb3444fbadcc5665ab87d4c7,116c26422ed1cf3c6915186099613de61248ef33,"['src/api/loc.js', 'src/api/map.js', 'src/ol/Map.js']",[],3,9,9,3,1
82f204f30c3e9a1dbb3444fbadcc5665ab87d4c7,818ca7016a54170c096117b51a27367ae92833de,94e6146b8aa0d121aff3c085a3185c46096b6e08,['src/api/map.js'],[],1,2,2,0,0
2ff5a7b5995763a20c58aceb7c047bf8747cea18,1d957c7f5c229f43fc4c1f62bd25aa48a8b69acb,845e612b68dc698b524d7ed24793ea69cde1116a,['lib/OpenLayers/Handler/MouseWheel.js'],[],1,1,1,0,0
5c7b99373eaf2e8fbeb0d6ed55d6401739faaa28,dc69749e3b1622839daa1223c2281d7d13ed401e,debbba64543e3b205754e34d03ffb059ecfa8e3c,[],['notes/2.13.md'],0,1,0,0,0
176e00e902f300942cc595a0cf601f4376025a72,9d0dd67843446f400631b8b0c235a3dba4504378,3fd1cecf04473ca540d2bf78dcfc24e535e5485a,[],['tests/Layer/Grid.html'],0,1,0,0,0
dd97bed3b41334d865eaf1c337fbdb582bfe65ed,6bbcb20fac614936e85afc05e27c866f62810824,cb27e9def4d00a215d7f1d30cd485f751c2b0dc7,['lib/OpenLayers.js'],[],1,1,1,0,0
99ca32540d4424b812ccc37c6052df31a4d8d1bc,d3db3011a32d6fb5f9b63b63e582f46643606b16,0aaa5265b459a01456abcecba42aad1fcb6e041d,[],['tests/Tile/Image.html'],0,1,0,0,0
8f57e343767cf45618217f79024be05da3136039,e16062808648b24cc544bfe0e97476f820bf2916,0aaa5265b459a01456abcecba42aad1fcb6e041d,[],['notes/2.12.md'],0,1,0,0,0
2f700bd894188aefb8d421118f3b59f98bf497f6,3cbd7b4b40ceba50ee3ae58b383a958f556976de,e1ea3471e0c33c0afe158c6643f85950b0de6290,[],['apidoc_config/Menu.txt'],0,1,0,0,0
30c5b11d99be8de888c848574d9b9c0bd8cd8d9b,f65bc5e764e6e5e99fe170262a38ad5d2a61db87,2d7fa6810a491ec8f482bcdeaea9210fd5f8936b,['examples/fullScreen.js'],[],1,1,1,0,0
8360ddefe35ba3baf20e2301cb1ad8487efe6063,735f49cca07c5756322cc1a747aae2e9ad286fba,2f802750a3d5e0fdde3f1382abb5acc87e2ad4a9,['lib/deprecated.js'],['tests/list-tests.html'],1,2,1,44,44
eac8bb5307d3126c785004fdf41d578043731be4,5e6fbfdc56ade71349b4187efb19640b6a2948ef,97bf974b6b4dc01f795b3e93ce7205736abe182f,['lib/OpenLayers/Format/OWSCommon/v1.js'],['tests/Format/WMTSCapabilities/v1_0_0.html'],1,2,1,0,0
db4cbac247af73c5504020b83e52c469ef4296ca,085c1156c21f8ae0d93adc4d42aa37075c60bf1b,cca0bf5e38b714e3f940a1ec6e32bc5d0227fe47,['lib/OpenLayers/Tile.js'],[],1,1,1,0,0
