merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,['src/path/PathItem.Boolean.js'],[],1,3,3
d52eafc259bbd52016e91b797f3caff625d57351,7583e6ed5f1be63b1df6a03e6e3ae60f044cd6b0,3c2588fdec1035d3960b46d5c7271d6ed5e2b7ff,"['src/path/PathItem.Boolean.js', 'src/path/PathItem.js']",[],2,8,8
c9100a2b61c31ea59a30d8de80f2cc9480ed8ca5,09785a504b575cc6a053d56ba8d5a9bbb5eb9f52,acfe6cddeb2d548048972bff6d9f355e2c1383af,['src/path/PathItem.Boolean.js'],[],1,1,1
5a46620768796d3b433c59427cf041a6e5a55f17,fc4bdf4bd0227c73b0aea6b440894cc0ef045d59,55909b8bd5d267cdb0338277ba32094d2b0d4544,['src/path/PathItem.Boolean.js'],[],1,3,3
fa9eb8be9909df3abfe102dde982e83a13f99bb3,66717868cd2b71b32133cf9737b81baab501f868,cf4e5c29838bfa382d67fda254b047372de5e20a,['src/path/PathItem.Boolean.js'],[],1,2,2
2721ceb579206276ff429d03e11ab5dd8cdbe8fa,183f4909d0a8025c1b138e33fe7f705bede2a82c,b1c78c0ce000f588d09c63482a067286bc4cba6b,[],['package.json'],0,1,0
6fd74832dd83e7fd59d51541769ae0baffe9ecda,203e52e8cfcea545d9a4b29025645d84201696ea,a677d289e5750c205fdf2ac26a61522ba83f4a28,[],['README.md'],0,1,0
d522e4aec24a2c55005e9632c0cc8de5128f229c,5c184e381b43914082d0f4a5aae9992641108dca,9f0a774fd0f81e980d4c49ef2e44512436fb7005,['src/path/PathItem.Boolean.js'],[],1,3,3
5c184e381b43914082d0f4a5aae9992641108dca,70e34ef70599ec7c96e9f3f870af1268ab7d435a,4371e9219115f98ca54faf255bbf5ad8eb07f93b,['src/path/PathItem.Boolean.js'],[],1,1,1
70e34ef70599ec7c96e9f3f870af1268ab7d435a,a2208f218c397586b791a9251555e8ec41895f8c,f0fdb804ecf08a58c4f52403c83bb309dea44550,"['src/path/Curve.js', 'src/util/Numerical.js']",[],2,3,3
a2208f218c397586b791a9251555e8ec41895f8c,51739e6e27bd39dd76945b22d5ba6b8b5c79e092,cdfd21ddd3ac50f2eb35618d6d9a1efa7c00cffd,['src/util/Numerical.js'],[],1,4,4
51739e6e27bd39dd76945b22d5ba6b8b5c79e092,74844d8a2bb891fcfb3780208d2074f5176b953c,8ad067ec6ccbed0ad5d1438b7eeda57435b1241e,['src/path/PathItem.Boolean.js'],[],1,3,3
91865be8a367e85ae885d4198ec4dd766cadfad3,878be7962e4f0dcf658f51aa6e916a116a3bb822,45c86a3035fffebf519a17d58a8894f86779c75d,"['src/basic/Line.js', 'src/path/Curve.js', 'src/path/PathItem.Boolean.js', 'src/util/Numerical.js']",[],4,18,18
6d47824a69cd5dde7d895393f87bab9532dc63e8,b193cf0fe8db24b1fb3e003587b0d6d5b4e68e13,2a08a88461ed8a288be0438d48c52e0558e67e00,['src/path/PathItem.Boolean.js'],[],1,2,2
1a836a168fc52dbaa0020afb53e0c7e91fa824ac,3219b36c3da47c3d70faf8fcf4ade9f880ae422d,4129231504981fa9b95326e7146b949801492502,['src/item/Item.js'],[],1,1,1
94090d144ff2635c476730c51ae21108c2a5081a,9e799d09eb441ac7ead4436f848bd68d5d893364,f95982c3655b458f121bb71ae39ebb380807e26e,['src/options.js'],[],1,1,1
87ded4dcffee9e7ce6cb9d0b1749a4349221188e,a798b553a2ec0cc43f6de33cfd15d3d97c6c4207,2010fefcbe41d6b34a1f2840f326960cd61510c1,"['src/path/PathItem.Boolean.js', 'src/path/PathItem.js']",[],2,4,4
ea63d4c2882ba32c443b428f20e54fab35560d3c,35890383d8f16d5674ba5c70a1bf75f3743713c4,22e62a05272141acf14ea7e33e5537031012835d,"['src/core/Base.js', 'src/style/Color.js']",[],2,2,2
57f1763abe09b33fb03f35295d3a64f8fbf5996b,541ac6acce6139e2cc0ab86710fddcff589ac332,a26d1ed0fc1b363bd7bf0d107a788113ae6cad10,['src/core/PaperScope.js'],[],1,1,1
ef972949c8d8663e0ed7982074ae42c76f237aea,63e4bd5db2e7708759a402a0ea8d9ad75ac3110f,ac04029f6e21c227d787744c8fc3bc6940bd24f4,['src/path/Curve.js'],[],1,1,1
979428b6dc6c181cfd7a62af37ba49a8f9ad993b,fb27f92edee7509c31884e9229f9494215504945,bec1a91812e14839b74e5334cfeb974feea4a504,['src/path/Curve.js'],[],1,1,1
e0856a0d319ed75473715be17dd9584f237115d5,0b4bc678bc8cf9b512b7e15487085d620cb8b438,1637127e0964c096ac882dfa1d9f471c2d03aae2,['src/item/Raster.js'],[],1,1,1
fce29e4b7577e93069f4a3ea64d94219e1d769be,45699e05b5e2397a4ef8405f9d9da833b5dd14e5,1e9b3a630cd4973c66599c38486b80860324ac40,"['src/path/Curve.js', 'src/path/PathItem.Boolean.js']",[],2,10,10
debce28bc4aab32de59710d3df5b5440a0e2577a,381ee98cbc825e1908023e9f7009bb0d8f86ff87,f425c931a8c5f07410553aab300f7f554364c50e,['src/path/Curve.js'],[],1,1,1
10553c1bd858aca5f23e816fb9602b94a5ac28a4,73b018f0066df0db3932025a0a267a8c8433c598,e8fed1bdf0437bfa4033f22d4614ce61bdd6a898,['src/path/Curve.js'],[],1,1,1
2be9724a25285768c6ed2b1b647d9711b7d4fc22,381ee98cbc825e1908023e9f7009bb0d8f86ff87,f425c931a8c5f07410553aab300f7f554364c50e,['src/path/Curve.js'],[],1,1,1
a52c030f37c16c161c9dc61ba4120a5c0e5d638e,73b018f0066df0db3932025a0a267a8c8433c598,e8fed1bdf0437bfa4033f22d4614ce61bdd6a898,['src/path/Curve.js'],[],1,1,1
1509a934b021c49592f410cf77b7e9f748cf1eaf,e3741f5708ed1db7c987f6072966bb308e0d6dd2,d43cc28aace05f971278b6cd9cba9c6abeeacc33,[],['build/preprocess.sh'],0,1,0
3b50b3534f24079f96bef95aeb21a4d8c2204cf6,44ad4d885ae4b2ec18646393d6fc30d73f87f7a9,777e1c6275c09668b0567df85bd667a62792c126,[],['dist/paper.js'],0,1,0
