evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
468bb049199a443abe544d5f6e40815a30091418,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,left,"-246,0","+246,6",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
9af936514ec4b9c03045d04e5ea980637bd2dcbc,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,right,"-225,80","+225,81",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
8bbbe149eac1df88e56fd6d8ea77fd1e66170e42,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,right,"-231,82","+226,80",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
f77621f67d333c94e51d0c9689a51f0395b00c73,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,right,"-268,87","+231,82",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
61df327bc2d9dd019eb9d4d1f6ef9ec94c8025f9,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,right,"-246,1","+268,87",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
7583e6ed5f1be63b1df6a03e6e3ae60f044cd6b0,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,left,"-624,2","+613,3",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
acd6b143db77aed77161aeb76d9b5f518f4dd84d,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,left,"-647,23","+647,24",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
50c910b03a566be57586b32d81f4c182ee02c557,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,left,"-647,24","+647,23",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
1c7d19bba023d43e2b89a81d0bad2ea04038f51b,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,left,"-635,22","+635,24",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
31aa68b2d199e676d91e279bda69d8b3c7e632db,69c124c36c93b4e93b8ec4bee9ac1d8d58966022,6ad5bfafeede7f2ac2f6941e0bc650346be30eb4,535607931c4cd23983410e6524ca6a4cd78391a7,left,"-635,20","+635,22",a/src/path/PathItem.Boolean.js,b/src/path/PathItem.Boolean.js
