merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
30fce644427f3d735a2765115201e53f52144ecf,aca7d0b7b437eeddb2b218c12c88ba4aa7a9dfb9,b902551b87b82b881775598baafbf794bcc9b233,['lib/API/Extra.js'],[],1,1,1
f4eb9f7e65be40605ae3ecc44a39c03564f01bd0,ce78df53c460e9914ba6d65806994a509848b1aa,1d81757d1c94d46c015a3a26d626c1e13da6a15d,[],['package.json'],0,3,0
bdf8b823cfb20121531d35279c8d1b6a79d8aa22,c13802e78eaaf2ddab2e6a46190e9f70deadd517,a6a52dca0a51aef8332a7bdee444ceeea06a4f0c,[],"['package.json', 'test/e2e.sh']",0,2,0
7779c8256f3c4ce34c291db79b2372f6cfa4f090,afacd98e7ee9e3b65b0fc0b98e96b9b8a1ffd224,5a5f9e7d224251c9c5a85666097bfdec4d361aef,[],['package.json'],0,1,0
dd5c83f2c479192658db4f672e504e9568ceef84,5ad39c83b7e48b059ed680a2ab92f5342b8f3485,5e18920dff821ea9ebf4dc7ae6efcd83a53c560a,[],['package.json'],0,2,0
5ad39c83b7e48b059ed680a2ab92f5342b8f3485,d535ec170dee640dc12d4dc1e00e2636eadf560c,b743ce064f0c0e553e2092e11b44eee4c78d9632,[],['package.json'],0,2,0
8b0417b3a9823f25636bad100c8d9bdfd3e4de46,7319a7f1ab017235312a924be7689a4ff225bf29,ac2ca921fef5b5cb61bf5ed7d7a9387798cde72b,[],['package.json'],0,1,0
21af03f4f5660ee0c57559bd01baa76a3fd4b769,6bbee22286a390b7ced57fb51d77aa350dc1c603,359c8c28ace22b1738e657416b018308e1918038,[],['README.md'],0,1,0
c3d4be4778d36a668064e69bafe3aba309b52fa7,f6f0bcea94dd489606fb39ecd59047a062596940,3490b53cea9cc48ad871bbdf4e502e8d8a4e3984,[],['package.json'],0,1,0
44c06597c1bf90db0d81c691b559536688a91fd2,66122d8093eb658da53ce0be1b706653b522281f,870444c8af9154129e8b650ea7816281c7e552bb,[],['package.json'],0,1,0
ea9a79efe2fd55ea9ee669b70d0b362d8e56f1c9,9e4b32a81d98dd4225dbe02326e40691f5b1fa57,255638bda364e2d5fe877b31db2258173ebe1809,[],['README.md'],0,1,0
58d2465ef76e81cb2721423321c0f0d848b6306a,9aa0abbdab3b4826e85678fa2f9d37811d6c9897,71c6e749c698fa41f59b4d856aadd65942b500e0,['lib/API.js'],[],1,1,1
83294afee7cf0204208e9cc7f4cf687469556492,3785d6e50730f4969433b4e4d403b236d1e2707a,4217b1505419904252d0ae7640a51128a2459d98,['lib/API.js'],[],1,2,2
79ab92425fef22cdf679fa77840d86a6e7cfc755,8e491bfdc155c7c8e5fdea2bf574b786b68ff90a,bbcc85a41683f5fa573bf504894f8e817c89784a,['lib/API.js'],[],1,1,1
d5604300685ace1c7dbd18776fd3df79da96f638,991ef5b9d3921e88211a9a6d3af42d6d520cf042,a668f5762190061dd05de5c5d888b53f35fa386e,['lib/API/Modules/Modularizer.js'],[],1,2,2
5324c878fd0d37e068bc25c8e37f19f73bfebf30,fcf75e2cc321791273f6afe86c07fd147c6e8414,9bc34e56b7ad66cbc6efbd26d4017f1e1813a720,[],['bin/pm2'],0,1,0
29cccd9437e75e36f56d1afb0de3d73a5d033d21,64c1ac82eb27774d1ac9612633fd10b03bb8b0c4,ca968cfe30c5a17497ec6418aeb4ed8b948bad1a,[],['README.md'],0,1,0
0e4453d9cc789aa08ee778ff400572337e90d2e3,2c8170c25e231eb8827bb0944b76c2f4b041d84e,31e536b5d96b11a259c82ac9bfc8022bfbafca61,['lib/API/Startup.js'],"['README.md', 'package.json']",1,3,1
146c4e113c88e8ade17c7558c8e14cf523a3b2d6,81627e94c72efa1f4d726e20bbf67f0bbd5c116f,bdf95fc997f9ab2995b23668f25f11b6e98b5c47,[],['.travis.yml'],0,1,0
3424ee27870feaf62fdf4509cce9015f8b1a8a2e,746f6013f328daf215d910bbed09f62ebd5bb1d3,cf7630e259742bdff8257cff4dbed2732bf24f9c,[],['package.json'],0,1,0
dfb1f7ced88161f567988da0a5e5530d3d7171c7,4bc2eb4c9a8179b9ae38438e98ce7650a91b64db,7e7b4878194418363d6d80611bbde6817656a15a,[],['test/unit.sh'],0,2,0
5bf2b56274e77ce4631ef694240357e8aecbd0da,2b9ffd4eb493f1ff32c979e3811f4f1fedfae97d,bfddf4fdef5ec293119d850cc2532ac5d6490ae3,[],['test/e2e/cli/reload.sh'],0,1,0
f5668331dbe7346304258317a3b84450f421ed03,b2cc003114b44f1a9a31876ee4a2f4cb91e210b3,5dfba8a4491f0bb83f2879915f0c4b164be2552c,[],['lib/API/schema.json'],0,1,0
4ae27694e34c4bc6ed389566d71fc5ec48b69652,0914e2a7bcca68466ad64b52d94ef096cde4505f,c65595f4a70659e1e0d753e6c28a1fcedf45a91a,[],['bin/pm2'],0,1,0
e13f39c90b6a5e803c59c5424332520564703f5c,a60580a12b4a0066c8df6620317fbc8bf599b0b6,2506c75956a0fd7223330ad9493bc63b8adae6ed,[],['package.json'],0,1,0
40157784a63bcb0e744d4ed56f6c687e28379fdd,716b191ae8cadca611b729b53e219b988df32b0b,65f60659139f46874882ca5a0c377dc2ad20ad9a,[],['lib/API/schema.json'],0,2,0
47e5410987ab3d824a34c062d70c24ab686e57db,1650ec7f91f6f5102f80b7c34210b899841a4402,beb6e48787c39c66569141d0fd8d090736114d23,[],['lib/API/schema.json'],0,1,0
94ea9d9eeff40faca8aa9f7edfc81aa29c08e740,59686616ad745134520f932ecc680579bfff2a6f,0d2b7172a093d0638deabb5f23383cc9eec5dda9,[],['package.json'],0,1,0
9c66192b633ad1726b04cbb0c08aa40ac8a05a14,291936818be090044fb31d9929d05feeff564b27,654d25d03ce8361641861bec2a71cf5157636b1a,['lib/API/CliUx.js'],[],1,1,1
fd1f52d5e2413a5ad5ac7a52bbe9b5a14cc88732,4f274b9e7e03b2d05d76c3f53863e96aca5e9764,439c5438141c69da384e0a433f2f4124648c1596,[],['package.json'],0,1,0
408a75fcc06371ca163225138ea9a56fa94b84b3,a64cd7a1855fa08803f8fb9c2ceb127e40796b10,6648847230c4b75cd6b0bff312e23828a7fa2a54,[],['README.md'],0,1,0
cf64a644ea1c0a9396387204f6de7c693d7e0829,a54d886093cde94f20f151aabf2f8bb8e8e5dbdb,bede36c78f6f54d054a7bc30e330fecc0a6908e6,[],['package.json'],0,1,0
d0928ba1d249afba2732d5148f91b5e4a84460aa,802e5de1f2e95bbfb6a4479621157be360147c9f,4dc9296ed760f2563c3feeca860d88e7d21707d7,['lib/API/Startup.js'],[],1,1,1
b8fedecc3ae00e61266c87ecfcded9c570b261c5,7ab7b0f107d59281a7d1aa0de8f1d9669375a43b,b40becc652870c7475fea9c46d78421f4ddc0af9,['lib/API/Startup.js'],[],1,1,1
74d0fee7a547bdb8ed051e7218f0f75e32a45d06,0994b47d64437821ec948fb5d584f7bea14364f8,949f18527bc6b7f5f63cda5d0cc68d1376da1e18,['lib/Interactor/PushInteractor.js'],[],1,1,1
2b4eb195b1c021c333399be65c5f63c75ea83ea5,ec014b096d3055fc3a753bff99d954e20009326f,89660095166f06013fe64edb6cac93ea6a3a21b8,[],['CHANGELOG.md'],0,1,0
7dc684091e0f7ebe8a87b6c87e9da71828b2a2d5,0fd8a61c059e24410bad4e237d79aa8db918031d,288b8f40ac65dbf033483272610e0aeea2b3a53c,['lib/CLI/Modules/Modularizer.js'],[],1,1,1
b80072379ead6cebb2477950d16b8820872b091a,733d631301394630637b3cdbfa449ab1ac158f10,1094c59a4dd95eca687d9e4dc40af5d68a92cdfb,['lib/Interactor/ReverseInteractor.js'],[],1,2,2
f0df8dfa161870c51213758e60be5161cb6b354d,a2a18502506be38e9b2c88d4dcd09199f367539b,ff589ca4474b321f8cb8f074de1387e9813ffecd,[],['README.md'],0,1,0
114fabe7e8c10337b140b6ee99076e30ebed5de3,f8eb388652591bee9830f1580e8cacacde59d2ae,e9041b1fd7f5702e229993046f20b757061a7ffd,[],"['ADVANCED_README.md', 'CHANGELOG.md']",0,2,0
